[2026-07-29T12:27:39.204+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-07-29T12:27:39.272+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_1 scheduled__2026-07-28T12:00:00+00:00 [queued]>
[2026-07-29T12:27:39.287+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_1 scheduled__2026-07-28T12:00:00+00:00 [queued]>
[2026-07-29T12:27:39.290+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 3
[2026-07-29T12:27:39.319+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): build_long_video_1> on 2026-07-28 12:00:00+00:00
[2026-07-29T12:27:39.329+0000] {standard_task_runner.py:64} INFO - Started process 40209 to run task
[2026-07-29T12:27:39.334+0000] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'youtube_english_video_pipeline', 'build_long_video_1', 'scheduled__2026-07-28T12:00:00+00:00', '--job-id', '540', '--raw', '--subdir', 'DAGS_FOLDER/youtube_pipeline.py', '--cfg-path', '/tmp/tmpcgxoky_o']
[2026-07-29T12:27:39.340+0000] {standard_task_runner.py:91} INFO - Job 540: Subtask build_long_video_1
[2026-07-29T12:27:39.497+0000] {task_command.py:426} INFO - Running <TaskInstance: youtube_english_video_pipeline.build_long_video_1 scheduled__2026-07-28T12:00:00+00:00 [running]> on host cc859d74cf38
[2026-07-29T12:27:39.888+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='taky' AIRFLOW_CTX_DAG_ID='youtube_english_video_pipeline' AIRFLOW_CTX_TASK_ID='build_long_video_1' AIRFLOW_CTX_EXECUTION_DATE='2026-07-28T12:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-07-28T12:00:00+00:00'
[2026-07-29T12:27:39.891+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-07-29T12:27:42.141+0000] {logging_mixin.py:188} INFO - 2026-07-29 12:27:42,140 | INFO     | planner.video_planner | Only 9 phrases for topic='Shopping English', topping up without topic filter
[2026-07-29T12:27:42.161+0000] {logging_mixin.py:188} INFO - 2026-07-29 12:27:42,161 | INFO     | planner.video_planner | Planned LONG video: topic='Mixed English Expressions', phrases=20
[2026-07-29T12:27:42.583+0000] {logging_mixin.py:188} INFO - 2026-07-29 12:27:42,583 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1235.mp3
[2026-07-29T12:27:43.081+0000] {logging_mixin.py:188} INFO - 2026-07-29 12:27:43,080 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1235.mp3
[2026-07-29T12:27:43.441+0000] {logging_mixin.py:188} INFO - 2026-07-29 12:27:43,440 | INFO     | media.image_downloader | Downloaded background image for scene='cafe' -> /opt/airflow/output/images/long_1235.jpg
[2026-07-29T12:27:50.819+0000] {logging_mixin.py:188} INFO - 2026-07-29 12:27:50,818 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1232.mp3
[2026-07-29T12:27:51.192+0000] {logging_mixin.py:188} INFO - 2026-07-29 12:27:51,192 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1232.mp3
[2026-07-29T12:27:51.482+0000] {logging_mixin.py:188} INFO - 2026-07-29 12:27:51,482 | INFO     | media.image_downloader | Downloaded background image for scene='hotel' -> /opt/airflow/output/images/long_1232.jpg
[2026-07-29T12:27:58.093+0000] {logging_mixin.py:188} INFO - 2026-07-29 12:27:58,092 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1217.mp3
[2026-07-29T12:27:58.863+0000] {logging_mixin.py:188} INFO - 2026-07-29 12:27:58,863 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1217.mp3
[2026-07-29T12:27:59.706+0000] {logging_mixin.py:188} INFO - 2026-07-29 12:27:59,706 | INFO     | media.image_downloader | Downloaded background image for scene='hotel' -> /opt/airflow/output/images/long_1217.jpg
[2026-07-29T12:28:10.027+0000] {logging_mixin.py:188} INFO - 2026-07-29 12:28:10,027 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1247.mp3
[2026-07-29T12:28:11.012+0000] {logging_mixin.py:188} INFO - 2026-07-29 12:28:11,012 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1247.mp3
[2026-07-29T12:28:11.612+0000] {logging_mixin.py:188} INFO - 2026-07-29 12:28:11,612 | INFO     | media.image_downloader | Downloaded background image for scene='party' -> /opt/airflow/output/images/long_1247.jpg
[2026-07-29T12:28:19.770+0000] {logging_mixin.py:188} INFO - 2026-07-29 12:28:19,770 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1237.mp3
[2026-07-29T12:28:20.581+0000] {logging_mixin.py:188} INFO - 2026-07-29 12:28:20,581 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1237.mp3
[2026-07-29T12:28:21.313+0000] {logging_mixin.py:188} INFO - 2026-07-29 12:28:21,313 | INFO     | media.image_downloader | Downloaded background image for scene='street' -> /opt/airflow/output/images/long_1237.jpg
[2026-07-29T12:28:37.661+0000] {logging_mixin.py:188} INFO - 2026-07-29 12:28:37,661 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1239.mp3
[2026-07-29T12:28:38.101+0000] {logging_mixin.py:188} INFO - 2026-07-29 12:28:38,101 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1239.mp3
