[2026-07-29T23:55:06.155+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-07-29T23:55:06.226+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_10 scheduled__2026-07-28T12:00:00+00:00 [queued]>
[2026-07-29T23:55:06.246+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_10 scheduled__2026-07-28T12:00:00+00:00 [queued]>
[2026-07-29T23:55:06.248+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 3
[2026-07-29T23:55:06.270+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): build_long_video_10> on 2026-07-28 12:00:00+00:00
[2026-07-29T23:55:06.278+0000] {standard_task_runner.py:64} INFO - Started process 70859 to run task
[2026-07-29T23:55:06.284+0000] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'youtube_english_video_pipeline', 'build_long_video_10', 'scheduled__2026-07-28T12:00:00+00:00', '--job-id', '586', '--raw', '--subdir', 'DAGS_FOLDER/youtube_pipeline.py', '--cfg-path', '/tmp/tmp_gh6p3m1']
[2026-07-29T23:55:06.288+0000] {standard_task_runner.py:91} INFO - Job 586: Subtask build_long_video_10
[2026-07-29T23:55:06.435+0000] {task_command.py:426} INFO - Running <TaskInstance: youtube_english_video_pipeline.build_long_video_10 scheduled__2026-07-28T12:00:00+00:00 [running]> on host cc859d74cf38
[2026-07-29T23:55:06.832+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='taky' AIRFLOW_CTX_DAG_ID='youtube_english_video_pipeline' AIRFLOW_CTX_TASK_ID='build_long_video_10' AIRFLOW_CTX_EXECUTION_DATE='2026-07-28T12:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-07-28T12:00:00+00:00'
[2026-07-29T23:55:06.835+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-07-29T23:55:08.549+0000] {logging_mixin.py:188} INFO - 2026-07-29 23:55:08,549 | INFO     | planner.video_planner | Planned LONG video: topic='Restaurant English', phrases=17
[2026-07-29T23:55:09.005+0000] {logging_mixin.py:188} INFO - 2026-07-29 23:55:09,004 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1407.mp3
[2026-07-29T23:55:09.466+0000] {logging_mixin.py:188} INFO - 2026-07-29 23:55:09,466 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1407.mp3
[2026-07-29T23:55:09.745+0000] {logging_mixin.py:188} INFO - 2026-07-29 23:55:09,744 | INFO     | media.image_downloader | Downloaded background image for scene='diner' -> /opt/airflow/output/images/long_1407.jpg
[2026-07-29T23:55:16.891+0000] {logging_mixin.py:188} INFO - 2026-07-29 23:55:16,891 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1419.mp3
[2026-07-29T23:55:17.297+0000] {logging_mixin.py:188} INFO - 2026-07-29 23:55:17,297 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1419.mp3
[2026-07-29T23:55:17.580+0000] {logging_mixin.py:188} INFO - 2026-07-29 23:55:17,580 | INFO     | media.image_downloader | Downloaded background image for scene='cafe' -> /opt/airflow/output/images/long_1419.jpg
[2026-07-29T23:55:26.952+0000] {logging_mixin.py:188} INFO - 2026-07-29 23:55:26,951 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1426.mp3
[2026-07-29T23:55:27.486+0000] {logging_mixin.py:188} INFO - 2026-07-29 23:55:27,486 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1426.mp3
[2026-07-29T23:55:27.988+0000] {logging_mixin.py:188} INFO - 2026-07-29 23:55:27,987 | INFO     | media.image_downloader | Downloaded background image for scene='restaurant' -> /opt/airflow/output/images/long_1426.jpg
[2026-07-29T23:55:33.516+0000] {logging_mixin.py:188} INFO - 2026-07-29 23:55:33,516 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1438.mp3
[2026-07-29T23:55:34.031+0000] {logging_mixin.py:188} INFO - 2026-07-29 23:55:34,031 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1438.mp3
[2026-07-29T23:55:34.287+0000] {logging_mixin.py:188} INFO - 2026-07-29 23:55:34,287 | INFO     | media.image_downloader | Downloaded background image for scene='restaurant' -> /opt/airflow/output/images/long_1438.jpg
[2026-07-29T23:55:39.823+0000] {logging_mixin.py:188} INFO - 2026-07-29 23:55:39,823 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1441.mp3
[2026-07-29T23:55:40.270+0000] {logging_mixin.py:188} INFO - 2026-07-29 23:55:40,270 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1441.mp3
[2026-07-29T23:55:40.532+0000] {logging_mixin.py:188} INFO - 2026-07-29 23:55:40,532 | INFO     | media.image_downloader | Downloaded background image for scene='restaurant' -> /opt/airflow/output/images/long_1441.jpg
[2026-07-29T23:55:45.734+0000] {logging_mixin.py:188} INFO - 2026-07-29 23:55:45,734 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1457.mp3
[2026-07-29T23:55:46.201+0000] {logging_mixin.py:188} INFO - 2026-07-29 23:55:46,201 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1457.mp3
[2026-07-29T23:55:46.454+0000] {logging_mixin.py:188} INFO - 2026-07-29 23:55:46,453 | INFO     | media.image_downloader | Downloaded background image for scene='restaurant' -> /opt/airflow/output/images/long_1457.jpg
[2026-07-29T23:55:51.569+0000] {logging_mixin.py:188} INFO - 2026-07-29 23:55:51,569 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1459.mp3
[2026-07-29T23:55:52.006+0000] {logging_mixin.py:188} INFO - 2026-07-29 23:55:52,006 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1459.mp3
[2026-07-29T23:55:52.247+0000] {logging_mixin.py:188} INFO - 2026-07-29 23:55:52,247 | INFO     | media.image_downloader | Downloaded background image for scene='restaurant' -> /opt/airflow/output/images/long_1459.jpg
[2026-07-29T23:55:57.408+0000] {logging_mixin.py:188} INFO - 2026-07-29 23:55:57,408 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1461.mp3
[2026-07-29T23:55:57.827+0000] {logging_mixin.py:188} INFO - 2026-07-29 23:55:57,827 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1461.mp3
