[2026-07-29T12:32:53.953+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-07-29T12:32:54.052+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_2 scheduled__2026-07-28T12:00:00+00:00 [queued]>
[2026-07-29T12:32:54.070+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_2 scheduled__2026-07-28T12:00:00+00:00 [queued]>
[2026-07-29T12:32:54.075+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 3
[2026-07-29T12:32:54.095+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): build_long_video_2> on 2026-07-28 12:00:00+00:00
[2026-07-29T12:32:54.103+0000] {standard_task_runner.py:64} INFO - Started process 43641 to run task
[2026-07-29T12:32:54.107+0000] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'youtube_english_video_pipeline', 'build_long_video_2', 'scheduled__2026-07-28T12:00:00+00:00', '--job-id', '545', '--raw', '--subdir', 'DAGS_FOLDER/youtube_pipeline.py', '--cfg-path', '/tmp/tmp4fmpp27_']
[2026-07-29T12:32:54.111+0000] {standard_task_runner.py:91} INFO - Job 545: Subtask build_long_video_2
[2026-07-29T12:32:54.220+0000] {task_command.py:426} INFO - Running <TaskInstance: youtube_english_video_pipeline.build_long_video_2 scheduled__2026-07-28T12:00:00+00:00 [running]> on host cc859d74cf38
[2026-07-29T12:32:54.518+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='taky' AIRFLOW_CTX_DAG_ID='youtube_english_video_pipeline' AIRFLOW_CTX_TASK_ID='build_long_video_2' AIRFLOW_CTX_EXECUTION_DATE='2026-07-28T12:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-07-28T12:00:00+00:00'
[2026-07-29T12:32:54.519+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-07-29T12:32:55.592+0000] {logging_mixin.py:188} INFO - 2026-07-29 12:32:55,592 | INFO     | planner.video_planner | Only 7 phrases for topic='Restaurant English', topping up without topic filter
[2026-07-29T12:32:55.601+0000] {logging_mixin.py:188} INFO - 2026-07-29 12:32:55,601 | INFO     | planner.video_planner | Planned LONG video: topic='Mixed English Expressions', phrases=20
[2026-07-29T12:32:56.182+0000] {logging_mixin.py:188} INFO - 2026-07-29 12:32:56,181 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1267.mp3
[2026-07-29T12:32:56.715+0000] {logging_mixin.py:188} INFO - 2026-07-29 12:32:56,715 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1267.mp3
[2026-07-29T12:32:57.161+0000] {logging_mixin.py:188} INFO - 2026-07-29 12:32:57,160 | INFO     | media.image_downloader | Downloaded background image for scene='office' -> /opt/airflow/output/images/long_1267.jpg
[2026-07-29T12:33:04.591+0000] {logging_mixin.py:188} INFO - 2026-07-29 12:33:04,590 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1268.mp3
[2026-07-29T12:33:05.151+0000] {logging_mixin.py:188} INFO - 2026-07-29 12:33:05,151 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1268.mp3
[2026-07-29T12:33:05.670+0000] {logging_mixin.py:188} INFO - 2026-07-29 12:33:05,669 | INFO     | media.image_downloader | Downloaded background image for scene='meeting' -> /opt/airflow/output/images/long_1268.jpg
[2026-07-29T12:33:10.441+0000] {logging_mixin.py:188} INFO - 2026-07-29 12:33:10,441 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1271.mp3
[2026-07-29T12:33:10.995+0000] {logging_mixin.py:188} INFO - 2026-07-29 12:33:10,995 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1271.mp3
[2026-07-29T12:33:11.589+0000] {logging_mixin.py:188} INFO - 2026-07-29 12:33:11,588 | INFO     | media.image_downloader | Downloaded background image for scene='airport' -> /opt/airflow/output/images/long_1271.jpg
[2026-07-29T12:33:16.806+0000] {logging_mixin.py:188} INFO - 2026-07-29 12:33:16,806 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1272.mp3
[2026-07-29T12:33:17.624+0000] {logging_mixin.py:188} INFO - 2026-07-29 12:33:17,624 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1272.mp3
[2026-07-29T12:33:18.280+0000] {logging_mixin.py:188} INFO - 2026-07-29 12:33:18,280 | INFO     | media.image_downloader | Downloaded background image for scene='train' -> /opt/airflow/output/images/long_1272.jpg
[2026-07-29T12:33:33.506+0000] {logging_mixin.py:188} INFO - 2026-07-29 12:33:33,506 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1273.mp3
[2026-07-29T12:33:34.109+0000] {logging_mixin.py:188} INFO - 2026-07-29 12:33:34,109 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1273.mp3
[2026-07-29T12:33:35.012+0000] {logging_mixin.py:188} INFO - 2026-07-29 12:33:35,012 | INFO     | media.image_downloader | Downloaded background image for scene='counter' -> /opt/airflow/output/images/long_1273.jpg
[2026-07-29T12:33:41.224+0000] {logging_mixin.py:188} INFO - 2026-07-29 12:33:41,224 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1274.mp3
[2026-07-29T12:33:41.743+0000] {logging_mixin.py:188} INFO - 2026-07-29 12:33:41,743 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1274.mp3
[2026-07-29T12:33:43.539+0000] {logging_mixin.py:188} INFO - 2026-07-29 12:33:43,539 | INFO     | media.image_downloader | Downloaded background image for scene='party' -> /opt/airflow/output/images/long_1274.jpg
[2026-07-29T12:33:48.459+0000] {logging_mixin.py:188} INFO - 2026-07-29 12:33:48,459 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1275.mp3
