[2026-07-29T12:38:22.367+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-07-29T12:38:22.442+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_3 scheduled__2026-07-28T12:00:00+00:00 [queued]>
[2026-07-29T12:38:22.456+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_3 scheduled__2026-07-28T12:00:00+00:00 [queued]>
[2026-07-29T12:38:22.459+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 3
[2026-07-29T12:38:22.477+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): build_long_video_3> on 2026-07-28 12:00:00+00:00
[2026-07-29T12:38:22.483+0000] {standard_task_runner.py:64} INFO - Started process 47103 to run task
[2026-07-29T12:38:22.487+0000] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'youtube_english_video_pipeline', 'build_long_video_3', 'scheduled__2026-07-28T12:00:00+00:00', '--job-id', '550', '--raw', '--subdir', 'DAGS_FOLDER/youtube_pipeline.py', '--cfg-path', '/tmp/tmpw08rbw0b']
[2026-07-29T12:38:22.490+0000] {standard_task_runner.py:91} INFO - Job 550: Subtask build_long_video_3
[2026-07-29T12:38:22.593+0000] {task_command.py:426} INFO - Running <TaskInstance: youtube_english_video_pipeline.build_long_video_3 scheduled__2026-07-28T12:00:00+00:00 [running]> on host cc859d74cf38
[2026-07-29T12:38:22.973+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='taky' AIRFLOW_CTX_DAG_ID='youtube_english_video_pipeline' AIRFLOW_CTX_TASK_ID='build_long_video_3' AIRFLOW_CTX_EXECUTION_DATE='2026-07-28T12:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-07-28T12:00:00+00:00'
[2026-07-29T12:38:22.975+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-07-29T12:38:24.165+0000] {logging_mixin.py:188} INFO - 2026-07-29 12:38:24,164 | INFO     | planner.video_planner | Planned LONG video: topic='Restaurant English', phrases=20
[2026-07-29T12:38:24.823+0000] {logging_mixin.py:188} INFO - 2026-07-29 12:38:24,823 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1299.mp3
[2026-07-29T12:38:25.455+0000] {logging_mixin.py:188} INFO - 2026-07-29 12:38:25,455 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1299.mp3
[2026-07-29T12:38:26.015+0000] {logging_mixin.py:188} INFO - 2026-07-29 12:38:26,015 | INFO     | media.image_downloader | Downloaded background image for scene='restaurant' -> /opt/airflow/output/images/long_1299.jpg
[2026-07-29T12:38:30.851+0000] {logging_mixin.py:188} INFO - 2026-07-29 12:38:30,850 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1301.mp3
[2026-07-29T12:38:31.496+0000] {logging_mixin.py:188} INFO - 2026-07-29 12:38:31,495 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1301.mp3
[2026-07-29T12:38:31.993+0000] {logging_mixin.py:188} INFO - 2026-07-29 12:38:31,992 | INFO     | media.image_downloader | Downloaded background image for scene='restaurant' -> /opt/airflow/output/images/long_1301.jpg
[2026-07-29T12:38:36.489+0000] {logging_mixin.py:188} INFO - 2026-07-29 12:38:36,488 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1303.mp3
[2026-07-29T12:38:36.985+0000] {logging_mixin.py:188} INFO - 2026-07-29 12:38:36,985 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1303.mp3
[2026-07-29T12:38:37.292+0000] {logging_mixin.py:188} INFO - 2026-07-29 12:38:37,292 | INFO     | media.image_downloader | Downloaded background image for scene='restaurant' -> /opt/airflow/output/images/long_1303.jpg
[2026-07-29T12:38:41.820+0000] {logging_mixin.py:188} INFO - 2026-07-29 12:38:41,820 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1305.mp3
[2026-07-29T12:38:42.249+0000] {logging_mixin.py:188} INFO - 2026-07-29 12:38:42,249 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1305.mp3
