[2026-07-29T12:42:11.004+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-07-29T12:42:11.068+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_4 scheduled__2026-07-28T12:00:00+00:00 [queued]>
[2026-07-29T12:42:11.087+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_4 scheduled__2026-07-28T12:00:00+00:00 [queued]>
[2026-07-29T12:42:11.089+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 3
[2026-07-29T12:42:11.116+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): build_long_video_4> on 2026-07-28 12:00:00+00:00
[2026-07-29T12:42:11.127+0000] {standard_task_runner.py:64} INFO - Started process 50520 to run task
[2026-07-29T12:42:11.134+0000] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'youtube_english_video_pipeline', 'build_long_video_4', 'scheduled__2026-07-28T12:00:00+00:00', '--job-id', '555', '--raw', '--subdir', 'DAGS_FOLDER/youtube_pipeline.py', '--cfg-path', '/tmp/tmp0dxo2jam']
[2026-07-29T12:42:11.139+0000] {standard_task_runner.py:91} INFO - Job 555: Subtask build_long_video_4
[2026-07-29T12:42:11.260+0000] {task_command.py:426} INFO - Running <TaskInstance: youtube_english_video_pipeline.build_long_video_4 scheduled__2026-07-28T12:00:00+00:00 [running]> on host cc859d74cf38
[2026-07-29T12:42:11.561+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='taky' AIRFLOW_CTX_DAG_ID='youtube_english_video_pipeline' AIRFLOW_CTX_TASK_ID='build_long_video_4' AIRFLOW_CTX_EXECUTION_DATE='2026-07-28T12:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-07-28T12:00:00+00:00'
[2026-07-29T12:42:11.562+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-07-29T12:42:12.696+0000] {logging_mixin.py:188} INFO - 2026-07-29 12:42:12,696 | INFO     | planner.video_planner | Planned LONG video: topic='Shopping English', phrases=19
[2026-07-29T12:42:13.096+0000] {logging_mixin.py:188} INFO - 2026-07-29 12:42:13,096 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1296.mp3
[2026-07-29T12:42:13.683+0000] {logging_mixin.py:188} INFO - 2026-07-29 12:42:13,683 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1296.mp3
[2026-07-29T12:42:14.200+0000] {logging_mixin.py:188} INFO - 2026-07-29 12:42:14,200 | INFO     | media.image_downloader | Downloaded background image for scene='shopping' -> /opt/airflow/output/images/long_1296.jpg
[2026-07-29T12:42:19.051+0000] {logging_mixin.py:188} INFO - 2026-07-29 12:42:19,051 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1300.mp3
[2026-07-29T12:42:19.632+0000] {logging_mixin.py:188} INFO - 2026-07-29 12:42:19,632 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1300.mp3
[2026-07-29T12:42:19.955+0000] {logging_mixin.py:188} INFO - 2026-07-29 12:42:19,955 | INFO     | media.image_downloader | Downloaded background image for scene='boutique' -> /opt/airflow/output/images/long_1300.jpg
[2026-07-29T12:42:24.573+0000] {logging_mixin.py:188} INFO - 2026-07-29 12:42:24,573 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1302.mp3
[2026-07-29T12:42:25.070+0000] {logging_mixin.py:188} INFO - 2026-07-29 12:42:25,070 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1302.mp3
[2026-07-29T12:42:25.377+0000] {logging_mixin.py:188} INFO - 2026-07-29 12:42:25,377 | INFO     | media.image_downloader | Downloaded background image for scene='supermarket' -> /opt/airflow/output/images/long_1302.jpg
[2026-07-29T12:42:30.094+0000] {logging_mixin.py:188} INFO - 2026-07-29 12:42:30,094 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1315.mp3
[2026-07-29T12:42:30.495+0000] {logging_mixin.py:188} INFO - 2026-07-29 12:42:30,495 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1315.mp3
[2026-07-29T12:42:31.022+0000] {logging_mixin.py:188} INFO - 2026-07-29 12:42:31,022 | INFO     | media.image_downloader | Downloaded background image for scene='shopping' -> /opt/airflow/output/images/long_1315.jpg
[2026-07-29T12:42:37.056+0000] {logging_mixin.py:188} INFO - 2026-07-29 12:42:37,056 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1319.mp3
[2026-07-29T12:42:37.488+0000] {logging_mixin.py:188} INFO - 2026-07-29 12:42:37,488 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1319.mp3
[2026-07-29T12:42:37.882+0000] {logging_mixin.py:188} INFO - 2026-07-29 12:42:37,881 | INFO     | media.image_downloader | Downloaded background image for scene='boutique' -> /opt/airflow/output/images/long_1319.jpg
