[2026-07-29T23:37:13.753+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-07-29T23:37:14.116+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_6 scheduled__2026-07-28T12:00:00+00:00 [queued]>
[2026-07-29T23:37:14.158+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_6 scheduled__2026-07-28T12:00:00+00:00 [queued]>
[2026-07-29T23:37:14.167+0000] {taskinstance.py:2306} INFO - Starting attempt 2 of 3
[2026-07-29T23:37:14.244+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): build_long_video_6> on 2026-07-28 12:00:00+00:00
[2026-07-29T23:37:14.254+0000] {standard_task_runner.py:64} INFO - Started process 57879 to run task
[2026-07-29T23:37:14.260+0000] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'youtube_english_video_pipeline', 'build_long_video_6', 'scheduled__2026-07-28T12:00:00+00:00', '--job-id', '566', '--raw', '--subdir', 'DAGS_FOLDER/youtube_pipeline.py', '--cfg-path', '/tmp/tmpxfwo32og']
[2026-07-29T23:37:14.274+0000] {standard_task_runner.py:91} INFO - Job 566: Subtask build_long_video_6
[2026-07-29T23:37:14.535+0000] {task_command.py:426} INFO - Running <TaskInstance: youtube_english_video_pipeline.build_long_video_6 scheduled__2026-07-28T12:00:00+00:00 [running]> on host cc859d74cf38
[2026-07-29T23:37:16.220+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='taky' AIRFLOW_CTX_DAG_ID='youtube_english_video_pipeline' AIRFLOW_CTX_TASK_ID='build_long_video_6' AIRFLOW_CTX_EXECUTION_DATE='2026-07-28T12:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='2' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-07-28T12:00:00+00:00'
[2026-07-29T23:37:16.229+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-07-29T23:37:22.302+0000] {logging_mixin.py:188} INFO - 2026-07-29 23:37:22,302 | INFO     | planner.video_planner | Only 13 phrases for topic='Business English', topping up without topic filter
[2026-07-29T23:37:22.335+0000] {logging_mixin.py:188} INFO - 2026-07-29 23:37:22,335 | INFO     | planner.video_planner | Planned LONG video: topic='Mixed English Expressions', phrases=20
[2026-07-29T23:37:23.047+0000] {logging_mixin.py:188} INFO - 2026-07-29 23:37:23,047 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1308.mp3
[2026-07-29T23:37:23.548+0000] {logging_mixin.py:188} INFO - 2026-07-29 23:37:23,548 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1308.mp3
[2026-07-29T23:37:24.062+0000] {logging_mixin.py:188} INFO - 2026-07-29 23:37:24,062 | INFO     | media.image_downloader | Downloaded background image for scene='hotel' -> /opt/airflow/output/images/long_1308.jpg
[2026-07-29T23:37:36.675+0000] {logging_mixin.py:188} INFO - 2026-07-29 23:37:36,674 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1314.mp3
[2026-07-29T23:37:37.237+0000] {logging_mixin.py:188} INFO - 2026-07-29 23:37:37,237 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1314.mp3
[2026-07-29T23:37:37.619+0000] {logging_mixin.py:188} INFO - 2026-07-29 23:37:37,619 | INFO     | media.image_downloader | Downloaded background image for scene='hotel' -> /opt/airflow/output/images/long_1314.jpg
[2026-07-29T23:37:45.932+0000] {logging_mixin.py:188} INFO - 2026-07-29 23:37:45,932 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1338.mp3
[2026-07-29T23:37:46.374+0000] {logging_mixin.py:188} INFO - 2026-07-29 23:37:46,374 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1338.mp3
[2026-07-29T23:37:46.867+0000] {logging_mixin.py:188} INFO - 2026-07-29 23:37:46,867 | INFO     | media.image_downloader | Downloaded background image for scene='hotel' -> /opt/airflow/output/images/long_1338.jpg
[2026-07-29T23:37:55.073+0000] {logging_mixin.py:188} INFO - 2026-07-29 23:37:55,073 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1317.mp3
