[2026-07-29T23:41:45.352+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-07-29T23:41:45.396+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_7 scheduled__2026-07-28T12:00:00+00:00 [queued]>
[2026-07-29T23:41:45.411+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_7 scheduled__2026-07-28T12:00:00+00:00 [queued]>
[2026-07-29T23:41:45.631+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 3
[2026-07-29T23:41:45.659+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): build_long_video_7> on 2026-07-28 12:00:00+00:00
[2026-07-29T23:41:45.673+0000] {standard_task_runner.py:64} INFO - Started process 61306 to run task
[2026-07-29T23:41:45.677+0000] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'youtube_english_video_pipeline', 'build_long_video_7', 'scheduled__2026-07-28T12:00:00+00:00', '--job-id', '571', '--raw', '--subdir', 'DAGS_FOLDER/youtube_pipeline.py', '--cfg-path', '/tmp/tmpinybzcdp']
[2026-07-29T23:41:45.682+0000] {standard_task_runner.py:91} INFO - Job 571: Subtask build_long_video_7
[2026-07-29T23:41:45.825+0000] {task_command.py:426} INFO - Running <TaskInstance: youtube_english_video_pipeline.build_long_video_7 scheduled__2026-07-28T12:00:00+00:00 [running]> on host cc859d74cf38
[2026-07-29T23:41:46.210+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='taky' AIRFLOW_CTX_DAG_ID='youtube_english_video_pipeline' AIRFLOW_CTX_TASK_ID='build_long_video_7' AIRFLOW_CTX_EXECUTION_DATE='2026-07-28T12:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-07-28T12:00:00+00:00'
[2026-07-29T23:41:46.215+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-07-29T23:41:48.335+0000] {logging_mixin.py:188} INFO - 2026-07-29 23:41:48,335 | INFO     | planner.video_planner | Only 8 phrases for topic='Business English', topping up without topic filter
[2026-07-29T23:41:48.348+0000] {logging_mixin.py:188} INFO - 2026-07-29 23:41:48,347 | INFO     | planner.video_planner | Planned LONG video: topic='Mixed English Expressions', phrases=20
[2026-07-29T23:41:48.769+0000] {logging_mixin.py:188} INFO - 2026-07-29 23:41:48,769 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1354.mp3
[2026-07-29T23:41:49.320+0000] {logging_mixin.py:188} INFO - 2026-07-29 23:41:49,320 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1354.mp3
[2026-07-29T23:41:49.711+0000] {logging_mixin.py:188} INFO - 2026-07-29 23:41:49,711 | INFO     | media.image_downloader | Downloaded background image for scene='office' -> /opt/airflow/output/images/long_1354.jpg
[2026-07-29T23:41:55.484+0000] {logging_mixin.py:188} INFO - 2026-07-29 23:41:55,484 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1358.mp3
[2026-07-29T23:41:55.953+0000] {logging_mixin.py:188} INFO - 2026-07-29 23:41:55,952 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1358.mp3
[2026-07-29T23:41:56.349+0000] {logging_mixin.py:188} INFO - 2026-07-29 23:41:56,349 | INFO     | media.image_downloader | Downloaded background image for scene='park' -> /opt/airflow/output/images/long_1358.jpg
[2026-07-29T23:42:06.447+0000] {logging_mixin.py:188} INFO - 2026-07-29 23:42:06,446 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1360.mp3
[2026-07-29T23:42:06.973+0000] {logging_mixin.py:188} INFO - 2026-07-29 23:42:06,973 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1360.mp3
[2026-07-29T23:42:07.364+0000] {logging_mixin.py:188} INFO - 2026-07-29 23:42:07,364 | INFO     | media.image_downloader | Downloaded background image for scene='hotel' -> /opt/airflow/output/images/long_1360.jpg
[2026-07-29T23:42:14.128+0000] {logging_mixin.py:188} INFO - 2026-07-29 23:42:14,128 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1361.mp3
