[2026-07-29T23:46:52.769+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-07-29T23:46:52.859+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_8 scheduled__2026-07-28T12:00:00+00:00 [queued]>
[2026-07-29T23:46:52.884+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_8 scheduled__2026-07-28T12:00:00+00:00 [queued]>
[2026-07-29T23:46:52.892+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 3
[2026-07-29T23:46:52.915+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): build_long_video_8> on 2026-07-28 12:00:00+00:00
[2026-07-29T23:46:52.925+0000] {standard_task_runner.py:64} INFO - Started process 64766 to run task
[2026-07-29T23:46:52.932+0000] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'youtube_english_video_pipeline', 'build_long_video_8', 'scheduled__2026-07-28T12:00:00+00:00', '--job-id', '576', '--raw', '--subdir', 'DAGS_FOLDER/youtube_pipeline.py', '--cfg-path', '/tmp/tmptd9ps4u7']
[2026-07-29T23:46:52.938+0000] {standard_task_runner.py:91} INFO - Job 576: Subtask build_long_video_8
[2026-07-29T23:46:53.113+0000] {task_command.py:426} INFO - Running <TaskInstance: youtube_english_video_pipeline.build_long_video_8 scheduled__2026-07-28T12:00:00+00:00 [running]> on host cc859d74cf38
[2026-07-29T23:46:53.521+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='taky' AIRFLOW_CTX_DAG_ID='youtube_english_video_pipeline' AIRFLOW_CTX_TASK_ID='build_long_video_8' AIRFLOW_CTX_EXECUTION_DATE='2026-07-28T12:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-07-28T12:00:00+00:00'
[2026-07-29T23:46:53.525+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-07-29T23:46:55.707+0000] {logging_mixin.py:188} INFO - 2026-07-29 23:46:55,707 | INFO     | planner.video_planner | Planned LONG video: topic='Business English', phrases=18
[2026-07-29T23:46:56.025+0000] {logging_mixin.py:188} INFO - 2026-07-29 23:46:56,025 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1393.mp3
[2026-07-29T23:46:56.374+0000] {logging_mixin.py:188} INFO - 2026-07-29 23:46:56,373 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1393.mp3
[2026-07-29T23:46:56.657+0000] {logging_mixin.py:188} INFO - 2026-07-29 23:46:56,657 | INFO     | media.image_downloader | Downloaded background image for scene='office' -> /opt/airflow/output/images/long_1393.jpg
[2026-07-29T23:47:01.581+0000] {logging_mixin.py:188} INFO - 2026-07-29 23:47:01,581 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1397.mp3
[2026-07-29T23:47:02.033+0000] {logging_mixin.py:188} INFO - 2026-07-29 23:47:02,032 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1397.mp3
[2026-07-29T23:47:02.435+0000] {logging_mixin.py:188} INFO - 2026-07-29 23:47:02,435 | INFO     | media.image_downloader | Downloaded background image for scene='meeting' -> /opt/airflow/output/images/long_1397.jpg
[2026-07-29T23:47:08.847+0000] {logging_mixin.py:188} INFO - 2026-07-29 23:47:08,847 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1401.mp3
[2026-07-29T23:47:09.451+0000] {logging_mixin.py:188} INFO - 2026-07-29 23:47:09,451 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1401.mp3
[2026-07-29T23:47:09.796+0000] {logging_mixin.py:188} INFO - 2026-07-29 23:47:09,796 | INFO     | media.image_downloader | Downloaded background image for scene='office' -> /opt/airflow/output/images/long_1401.jpg
[2026-07-29T23:47:15.268+0000] {logging_mixin.py:188} INFO - 2026-07-29 23:47:15,268 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1404.mp3
[2026-07-29T23:47:15.797+0000] {logging_mixin.py:188} INFO - 2026-07-29 23:47:15,796 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1404.mp3
[2026-07-29T23:47:16.082+0000] {logging_mixin.py:188} INFO - 2026-07-29 23:47:16,081 | INFO     | media.image_downloader | Downloaded background image for scene='desk' -> /opt/airflow/output/images/long_1404.jpg
[2026-07-29T23:47:26.077+0000] {logging_mixin.py:188} INFO - 2026-07-29 23:47:26,077 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1442.mp3
[2026-07-29T23:47:26.631+0000] {logging_mixin.py:188} INFO - 2026-07-29 23:47:26,631 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1442.mp3
[2026-07-29T23:47:27.017+0000] {logging_mixin.py:188} INFO - 2026-07-29 23:47:27,017 | INFO     | media.image_downloader | Downloaded background image for scene='office' -> /opt/airflow/output/images/long_1442.jpg
[2026-07-29T23:47:39.949+0000] {logging_mixin.py:188} INFO - 2026-07-29 23:47:39,949 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1451.mp3
[2026-07-29T23:47:40.446+0000] {logging_mixin.py:188} INFO - 2026-07-29 23:47:40,446 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1451.mp3
[2026-07-29T23:47:40.686+0000] {logging_mixin.py:188} INFO - 2026-07-29 23:47:40,685 | INFO     | media.image_downloader | Downloaded background image for scene='meeting' -> /opt/airflow/output/images/long_1451.jpg
[2026-07-29T23:47:46.289+0000] {logging_mixin.py:188} INFO - 2026-07-29 23:47:46,289 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1458.mp3
[2026-07-29T23:47:46.824+0000] {logging_mixin.py:188} INFO - 2026-07-29 23:47:46,824 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1458.mp3
