[2026-08-11T14:09:54.259+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-08-11T14:09:54.291+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_10 scheduled__2026-08-10T12:00:00+00:00 [queued]>
[2026-08-11T14:09:54.297+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_10 scheduled__2026-08-10T12:00:00+00:00 [queued]>
[2026-08-11T14:09:54.300+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 3
[2026-08-11T14:09:54.312+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): build_long_video_10> on 2026-08-10 12:00:00+00:00
[2026-08-11T14:09:54.317+0000] {standard_task_runner.py:64} INFO - Started process 44306 to run task
[2026-08-11T14:09:54.319+0000] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'youtube_english_video_pipeline', 'build_long_video_10', 'scheduled__2026-08-10T12:00:00+00:00', '--job-id', '732', '--raw', '--subdir', 'DAGS_FOLDER/youtube_pipeline.py', '--cfg-path', '/tmp/tmpivbf7cdr']
[2026-08-11T14:09:54.321+0000] {standard_task_runner.py:91} INFO - Job 732: Subtask build_long_video_10
[2026-08-11T14:09:54.388+0000] {task_command.py:426} INFO - Running <TaskInstance: youtube_english_video_pipeline.build_long_video_10 scheduled__2026-08-10T12:00:00+00:00 [running]> on host cc859d74cf38
[2026-08-11T14:09:54.594+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='taky' AIRFLOW_CTX_DAG_ID='youtube_english_video_pipeline' AIRFLOW_CTX_TASK_ID='build_long_video_10' AIRFLOW_CTX_EXECUTION_DATE='2026-08-10T12:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-08-10T12:00:00+00:00'
[2026-08-11T14:09:54.596+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-08-11T14:09:55.693+0000] {logging_mixin.py:188} INFO - 2026-08-11 14:09:55,692 | INFO     | planner.video_planner | Only 9 phrases for topic='Shopping English', topping up without topic filter
[2026-08-11T14:09:55.702+0000] {logging_mixin.py:188} INFO - 2026-08-11 14:09:55,702 | INFO     | planner.video_planner | Planned LONG video: topic='Mixed English Expressions', phrases=20
[2026-08-11T14:09:56.205+0000] {logging_mixin.py:188} INFO - 2026-08-11 14:09:56,205 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1822.mp3
[2026-08-11T14:09:56.904+0000] {logging_mixin.py:188} INFO - 2026-08-11 14:09:56,904 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1822.mp3
[2026-08-11T14:09:57.346+0000] {logging_mixin.py:188} INFO - 2026-08-11 14:09:57,346 | INFO     | media.image_downloader | Downloaded background image for scene='boutique' -> /opt/airflow/output/images/long_1822.jpg
[2026-08-11T14:10:01.586+0000] {logging_mixin.py:188} INFO - 2026-08-11 14:10:01,586 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1823.mp3
[2026-08-11T14:10:02.030+0000] {logging_mixin.py:188} INFO - 2026-08-11 14:10:02,030 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1823.mp3
[2026-08-11T14:10:02.273+0000] {logging_mixin.py:188} INFO - 2026-08-11 14:10:02,273 | INFO     | media.image_downloader | Downloaded background image for scene='airport' -> /opt/airflow/output/images/long_1823.jpg
[2026-08-11T14:10:06.383+0000] {logging_mixin.py:188} INFO - 2026-08-11 14:10:06,383 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1824.mp3
[2026-08-11T14:10:06.829+0000] {logging_mixin.py:188} INFO - 2026-08-11 14:10:06,829 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1824.mp3
[2026-08-11T14:10:07.109+0000] {logging_mixin.py:188} INFO - 2026-08-11 14:10:07,109 | INFO     | media.image_downloader | Downloaded background image for scene='store' -> /opt/airflow/output/images/long_1824.jpg
[2026-08-11T14:10:11.058+0000] {logging_mixin.py:188} INFO - 2026-08-11 14:10:11,058 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1825.mp3
