[2026-08-11T13:38:41.041+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-08-11T13:38:41.084+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_2 scheduled__2026-08-10T12:00:00+00:00 [queued]>
[2026-08-11T13:38:41.092+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_2 scheduled__2026-08-10T12:00:00+00:00 [queued]>
[2026-08-11T13:38:41.096+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 3
[2026-08-11T13:38:41.109+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): build_long_video_2> on 2026-08-10 12:00:00+00:00
[2026-08-11T13:38:41.115+0000] {standard_task_runner.py:64} INFO - Started process 18393 to run task
[2026-08-11T13:38:41.118+0000] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'youtube_english_video_pipeline', 'build_long_video_2', 'scheduled__2026-08-10T12:00:00+00:00', '--job-id', '692', '--raw', '--subdir', 'DAGS_FOLDER/youtube_pipeline.py', '--cfg-path', '/tmp/tmp5rbociul']
[2026-08-11T13:38:41.125+0000] {standard_task_runner.py:91} INFO - Job 692: Subtask build_long_video_2
[2026-08-11T13:38:41.215+0000] {task_command.py:426} INFO - Running <TaskInstance: youtube_english_video_pipeline.build_long_video_2 scheduled__2026-08-10T12:00:00+00:00 [running]> on host cc859d74cf38
[2026-08-11T13:38:41.407+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='taky' AIRFLOW_CTX_DAG_ID='youtube_english_video_pipeline' AIRFLOW_CTX_TASK_ID='build_long_video_2' AIRFLOW_CTX_EXECUTION_DATE='2026-08-10T12:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-08-10T12:00:00+00:00'
[2026-08-11T13:38:41.410+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-08-11T13:38:42.667+0000] {logging_mixin.py:188} INFO - 2026-08-11 13:38:42,667 | INFO     | planner.video_planner | Only 14 phrases for topic='Daily Conversation', topping up without topic filter
[2026-08-11T13:38:42.676+0000] {logging_mixin.py:188} INFO - 2026-08-11 13:38:42,676 | INFO     | planner.video_planner | Planned LONG video: topic='Mixed English Expressions', phrases=20
[2026-08-11T13:38:43.395+0000] {logging_mixin.py:188} INFO - 2026-08-11 13:38:43,395 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1610.mp3
[2026-08-11T13:38:44.117+0000] {logging_mixin.py:188} INFO - 2026-08-11 13:38:44,116 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1610.mp3
[2026-08-11T13:38:44.541+0000] {logging_mixin.py:188} INFO - 2026-08-11 13:38:44,541 | INFO     | media.image_downloader | Downloaded background image for scene='hotel' -> /opt/airflow/output/images/long_1610.jpg
[2026-08-11T13:38:49.740+0000] {logging_mixin.py:188} INFO - 2026-08-11 13:38:49,740 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1612.mp3
[2026-08-11T13:38:50.291+0000] {logging_mixin.py:188} INFO - 2026-08-11 13:38:50,291 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1612.mp3
[2026-08-11T13:38:50.679+0000] {logging_mixin.py:188} INFO - 2026-08-11 13:38:50,679 | INFO     | media.image_downloader | Downloaded background image for scene='street' -> /opt/airflow/output/images/long_1612.jpg
[2026-08-11T13:38:54.807+0000] {logging_mixin.py:188} INFO - 2026-08-11 13:38:54,807 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1614.mp3
[2026-08-11T13:38:55.367+0000] {logging_mixin.py:188} INFO - 2026-08-11 13:38:55,367 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1614.mp3
[2026-08-11T13:38:55.760+0000] {logging_mixin.py:188} INFO - 2026-08-11 13:38:55,760 | INFO     | media.image_downloader | Downloaded background image for scene='hotel' -> /opt/airflow/output/images/long_1614.jpg
[2026-08-11T13:39:00.499+0000] {logging_mixin.py:188} INFO - 2026-08-11 13:39:00,498 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1615.mp3
