[2026-08-11T13:43:57.969+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-08-11T13:43:58.007+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_3 scheduled__2026-08-10T12:00:00+00:00 [queued]>
[2026-08-11T13:43:58.018+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_3 scheduled__2026-08-10T12:00:00+00:00 [queued]>
[2026-08-11T13:43:58.022+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 3
[2026-08-11T13:43:58.043+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): build_long_video_3> on 2026-08-10 12:00:00+00:00
[2026-08-11T13:43:58.051+0000] {standard_task_runner.py:64} INFO - Started process 21855 to run task
[2026-08-11T13:43:58.053+0000] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'youtube_english_video_pipeline', 'build_long_video_3', 'scheduled__2026-08-10T12:00:00+00:00', '--job-id', '697', '--raw', '--subdir', 'DAGS_FOLDER/youtube_pipeline.py', '--cfg-path', '/tmp/tmppf7wvb3q']
[2026-08-11T13:43:58.059+0000] {standard_task_runner.py:91} INFO - Job 697: Subtask build_long_video_3
[2026-08-11T13:43:58.157+0000] {task_command.py:426} INFO - Running <TaskInstance: youtube_english_video_pipeline.build_long_video_3 scheduled__2026-08-10T12:00:00+00:00 [running]> on host cc859d74cf38
[2026-08-11T13:43:58.401+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='taky' AIRFLOW_CTX_DAG_ID='youtube_english_video_pipeline' AIRFLOW_CTX_TASK_ID='build_long_video_3' AIRFLOW_CTX_EXECUTION_DATE='2026-08-10T12:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-08-10T12:00:00+00:00'
[2026-08-11T13:43:58.406+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-08-11T13:43:59.468+0000] {logging_mixin.py:188} INFO - 2026-08-11 13:43:59,468 | INFO     | planner.video_planner | Planned LONG video: topic='Daily Conversation', phrases=20
[2026-08-11T13:43:59.816+0000] {logging_mixin.py:188} INFO - 2026-08-11 13:43:59,816 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1662.mp3
[2026-08-11T13:44:00.265+0000] {logging_mixin.py:188} INFO - 2026-08-11 13:44:00,265 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1662.mp3
[2026-08-11T13:44:00.649+0000] {logging_mixin.py:188} INFO - 2026-08-11 13:44:00,649 | INFO     | media.image_downloader | Downloaded background image for scene='street' -> /opt/airflow/output/images/long_1662.jpg
[2026-08-11T13:44:07.099+0000] {logging_mixin.py:188} INFO - 2026-08-11 13:44:07,099 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1672.mp3
[2026-08-11T13:44:07.693+0000] {logging_mixin.py:188} INFO - 2026-08-11 13:44:07,693 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1672.mp3
[2026-08-11T13:44:08.062+0000] {logging_mixin.py:188} INFO - 2026-08-11 13:44:08,062 | INFO     | media.image_downloader | Downloaded background image for scene='office' -> /opt/airflow/output/images/long_1672.jpg
[2026-08-11T13:44:14.467+0000] {logging_mixin.py:188} INFO - 2026-08-11 13:44:14,467 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1679.mp3
[2026-08-11T13:44:15.229+0000] {logging_mixin.py:188} INFO - 2026-08-11 13:44:15,229 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1679.mp3
[2026-08-11T13:44:15.771+0000] {logging_mixin.py:188} INFO - 2026-08-11 13:44:15,771 | INFO     | media.image_downloader | Downloaded background image for scene='classroom' -> /opt/airflow/output/images/long_1679.jpg
[2026-08-11T13:44:21.844+0000] {logging_mixin.py:188} INFO - 2026-08-11 13:44:21,844 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1685.mp3
[2026-08-11T13:44:22.466+0000] {logging_mixin.py:188} INFO - 2026-08-11 13:44:22,466 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1685.mp3
