[2026-08-11T13:48:21.982+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-08-11T13:48:22.039+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_4 scheduled__2026-08-10T12:00:00+00:00 [queued]>
[2026-08-11T13:48:22.053+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_4 scheduled__2026-08-10T12:00:00+00:00 [queued]>
[2026-08-11T13:48:22.056+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 3
[2026-08-11T13:48:22.077+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): build_long_video_4> on 2026-08-10 12:00:00+00:00
[2026-08-11T13:48:22.086+0000] {standard_task_runner.py:64} INFO - Started process 25277 to run task
[2026-08-11T13:48:22.088+0000] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'youtube_english_video_pipeline', 'build_long_video_4', 'scheduled__2026-08-10T12:00:00+00:00', '--job-id', '702', '--raw', '--subdir', 'DAGS_FOLDER/youtube_pipeline.py', '--cfg-path', '/tmp/tmpovowzfi6']
[2026-08-11T13:48:22.092+0000] {standard_task_runner.py:91} INFO - Job 702: Subtask build_long_video_4
[2026-08-11T13:48:22.195+0000] {task_command.py:426} INFO - Running <TaskInstance: youtube_english_video_pipeline.build_long_video_4 scheduled__2026-08-10T12:00:00+00:00 [running]> on host cc859d74cf38
[2026-08-11T13:48:22.449+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='taky' AIRFLOW_CTX_DAG_ID='youtube_english_video_pipeline' AIRFLOW_CTX_TASK_ID='build_long_video_4' AIRFLOW_CTX_EXECUTION_DATE='2026-08-10T12:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-08-10T12:00:00+00:00'
[2026-08-11T13:48:22.452+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-08-11T13:48:23.815+0000] {logging_mixin.py:188} INFO - 2026-08-11 13:48:23,815 | INFO     | planner.video_planner | Planned LONG video: topic='Shopping English', phrases=17
[2026-08-11T13:48:24.564+0000] {logging_mixin.py:188} INFO - 2026-08-11 13:48:24,564 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1712.mp3
[2026-08-11T13:48:25.183+0000] {logging_mixin.py:188} INFO - 2026-08-11 13:48:25,183 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1712.mp3
[2026-08-11T13:48:25.667+0000] {logging_mixin.py:188} INFO - 2026-08-11 13:48:25,667 | INFO     | media.image_downloader | Downloaded background image for scene='supermarket' -> /opt/airflow/output/images/long_1712.jpg
[2026-08-11T13:48:31.996+0000] {logging_mixin.py:188} INFO - 2026-08-11 13:48:31,996 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1722.mp3
[2026-08-11T13:48:32.481+0000] {logging_mixin.py:188} INFO - 2026-08-11 13:48:32,481 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1722.mp3
[2026-08-11T13:48:32.880+0000] {logging_mixin.py:188} INFO - 2026-08-11 13:48:32,880 | INFO     | media.image_downloader | Downloaded background image for scene='boutique' -> /opt/airflow/output/images/long_1722.jpg
[2026-08-11T13:48:38.419+0000] {logging_mixin.py:188} INFO - 2026-08-11 13:48:38,419 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1729.mp3
[2026-08-11T13:48:38.923+0000] {logging_mixin.py:188} INFO - 2026-08-11 13:48:38,923 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1729.mp3
[2026-08-11T13:48:39.384+0000] {logging_mixin.py:188} INFO - 2026-08-11 13:48:39,384 | INFO     | media.image_downloader | Downloaded background image for scene='store' -> /opt/airflow/output/images/long_1729.jpg
[2026-08-11T13:48:45.580+0000] {logging_mixin.py:188} INFO - 2026-08-11 13:48:45,580 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1734.mp3
[2026-08-11T13:48:46.190+0000] {logging_mixin.py:188} INFO - 2026-08-11 13:48:46,190 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1734.mp3
