[2026-08-11T13:52:52.247+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-08-11T13:52:52.313+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_5 scheduled__2026-08-10T12:00:00+00:00 [queued]>
[2026-08-11T13:52:52.332+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_5 scheduled__2026-08-10T12:00:00+00:00 [queued]>
[2026-08-11T13:52:52.338+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 3
[2026-08-11T13:52:52.359+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): build_long_video_5> on 2026-08-10 12:00:00+00:00
[2026-08-11T13:52:52.367+0000] {standard_task_runner.py:64} INFO - Started process 28251 to run task
[2026-08-11T13:52:52.370+0000] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'youtube_english_video_pipeline', 'build_long_video_5', 'scheduled__2026-08-10T12:00:00+00:00', '--job-id', '707', '--raw', '--subdir', 'DAGS_FOLDER/youtube_pipeline.py', '--cfg-path', '/tmp/tmpw4862rgz']
[2026-08-11T13:52:52.376+0000] {standard_task_runner.py:91} INFO - Job 707: Subtask build_long_video_5
[2026-08-11T13:52:52.496+0000] {task_command.py:426} INFO - Running <TaskInstance: youtube_english_video_pipeline.build_long_video_5 scheduled__2026-08-10T12:00:00+00:00 [running]> on host cc859d74cf38
[2026-08-11T13:52:52.769+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='taky' AIRFLOW_CTX_DAG_ID='youtube_english_video_pipeline' AIRFLOW_CTX_TASK_ID='build_long_video_5' AIRFLOW_CTX_EXECUTION_DATE='2026-08-10T12:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-08-10T12:00:00+00:00'
[2026-08-11T13:52:52.774+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-08-11T13:52:55.078+0000] {logging_mixin.py:188} INFO - 2026-08-11 13:52:55,078 | INFO     | planner.video_planner | Planned LONG video: topic='Restaurant English', phrases=17
[2026-08-11T13:52:55.706+0000] {logging_mixin.py:188} INFO - 2026-08-11 13:52:55,706 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1711.mp3
[2026-08-11T13:52:56.969+0000] {logging_mixin.py:188} INFO - 2026-08-11 13:52:56,969 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1711.mp3
[2026-08-11T13:52:58.575+0000] {logging_mixin.py:188} INFO - 2026-08-11 13:52:58,575 | INFO     | media.image_downloader | Downloaded background image for scene='cafe' -> /opt/airflow/output/images/long_1711.jpg
[2026-08-11T13:53:06.688+0000] {logging_mixin.py:188} INFO - 2026-08-11 13:53:06,688 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1713.mp3
[2026-08-11T13:53:08.600+0000] {logging_mixin.py:188} INFO - 2026-08-11 13:53:08,600 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1713.mp3
[2026-08-11T13:53:09.454+0000] {logging_mixin.py:188} INFO - 2026-08-11 13:53:09,454 | INFO     | media.image_downloader | Downloaded background image for scene='restaurant' -> /opt/airflow/output/images/long_1713.jpg
[2026-08-11T13:53:14.455+0000] {logging_mixin.py:188} INFO - 2026-08-11 13:53:14,455 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1720.mp3
[2026-08-11T13:53:15.592+0000] {logging_mixin.py:188} INFO - 2026-08-11 13:53:15,591 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1720.mp3
[2026-08-11T13:53:16.363+0000] {logging_mixin.py:188} INFO - 2026-08-11 13:53:16,363 | INFO     | media.image_downloader | Downloaded background image for scene='restaurant' -> /opt/airflow/output/images/long_1720.jpg
[2026-08-11T13:53:20.586+0000] {logging_mixin.py:188} INFO - 2026-08-11 13:53:20,586 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1721.mp3
[2026-08-11T13:53:21.358+0000] {logging_mixin.py:188} INFO - 2026-08-11 13:53:21,358 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1721.mp3
[2026-08-11T13:53:22.332+0000] {logging_mixin.py:188} INFO - 2026-08-11 13:53:22,332 | INFO     | media.image_downloader | Downloaded background image for scene='restaurant' -> /opt/airflow/output/images/long_1721.jpg
[2026-08-11T13:53:27.651+0000] {logging_mixin.py:188} INFO - 2026-08-11 13:53:27,651 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1723.mp3
[2026-08-11T13:53:28.396+0000] {logging_mixin.py:188} INFO - 2026-08-11 13:53:28,396 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1723.mp3
[2026-08-11T13:53:29.056+0000] {logging_mixin.py:188} INFO - 2026-08-11 13:53:29,055 | INFO     | media.image_downloader | Downloaded background image for scene='restaurant' -> /opt/airflow/output/images/long_1723.jpg
[2026-08-11T13:53:33.679+0000] {logging_mixin.py:188} INFO - 2026-08-11 13:53:33,679 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1728.mp3
[2026-08-11T13:53:34.549+0000] {logging_mixin.py:188} INFO - 2026-08-11 13:53:34,549 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1728.mp3
[2026-08-11T13:53:35.391+0000] {logging_mixin.py:188} INFO - 2026-08-11 13:53:35,391 | INFO     | media.image_downloader | Downloaded background image for scene='restaurant' -> /opt/airflow/output/images/long_1728.jpg
[2026-08-11T13:53:39.276+0000] {logging_mixin.py:188} INFO - 2026-08-11 13:53:39,276 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1738.mp3
[2026-08-11T13:53:40.560+0000] {logging_mixin.py:188} INFO - 2026-08-11 13:53:40,560 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1738.mp3
[2026-08-11T13:53:41.174+0000] {logging_mixin.py:188} INFO - 2026-08-11 13:53:41,174 | INFO     | media.image_downloader | Downloaded background image for scene='restaurant' -> /opt/airflow/output/images/long_1738.jpg
[2026-08-11T13:53:45.924+0000] {logging_mixin.py:188} INFO - 2026-08-11 13:53:45,924 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1739.mp3
[2026-08-11T13:53:46.578+0000] {logging_mixin.py:188} INFO - 2026-08-11 13:53:46,578 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1739.mp3
[2026-08-11T13:53:49.596+0000] {logging_mixin.py:188} INFO - 2026-08-11 13:53:49,595 | INFO     | media.image_downloader | Downloaded background image for scene='restaurant' -> /opt/airflow/output/images/long_1739.jpg
[2026-08-11T13:53:53.714+0000] {logging_mixin.py:188} INFO - 2026-08-11 13:53:53,714 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1745.mp3
