[2026-08-11T13:59:32.389+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-08-11T13:59:32.414+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_7 scheduled__2026-08-10T12:00:00+00:00 [queued]>
[2026-08-11T13:59:32.420+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_7 scheduled__2026-08-10T12:00:00+00:00 [queued]>
[2026-08-11T13:59:32.421+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 3
[2026-08-11T13:59:32.432+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): build_long_video_7> on 2026-08-10 12:00:00+00:00
[2026-08-11T13:59:32.437+0000] {standard_task_runner.py:64} INFO - Started process 34023 to run task
[2026-08-11T13:59:32.439+0000] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'youtube_english_video_pipeline', 'build_long_video_7', 'scheduled__2026-08-10T12:00:00+00:00', '--job-id', '717', '--raw', '--subdir', 'DAGS_FOLDER/youtube_pipeline.py', '--cfg-path', '/tmp/tmp5tc73lwn']
[2026-08-11T13:59:32.441+0000] {standard_task_runner.py:91} INFO - Job 717: Subtask build_long_video_7
[2026-08-11T13:59:32.542+0000] {task_command.py:426} INFO - Running <TaskInstance: youtube_english_video_pipeline.build_long_video_7 scheduled__2026-08-10T12:00:00+00:00 [running]> on host cc859d74cf38
[2026-08-11T13:59:32.810+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='taky' AIRFLOW_CTX_DAG_ID='youtube_english_video_pipeline' AIRFLOW_CTX_TASK_ID='build_long_video_7' AIRFLOW_CTX_EXECUTION_DATE='2026-08-10T12:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-08-10T12:00:00+00:00'
[2026-08-11T13:59:32.812+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-08-11T13:59:34.165+0000] {logging_mixin.py:188} INFO - 2026-08-11 13:59:34,165 | INFO     | planner.video_planner | Only 14 phrases for topic='Daily Conversation', topping up without topic filter
[2026-08-11T13:59:34.178+0000] {logging_mixin.py:188} INFO - 2026-08-11 13:59:34,178 | INFO     | planner.video_planner | Planned LONG video: topic='Mixed English Expressions', phrases=20
[2026-08-11T13:59:34.639+0000] {logging_mixin.py:188} INFO - 2026-08-11 13:59:34,639 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1696.mp3
[2026-08-11T13:59:35.138+0000] {logging_mixin.py:188} INFO - 2026-08-11 13:59:35,138 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1696.mp3
[2026-08-11T13:59:35.443+0000] {logging_mixin.py:188} INFO - 2026-08-11 13:59:35,442 | INFO     | media.image_downloader | Downloaded background image for scene='airport' -> /opt/airflow/output/images/long_1696.jpg
[2026-08-11T13:59:39.798+0000] {logging_mixin.py:188} INFO - 2026-08-11 13:59:39,798 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1699.mp3
[2026-08-11T13:59:40.252+0000] {logging_mixin.py:188} INFO - 2026-08-11 13:59:40,252 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1699.mp3
[2026-08-11T13:59:40.525+0000] {logging_mixin.py:188} INFO - 2026-08-11 13:59:40,525 | INFO     | media.image_downloader | Downloaded background image for scene='hotel' -> /opt/airflow/output/images/long_1699.jpg
[2026-08-11T13:59:44.774+0000] {logging_mixin.py:188} INFO - 2026-08-11 13:59:44,774 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1701.mp3
[2026-08-11T13:59:45.338+0000] {logging_mixin.py:188} INFO - 2026-08-11 13:59:45,338 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1701.mp3
[2026-08-11T13:59:45.729+0000] {logging_mixin.py:188} INFO - 2026-08-11 13:59:45,729 | INFO     | media.image_downloader | Downloaded background image for scene='park' -> /opt/airflow/output/images/long_1701.jpg
[2026-08-11T13:59:51.289+0000] {logging_mixin.py:188} INFO - 2026-08-11 13:59:51,289 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1691.mp3
