[2026-08-11T14:03:27.519+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-08-11T14:03:27.579+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_8 scheduled__2026-08-10T12:00:00+00:00 [queued]>
[2026-08-11T14:03:27.597+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_8 scheduled__2026-08-10T12:00:00+00:00 [queued]>
[2026-08-11T14:03:27.603+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 3
[2026-08-11T14:03:27.619+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): build_long_video_8> on 2026-08-10 12:00:00+00:00
[2026-08-11T14:03:27.626+0000] {standard_task_runner.py:64} INFO - Started process 37478 to run task
[2026-08-11T14:03:27.629+0000] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'youtube_english_video_pipeline', 'build_long_video_8', 'scheduled__2026-08-10T12:00:00+00:00', '--job-id', '722', '--raw', '--subdir', 'DAGS_FOLDER/youtube_pipeline.py', '--cfg-path', '/tmp/tmpqbnccyrt']
[2026-08-11T14:03:27.632+0000] {standard_task_runner.py:91} INFO - Job 722: Subtask build_long_video_8
[2026-08-11T14:03:27.704+0000] {task_command.py:426} INFO - Running <TaskInstance: youtube_english_video_pipeline.build_long_video_8 scheduled__2026-08-10T12:00:00+00:00 [running]> on host cc859d74cf38
[2026-08-11T14:03:27.897+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='taky' AIRFLOW_CTX_DAG_ID='youtube_english_video_pipeline' AIRFLOW_CTX_TASK_ID='build_long_video_8' AIRFLOW_CTX_EXECUTION_DATE='2026-08-10T12:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-08-10T12:00:00+00:00'
[2026-08-11T14:03:27.900+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-08-11T14:03:28.979+0000] {logging_mixin.py:188} INFO - 2026-08-11 14:03:28,979 | INFO     | planner.video_planner | Planned LONG video: topic='Daily Conversation', phrases=20
[2026-08-11T14:03:29.470+0000] {logging_mixin.py:188} INFO - 2026-08-11 14:03:29,469 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1724.mp3
[2026-08-11T14:03:29.953+0000] {logging_mixin.py:188} INFO - 2026-08-11 14:03:29,952 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1724.mp3
[2026-08-11T14:03:30.328+0000] {logging_mixin.py:188} INFO - 2026-08-11 14:03:30,327 | INFO     | media.image_downloader | Downloaded background image for scene='cafe' -> /opt/airflow/output/images/long_1724.jpg
[2026-08-11T14:03:38.366+0000] {logging_mixin.py:188} INFO - 2026-08-11 14:03:38,366 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1783.mp3
[2026-08-11T14:03:38.935+0000] {logging_mixin.py:188} INFO - 2026-08-11 14:03:38,935 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1783.mp3
[2026-08-11T14:03:39.218+0000] {logging_mixin.py:188} INFO - 2026-08-11 14:03:39,218 | INFO     | media.image_downloader | Downloaded background image for scene='party' -> /opt/airflow/output/images/long_1783.jpg
[2026-08-11T14:03:43.542+0000] {logging_mixin.py:188} INFO - 2026-08-11 14:03:43,542 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1798.mp3
[2026-08-11T14:03:44.082+0000] {logging_mixin.py:188} INFO - 2026-08-11 14:03:44,081 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1798.mp3
[2026-08-11T14:03:44.521+0000] {logging_mixin.py:188} INFO - 2026-08-11 14:03:44,521 | INFO     | media.image_downloader | Downloaded background image for scene='street' -> /opt/airflow/output/images/long_1798.jpg
[2026-08-11T14:03:49.201+0000] {logging_mixin.py:188} INFO - 2026-08-11 14:03:49,201 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1800.mp3
[2026-08-11T14:03:49.656+0000] {logging_mixin.py:188} INFO - 2026-08-11 14:03:49,656 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1800.mp3
[2026-08-11T14:03:49.937+0000] {logging_mixin.py:188} INFO - 2026-08-11 14:03:49,937 | INFO     | media.image_downloader | Downloaded background image for scene='street' -> /opt/airflow/output/images/long_1800.jpg
[2026-08-11T14:03:54.212+0000] {logging_mixin.py:188} INFO - 2026-08-11 14:03:54,211 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1803.mp3
[2026-08-11T14:03:54.645+0000] {logging_mixin.py:188} INFO - 2026-08-11 14:03:54,645 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1803.mp3
[2026-08-11T14:03:54.990+0000] {logging_mixin.py:188} INFO - 2026-08-11 14:03:54,990 | INFO     | media.image_downloader | Downloaded background image for scene='park' -> /opt/airflow/output/images/long_1803.jpg
[2026-08-11T14:04:00.840+0000] {logging_mixin.py:188} INFO - 2026-08-11 14:04:00,840 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1804.mp3
[2026-08-11T14:04:01.239+0000] {logging_mixin.py:188} INFO - 2026-08-11 14:04:01,239 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1804.mp3
[2026-08-11T14:04:01.546+0000] {logging_mixin.py:188} INFO - 2026-08-11 14:04:01,545 | INFO     | media.image_downloader | Downloaded background image for scene='cafe' -> /opt/airflow/output/images/long_1804.jpg
[2026-08-11T14:04:07.083+0000] {logging_mixin.py:188} INFO - 2026-08-11 14:04:07,083 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1808.mp3
[2026-08-11T14:04:07.677+0000] {logging_mixin.py:188} INFO - 2026-08-11 14:04:07,677 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1808.mp3
[2026-08-11T14:04:08.107+0000] {logging_mixin.py:188} INFO - 2026-08-11 14:04:08,107 | INFO     | media.image_downloader | Downloaded background image for scene='street' -> /opt/airflow/output/images/long_1808.jpg
[2026-08-11T14:04:12.400+0000] {logging_mixin.py:188} INFO - 2026-08-11 14:04:12,400 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1809.mp3
[2026-08-11T14:04:12.865+0000] {logging_mixin.py:188} INFO - 2026-08-11 14:04:12,865 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1809.mp3
[2026-08-11T14:04:13.133+0000] {logging_mixin.py:188} INFO - 2026-08-11 14:04:13,133 | INFO     | media.image_downloader | Downloaded background image for scene='office' -> /opt/airflow/output/images/long_1809.jpg
[2026-08-11T14:04:17.159+0000] {logging_mixin.py:188} INFO - 2026-08-11 14:04:17,159 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1811.mp3
[2026-08-11T14:04:17.565+0000] {logging_mixin.py:188} INFO - 2026-08-11 14:04:17,565 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1811.mp3
[2026-08-11T14:04:18.032+0000] {logging_mixin.py:188} INFO - 2026-08-11 14:04:18,032 | INFO     | media.image_downloader | Downloaded background image for scene='office' -> /opt/airflow/output/images/long_1811.jpg
[2026-08-11T14:04:22.061+0000] {logging_mixin.py:188} INFO - 2026-08-11 14:04:22,061 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1817.mp3
[2026-08-11T14:04:22.725+0000] {logging_mixin.py:188} INFO - 2026-08-11 14:04:22,725 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1817.mp3
[2026-08-11T14:04:23.057+0000] {logging_mixin.py:188} INFO - 2026-08-11 14:04:23,057 | INFO     | media.image_downloader | Downloaded background image for scene='train' -> /opt/airflow/output/images/long_1817.jpg
[2026-08-11T14:04:27.654+0000] {logging_mixin.py:188} INFO - 2026-08-11 14:04:27,654 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1821.mp3
