[2026-08-17T12:39:35.903+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-08-17T12:39:35.973+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_1 scheduled__2026-08-11T12:00:00+00:00 [queued]>
[2026-08-17T12:39:35.985+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_1 scheduled__2026-08-11T12:00:00+00:00 [queued]>
[2026-08-17T12:39:35.989+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 3
[2026-08-17T12:39:36.010+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): build_long_video_1> on 2026-08-11 12:00:00+00:00
[2026-08-17T12:39:36.018+0000] {standard_task_runner.py:64} INFO - Started process 861 to run task
[2026-08-17T12:39:36.023+0000] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'youtube_english_video_pipeline', 'build_long_video_1', 'scheduled__2026-08-11T12:00:00+00:00', '--job-id', '738', '--raw', '--subdir', 'DAGS_FOLDER/youtube_pipeline.py', '--cfg-path', '/tmp/tmp_qvhwsfp']
[2026-08-17T12:39:36.030+0000] {standard_task_runner.py:91} INFO - Job 738: Subtask build_long_video_1
[2026-08-17T12:39:36.171+0000] {task_command.py:426} INFO - Running <TaskInstance: youtube_english_video_pipeline.build_long_video_1 scheduled__2026-08-11T12:00:00+00:00 [running]> on host cc859d74cf38
[2026-08-17T12:39:36.457+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='taky' AIRFLOW_CTX_DAG_ID='youtube_english_video_pipeline' AIRFLOW_CTX_TASK_ID='build_long_video_1' AIRFLOW_CTX_EXECUTION_DATE='2026-08-11T12:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-08-11T12:00:00+00:00'
[2026-08-17T12:39:36.460+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-08-17T12:39:38.661+0000] {logging_mixin.py:188} INFO - 2026-08-17 12:39:38,661 | INFO     | planner.video_planner | Only 10 phrases for topic='Business English', topping up without topic filter
[2026-08-17T12:39:38.678+0000] {logging_mixin.py:188} INFO - 2026-08-17 12:39:38,678 | INFO     | planner.video_planner | Planned LONG video: topic='Mixed English Expressions', phrases=20
[2026-08-17T12:39:39.237+0000] {logging_mixin.py:188} INFO - 2026-08-17 12:39:39,237 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1857.mp3
[2026-08-17T12:39:39.927+0000] {logging_mixin.py:188} INFO - 2026-08-17 12:39:39,927 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1857.mp3
[2026-08-17T12:39:40.866+0000] {logging_mixin.py:188} INFO - 2026-08-17 12:39:40,866 | INFO     | media.image_downloader | Downloaded background image for scene='hotel' -> /opt/airflow/output/images/long_1857.jpg
[2026-08-17T12:39:47.972+0000] {logging_mixin.py:188} INFO - 2026-08-17 12:39:47,972 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1851.mp3
[2026-08-17T12:39:48.482+0000] {logging_mixin.py:188} INFO - 2026-08-17 12:39:48,481 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1851.mp3
[2026-08-17T12:39:49.240+0000] {logging_mixin.py:188} INFO - 2026-08-17 12:39:49,239 | INFO     | media.image_downloader | Downloaded background image for scene='store' -> /opt/airflow/output/images/long_1851.jpg
[2026-08-17T12:39:55.033+0000] {logging_mixin.py:188} INFO - 2026-08-17 12:39:55,033 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1853.mp3
[2026-08-17T12:39:55.634+0000] {logging_mixin.py:188} INFO - 2026-08-17 12:39:55,634 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1853.mp3
[2026-08-17T12:39:56.296+0000] {logging_mixin.py:188} INFO - 2026-08-17 12:39:56,296 | INFO     | media.image_downloader | Downloaded background image for scene='city' -> /opt/airflow/output/images/long_1853.jpg
[2026-08-17T12:40:03.124+0000] {logging_mixin.py:188} INFO - 2026-08-17 12:40:03,124 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1858.mp3
