[2026-08-17T12:43:35.352+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-08-17T12:43:35.405+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_2 scheduled__2026-08-11T12:00:00+00:00 [queued]>
[2026-08-17T12:43:35.418+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_2 scheduled__2026-08-11T12:00:00+00:00 [queued]>
[2026-08-17T12:43:35.420+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 3
[2026-08-17T12:43:35.439+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): build_long_video_2> on 2026-08-11 12:00:00+00:00
[2026-08-17T12:43:35.446+0000] {standard_task_runner.py:64} INFO - Started process 4285 to run task
[2026-08-17T12:43:35.451+0000] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'youtube_english_video_pipeline', 'build_long_video_2', 'scheduled__2026-08-11T12:00:00+00:00', '--job-id', '743', '--raw', '--subdir', 'DAGS_FOLDER/youtube_pipeline.py', '--cfg-path', '/tmp/tmpd4v_w18a']
[2026-08-17T12:43:35.454+0000] {standard_task_runner.py:91} INFO - Job 743: Subtask build_long_video_2
[2026-08-17T12:43:35.582+0000] {task_command.py:426} INFO - Running <TaskInstance: youtube_english_video_pipeline.build_long_video_2 scheduled__2026-08-11T12:00:00+00:00 [running]> on host cc859d74cf38
[2026-08-17T12:43:35.957+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='taky' AIRFLOW_CTX_DAG_ID='youtube_english_video_pipeline' AIRFLOW_CTX_TASK_ID='build_long_video_2' AIRFLOW_CTX_EXECUTION_DATE='2026-08-11T12:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-08-11T12:00:00+00:00'
[2026-08-17T12:43:35.960+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-08-17T12:43:37.912+0000] {logging_mixin.py:188} INFO - 2026-08-17 12:43:37,912 | INFO     | planner.video_planner | Only 8 phrases for topic='Business English', topping up without topic filter
[2026-08-17T12:43:37.926+0000] {logging_mixin.py:188} INFO - 2026-08-17 12:43:37,926 | INFO     | planner.video_planner | Planned LONG video: topic='Mixed English Expressions', phrases=20
[2026-08-17T12:43:38.368+0000] {logging_mixin.py:188} INFO - 2026-08-17 12:43:38,368 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1873.mp3
[2026-08-17T12:43:38.745+0000] {logging_mixin.py:188} INFO - 2026-08-17 12:43:38,745 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1873.mp3
[2026-08-17T12:43:39.534+0000] {logging_mixin.py:188} INFO - 2026-08-17 12:43:39,534 | INFO     | media.image_downloader | Downloaded background image for scene='lobby' -> /opt/airflow/output/images/long_1873.jpg
[2026-08-17T12:43:45.749+0000] {logging_mixin.py:188} INFO - 2026-08-17 12:43:45,749 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1874.mp3
[2026-08-17T12:43:46.283+0000] {logging_mixin.py:188} INFO - 2026-08-17 12:43:46,283 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1874.mp3
[2026-08-17T12:43:46.941+0000] {logging_mixin.py:188} INFO - 2026-08-17 12:43:46,941 | INFO     | media.image_downloader | Downloaded background image for scene='classroom' -> /opt/airflow/output/images/long_1874.jpg
[2026-08-17T12:43:52.246+0000] {logging_mixin.py:188} INFO - 2026-08-17 12:43:52,246 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1875.mp3
[2026-08-17T12:43:52.714+0000] {logging_mixin.py:188} INFO - 2026-08-17 12:43:52,714 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1875.mp3
[2026-08-17T12:43:52.982+0000] {logging_mixin.py:188} INFO - 2026-08-17 12:43:52,982 | INFO     | media.image_downloader | Downloaded background image for scene='office' -> /opt/airflow/output/images/long_1875.jpg
[2026-08-17T12:43:57.972+0000] {logging_mixin.py:188} INFO - 2026-08-17 12:43:57,971 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1876.mp3
