[2026-08-17T12:48:27.184+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-08-17T12:48:27.263+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_3 scheduled__2026-08-11T12:00:00+00:00 [queued]>
[2026-08-17T12:48:27.285+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_3 scheduled__2026-08-11T12:00:00+00:00 [queued]>
[2026-08-17T12:48:27.288+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 3
[2026-08-17T12:48:27.308+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): build_long_video_3> on 2026-08-11 12:00:00+00:00
[2026-08-17T12:48:27.315+0000] {standard_task_runner.py:64} INFO - Started process 7749 to run task
[2026-08-17T12:48:27.319+0000] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'youtube_english_video_pipeline', 'build_long_video_3', 'scheduled__2026-08-11T12:00:00+00:00', '--job-id', '748', '--raw', '--subdir', 'DAGS_FOLDER/youtube_pipeline.py', '--cfg-path', '/tmp/tmpag4gd1hb']
[2026-08-17T12:48:27.322+0000] {standard_task_runner.py:91} INFO - Job 748: Subtask build_long_video_3
[2026-08-17T12:48:27.449+0000] {task_command.py:426} INFO - Running <TaskInstance: youtube_english_video_pipeline.build_long_video_3 scheduled__2026-08-11T12:00:00+00:00 [running]> on host cc859d74cf38
[2026-08-17T12:48:27.827+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='taky' AIRFLOW_CTX_DAG_ID='youtube_english_video_pipeline' AIRFLOW_CTX_TASK_ID='build_long_video_3' AIRFLOW_CTX_EXECUTION_DATE='2026-08-11T12:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-08-11T12:00:00+00:00'
[2026-08-17T12:48:27.830+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-08-17T12:48:29.699+0000] {logging_mixin.py:188} INFO - 2026-08-17 12:48:29,699 | INFO     | planner.video_planner | Only 12 phrases for topic='Business English', topping up without topic filter
[2026-08-17T12:48:29.713+0000] {logging_mixin.py:188} INFO - 2026-08-17 12:48:29,713 | INFO     | planner.video_planner | Planned LONG video: topic='Mixed English Expressions', phrases=20
[2026-08-17T12:48:30.215+0000] {logging_mixin.py:188} INFO - 2026-08-17 12:48:30,215 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1897.mp3
[2026-08-17T12:48:30.726+0000] {logging_mixin.py:188} INFO - 2026-08-17 12:48:30,726 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1897.mp3
[2026-08-17T12:48:31.018+0000] {logging_mixin.py:188} INFO - 2026-08-17 12:48:31,018 | INFO     | media.image_downloader | Downloaded background image for scene='restaurant' -> /opt/airflow/output/images/long_1897.jpg
[2026-08-17T12:48:36.004+0000] {logging_mixin.py:188} INFO - 2026-08-17 12:48:36,003 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1896.mp3
[2026-08-17T12:48:36.555+0000] {logging_mixin.py:188} INFO - 2026-08-17 12:48:36,555 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1896.mp3
[2026-08-17T12:48:38.477+0000] {logging_mixin.py:188} INFO - 2026-08-17 12:48:38,477 | INFO     | media.image_downloader | Downloaded background image for scene='supermarket' -> /opt/airflow/output/images/long_1896.jpg
[2026-08-17T12:48:43.738+0000] {logging_mixin.py:188} INFO - 2026-08-17 12:48:43,737 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1894.mp3
[2026-08-17T12:48:44.144+0000] {logging_mixin.py:188} INFO - 2026-08-17 12:48:44,144 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1894.mp3
[2026-08-17T12:48:45.034+0000] {logging_mixin.py:188} INFO - 2026-08-17 12:48:45,034 | INFO     | media.image_downloader | Downloaded background image for scene='library' -> /opt/airflow/output/images/long_1894.jpg
[2026-08-17T12:48:50.143+0000] {logging_mixin.py:188} INFO - 2026-08-17 12:48:50,143 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1903.mp3
[2026-08-17T12:48:50.823+0000] {logging_mixin.py:188} INFO - 2026-08-17 12:48:50,823 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1903.mp3
[2026-08-17T12:48:51.123+0000] {logging_mixin.py:188} INFO - 2026-08-17 12:48:51,123 | INFO     | media.image_downloader | Downloaded background image for scene='restaurant' -> /opt/airflow/output/images/long_1903.jpg
[2026-08-17T12:48:56.822+0000] {logging_mixin.py:188} INFO - 2026-08-17 12:48:56,821 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1899.mp3
[2026-08-17T12:48:57.300+0000] {logging_mixin.py:188} INFO - 2026-08-17 12:48:57,299 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1899.mp3
[2026-08-17T12:48:57.616+0000] {logging_mixin.py:188} INFO - 2026-08-17 12:48:57,616 | INFO     | media.image_downloader | Downloaded background image for scene='meeting' -> /opt/airflow/output/images/long_1899.jpg
[2026-08-17T12:49:02.949+0000] {logging_mixin.py:188} INFO - 2026-08-17 12:49:02,949 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1900.mp3
[2026-08-17T12:49:03.487+0000] {logging_mixin.py:188} INFO - 2026-08-17 12:49:03,487 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1900.mp3
[2026-08-17T12:49:04.338+0000] {logging_mixin.py:188} INFO - 2026-08-17 12:49:04,338 | INFO     | media.image_downloader | Downloaded background image for scene='home' -> /opt/airflow/output/images/long_1900.jpg
[2026-08-17T12:49:09.770+0000] {logging_mixin.py:188} INFO - 2026-08-17 12:49:09,770 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1901.mp3
[2026-08-17T12:49:10.359+0000] {logging_mixin.py:188} INFO - 2026-08-17 12:49:10,359 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1901.mp3
[2026-08-17T12:49:11.969+0000] {logging_mixin.py:188} INFO - 2026-08-17 12:49:11,969 | INFO     | media.image_downloader | Downloaded background image for scene='restaurant' -> /opt/airflow/output/images/long_1901.jpg
[2026-08-17T12:49:16.517+0000] {logging_mixin.py:188} INFO - 2026-08-17 12:49:16,517 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1895.mp3
[2026-08-17T12:49:17.005+0000] {logging_mixin.py:188} INFO - 2026-08-17 12:49:17,005 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1895.mp3
[2026-08-17T12:49:17.321+0000] {logging_mixin.py:188} INFO - 2026-08-17 12:49:17,321 | INFO     | media.image_downloader | Downloaded background image for scene='office' -> /opt/airflow/output/images/long_1895.jpg
[2026-08-17T12:49:22.117+0000] {logging_mixin.py:188} INFO - 2026-08-17 12:49:22,117 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1898.mp3
[2026-08-17T12:49:22.597+0000] {logging_mixin.py:188} INFO - 2026-08-17 12:49:22,597 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1898.mp3
[2026-08-17T12:49:22.866+0000] {logging_mixin.py:188} INFO - 2026-08-17 12:49:22,866 | INFO     | media.image_downloader | Downloaded background image for scene='hotel' -> /opt/airflow/output/images/long_1898.jpg
[2026-08-17T12:49:28.483+0000] {logging_mixin.py:188} INFO - 2026-08-17 12:49:28,483 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1904.mp3
[2026-08-17T12:49:29.362+0000] {logging_mixin.py:188} INFO - 2026-08-17 12:49:29,362 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1904.mp3
[2026-08-17T12:49:29.711+0000] {logging_mixin.py:188} INFO - 2026-08-17 12:49:29,711 | INFO     | media.image_downloader | Downloaded background image for scene='airport' -> /opt/airflow/output/images/long_1904.jpg
[2026-08-17T12:49:34.576+0000] {logging_mixin.py:188} INFO - 2026-08-17 12:49:34,576 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1905.mp3
[2026-08-17T12:49:35.064+0000] {logging_mixin.py:188} INFO - 2026-08-17 12:49:35,063 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1905.mp3
[2026-08-17T12:49:35.384+0000] {logging_mixin.py:188} INFO - 2026-08-17 12:49:35,384 | INFO     | media.image_downloader | Downloaded background image for scene='park' -> /opt/airflow/output/images/long_1905.jpg
[2026-08-17T12:49:42.527+0000] {logging_mixin.py:188} INFO - 2026-08-17 12:49:42,527 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1906.mp3
[2026-08-17T12:49:43.051+0000] {logging_mixin.py:188} INFO - 2026-08-17 12:49:43,051 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1906.mp3
[2026-08-17T12:49:43.417+0000] {logging_mixin.py:188} INFO - 2026-08-17 12:49:43,417 | INFO     | media.image_downloader | Downloaded background image for scene='office' -> /opt/airflow/output/images/long_1906.jpg
[2026-08-17T12:49:48.992+0000] {logging_mixin.py:188} INFO - 2026-08-17 12:49:48,992 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1907.mp3
[2026-08-17T12:49:49.356+0000] {logging_mixin.py:188} INFO - 2026-08-17 12:49:49,356 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1907.mp3
[2026-08-17T12:49:50.315+0000] {logging_mixin.py:188} INFO - 2026-08-17 12:49:50,315 | INFO     | media.image_downloader | Downloaded background image for scene='bakery' -> /opt/airflow/output/images/long_1907.jpg
[2026-08-17T12:49:58.210+0000] {logging_mixin.py:188} INFO - 2026-08-17 12:49:58,210 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1908.mp3
[2026-08-17T12:49:58.749+0000] {logging_mixin.py:188} INFO - 2026-08-17 12:49:58,749 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1908.mp3
[2026-08-17T12:49:59.670+0000] {logging_mixin.py:188} INFO - 2026-08-17 12:49:59,670 | INFO     | media.image_downloader | Downloaded background image for scene='train' -> /opt/airflow/output/images/long_1908.jpg
[2026-08-17T12:50:07.334+0000] {logging_mixin.py:188} INFO - 2026-08-17 12:50:07,334 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1909.mp3
[2026-08-17T12:50:07.746+0000] {logging_mixin.py:188} INFO - 2026-08-17 12:50:07,746 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1909.mp3
[2026-08-17T12:50:07.995+0000] {logging_mixin.py:188} INFO - 2026-08-17 12:50:07,995 | INFO     | media.image_downloader | Downloaded background image for scene='restaurant' -> /opt/airflow/output/images/long_1909.jpg
[2026-08-17T12:50:12.910+0000] {logging_mixin.py:188} INFO - 2026-08-17 12:50:12,910 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1910.mp3
[2026-08-17T12:50:13.436+0000] {logging_mixin.py:188} INFO - 2026-08-17 12:50:13,436 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1910.mp3
[2026-08-17T12:50:13.923+0000] {logging_mixin.py:188} INFO - 2026-08-17 12:50:13,923 | INFO     | media.image_downloader | Downloaded background image for scene='office' -> /opt/airflow/output/images/long_1910.jpg
[2026-08-17T12:50:18.680+0000] {logging_mixin.py:188} INFO - 2026-08-17 12:50:18,679 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1902.mp3
[2026-08-17T12:50:19.102+0000] {logging_mixin.py:188} INFO - 2026-08-17 12:50:19,102 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1902.mp3
[2026-08-17T12:50:19.388+0000] {logging_mixin.py:188} INFO - 2026-08-17 12:50:19,387 | INFO     | media.image_downloader | Downloaded background image for scene='boutique' -> /opt/airflow/output/images/long_1902.jpg
[2026-08-17T12:50:23.675+0000] {logging_mixin.py:188} INFO - 2026-08-17 12:50:23,674 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1913.mp3
[2026-08-17T12:50:24.100+0000] {logging_mixin.py:188} INFO - 2026-08-17 12:50:24,100 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1913.mp3
[2026-08-17T12:50:24.347+0000] {logging_mixin.py:188} INFO - 2026-08-17 12:50:24,346 | INFO     | media.image_downloader | Downloaded background image for scene='airport' -> /opt/airflow/output/images/long_1913.jpg
[2026-08-17T12:50:28.939+0000] {logging_mixin.py:188} INFO - 2026-08-17 12:50:28,939 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1912.mp3
[2026-08-17T12:50:29.372+0000] {logging_mixin.py:188} INFO - 2026-08-17 12:50:29,372 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1912.mp3
[2026-08-17T12:50:29.759+0000] {logging_mixin.py:188} INFO - 2026-08-17 12:50:29,758 | INFO     | media.image_downloader | Downloaded background image for scene='shopping' -> /opt/airflow/output/images/long_1912.jpg
[2026-08-17T12:50:35.814+0000] {logging_mixin.py:188} INFO - 2026-08-17 12:50:35,814 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1911.mp3
[2026-08-17T12:50:36.228+0000] {logging_mixin.py:188} INFO - 2026-08-17 12:50:36,228 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1911.mp3
[2026-08-17T12:50:36.412+0000] {logging_mixin.py:188} INFO - 2026-08-17 12:50:36,412 | INFO     | media.image_downloader | Downloaded background image for scene='restaurant' -> /opt/airflow/output/images/long_1911.jpg
[2026-08-17T12:50:46.275+0000] {logging_mixin.py:188} INFO - 2026-08-17 12:50:46,275 | WARNING  | video.video_builder | BGM file not found at /opt/airflow/assets/bgm/long_bgm.mp3, rendering without background music
[2026-08-17T12:51:24.604+0000] {logging_mixin.py:188} INFO - 2026-08-17 12:51:24,604 | INFO     | video.video_builder | Final video rendered -> /opt/airflow/output/videos/long_1897.mp4
[2026-08-17T12:51:31.365+0000] {logging_mixin.py:188} INFO - 2026-08-17 12:51:31,365 | WARNING  | generators.metadata_generator | Metadata generation via Gemini failed, using fallback: RetryError[<Future at 0x7a07882e7790 state=finished raised ResourceExhausted>]
[2026-08-17T12:51:31.591+0000] {logging_mixin.py:188} INFO - 2026-08-17 12:51:31,591 | INFO     | media.thumbnail_builder | Built thumbnail -> /opt/airflow/output/thumbnails/long_1897.jpg
