[2026-08-17T12:52:18.755+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-08-17T12:52:18.817+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_4 scheduled__2026-08-11T12:00:00+00:00 [queued]>
[2026-08-17T12:52:18.838+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_4 scheduled__2026-08-11T12:00:00+00:00 [queued]>
[2026-08-17T12:52:18.844+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 3
[2026-08-17T12:52:18.863+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): build_long_video_4> on 2026-08-11 12:00:00+00:00
[2026-08-17T12:52:18.875+0000] {standard_task_runner.py:64} INFO - Started process 11175 to run task
[2026-08-17T12:52:18.879+0000] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'youtube_english_video_pipeline', 'build_long_video_4', 'scheduled__2026-08-11T12:00:00+00:00', '--job-id', '753', '--raw', '--subdir', 'DAGS_FOLDER/youtube_pipeline.py', '--cfg-path', '/tmp/tmpv8az99c3']
[2026-08-17T12:52:18.889+0000] {standard_task_runner.py:91} INFO - Job 753: Subtask build_long_video_4
[2026-08-17T12:52:19.008+0000] {task_command.py:426} INFO - Running <TaskInstance: youtube_english_video_pipeline.build_long_video_4 scheduled__2026-08-11T12:00:00+00:00 [running]> on host cc859d74cf38
[2026-08-17T12:52:19.299+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='taky' AIRFLOW_CTX_DAG_ID='youtube_english_video_pipeline' AIRFLOW_CTX_TASK_ID='build_long_video_4' AIRFLOW_CTX_EXECUTION_DATE='2026-08-11T12:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-08-11T12:00:00+00:00'
[2026-08-17T12:52:19.306+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-08-17T12:52:22.065+0000] {logging_mixin.py:188} INFO - 2026-08-17 12:52:22,064 | INFO     | planner.video_planner | Only 8 phrases for topic='Travel English', topping up without topic filter
[2026-08-17T12:52:22.093+0000] {logging_mixin.py:188} INFO - 2026-08-17 12:52:22,093 | INFO     | planner.video_planner | Planned LONG video: topic='Mixed English Expressions', phrases=20
[2026-08-17T12:52:22.564+0000] {logging_mixin.py:188} INFO - 2026-08-17 12:52:22,564 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1916.mp3
[2026-08-17T12:52:22.977+0000] {logging_mixin.py:188} INFO - 2026-08-17 12:52:22,977 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1916.mp3
[2026-08-17T12:52:23.323+0000] {logging_mixin.py:188} INFO - 2026-08-17 12:52:23,322 | INFO     | media.image_downloader | Downloaded background image for scene='cafe' -> /opt/airflow/output/images/long_1916.jpg
[2026-08-17T12:52:35.935+0000] {logging_mixin.py:188} INFO - 2026-08-17 12:52:35,935 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1917.mp3
[2026-08-17T12:52:36.478+0000] {logging_mixin.py:188} INFO - 2026-08-17 12:52:36,478 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1917.mp3
[2026-08-17T12:52:36.853+0000] {logging_mixin.py:188} INFO - 2026-08-17 12:52:36,852 | INFO     | media.image_downloader | Downloaded background image for scene='street' -> /opt/airflow/output/images/long_1917.jpg
[2026-08-17T12:52:43.525+0000] {logging_mixin.py:188} INFO - 2026-08-17 12:52:43,525 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1918.mp3
[2026-08-17T12:52:43.997+0000] {logging_mixin.py:188} INFO - 2026-08-17 12:52:43,997 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1918.mp3
[2026-08-17T12:52:44.329+0000] {logging_mixin.py:188} INFO - 2026-08-17 12:52:44,329 | INFO     | media.image_downloader | Downloaded background image for scene='boutique' -> /opt/airflow/output/images/long_1918.jpg
[2026-08-17T12:52:49.207+0000] {logging_mixin.py:188} INFO - 2026-08-17 12:52:49,207 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1919.mp3
[2026-08-17T12:52:49.558+0000] {logging_mixin.py:188} INFO - 2026-08-17 12:52:49,558 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1919.mp3
[2026-08-17T12:52:49.867+0000] {logging_mixin.py:188} INFO - 2026-08-17 12:52:49,867 | INFO     | media.image_downloader | Downloaded background image for scene='restaurant' -> /opt/airflow/output/images/long_1919.jpg
[2026-08-17T12:52:55.049+0000] {logging_mixin.py:188} INFO - 2026-08-17 12:52:55,049 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1920.mp3
[2026-08-17T12:52:55.728+0000] {logging_mixin.py:188} INFO - 2026-08-17 12:52:55,728 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1920.mp3
[2026-08-17T12:52:56.432+0000] {logging_mixin.py:188} INFO - 2026-08-17 12:52:56,432 | INFO     | media.image_downloader | Downloaded background image for scene='commute' -> /opt/airflow/output/images/long_1920.jpg
[2026-08-17T12:53:02.355+0000] {logging_mixin.py:188} INFO - 2026-08-17 12:53:02,354 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1921.mp3
[2026-08-17T12:53:02.843+0000] {logging_mixin.py:188} INFO - 2026-08-17 12:53:02,843 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1921.mp3
[2026-08-17T12:53:03.300+0000] {logging_mixin.py:188} INFO - 2026-08-17 12:53:03,300 | INFO     | media.image_downloader | Downloaded background image for scene='hotel' -> /opt/airflow/output/images/long_1921.jpg
[2026-08-17T12:53:08.819+0000] {logging_mixin.py:188} INFO - 2026-08-17 12:53:08,819 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1922.mp3
[2026-08-17T12:53:09.308+0000] {logging_mixin.py:188} INFO - 2026-08-17 12:53:09,308 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1922.mp3
[2026-08-17T12:53:09.492+0000] {logging_mixin.py:188} INFO - 2026-08-17 12:53:09,492 | INFO     | media.image_downloader | Downloaded background image for scene='subway' -> /opt/airflow/output/images/long_1922.jpg
[2026-08-17T12:53:14.475+0000] {logging_mixin.py:188} INFO - 2026-08-17 12:53:14,475 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1923.mp3
