[2026-08-17T12:56:47.288+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-08-17T12:56:47.377+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_5 scheduled__2026-08-11T12:00:00+00:00 [queued]>
[2026-08-17T12:56:47.395+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_5 scheduled__2026-08-11T12:00:00+00:00 [queued]>
[2026-08-17T12:56:47.407+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 3
[2026-08-17T12:56:47.446+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): build_long_video_5> on 2026-08-11 12:00:00+00:00
[2026-08-17T12:56:47.460+0000] {standard_task_runner.py:64} INFO - Started process 14638 to run task
[2026-08-17T12:56:47.464+0000] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'youtube_english_video_pipeline', 'build_long_video_5', 'scheduled__2026-08-11T12:00:00+00:00', '--job-id', '758', '--raw', '--subdir', 'DAGS_FOLDER/youtube_pipeline.py', '--cfg-path', '/tmp/tmpk7mhmomz']
[2026-08-17T12:56:47.479+0000] {standard_task_runner.py:91} INFO - Job 758: Subtask build_long_video_5
[2026-08-17T12:56:47.630+0000] {task_command.py:426} INFO - Running <TaskInstance: youtube_english_video_pipeline.build_long_video_5 scheduled__2026-08-11T12:00:00+00:00 [running]> on host cc859d74cf38
[2026-08-17T12:56:48.050+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='taky' AIRFLOW_CTX_DAG_ID='youtube_english_video_pipeline' AIRFLOW_CTX_TASK_ID='build_long_video_5' AIRFLOW_CTX_EXECUTION_DATE='2026-08-11T12:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-08-11T12:00:00+00:00'
[2026-08-17T12:56:48.052+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-08-17T12:56:49.500+0000] {logging_mixin.py:188} INFO - 2026-08-17 12:56:49,499 | INFO     | planner.video_planner | Only 6 phrases for topic='Daily Conversation', topping up without topic filter
[2026-08-17T12:56:49.511+0000] {logging_mixin.py:188} INFO - 2026-08-17 12:56:49,511 | INFO     | planner.video_planner | Planned LONG video: topic='Mixed English Expressions', phrases=20
[2026-08-17T12:56:49.824+0000] {logging_mixin.py:188} INFO - 2026-08-17 12:56:49,824 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1936.mp3
[2026-08-17T12:56:50.115+0000] {logging_mixin.py:188} INFO - 2026-08-17 12:56:50,115 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1936.mp3
[2026-08-17T12:56:50.336+0000] {logging_mixin.py:188} INFO - 2026-08-17 12:56:50,336 | INFO     | media.image_downloader | Downloaded background image for scene='office' -> /opt/airflow/output/images/long_1936.jpg
[2026-08-17T12:56:54.750+0000] {logging_mixin.py:188} INFO - 2026-08-17 12:56:54,750 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1937.mp3
[2026-08-17T12:56:55.278+0000] {logging_mixin.py:188} INFO - 2026-08-17 12:56:55,278 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1937.mp3
[2026-08-17T12:56:55.779+0000] {logging_mixin.py:188} INFO - 2026-08-17 12:56:55,779 | INFO     | media.image_downloader | Downloaded background image for scene='commute' -> /opt/airflow/output/images/long_1937.jpg
[2026-08-17T12:57:01.448+0000] {logging_mixin.py:188} INFO - 2026-08-17 12:57:01,447 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1938.mp3
[2026-08-17T12:57:02.091+0000] {logging_mixin.py:188} INFO - 2026-08-17 12:57:02,090 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1938.mp3
[2026-08-17T12:57:02.465+0000] {logging_mixin.py:188} INFO - 2026-08-17 12:57:02,465 | INFO     | media.image_downloader | Downloaded background image for scene='restaurant' -> /opt/airflow/output/images/long_1938.jpg
[2026-08-17T12:57:07.502+0000] {logging_mixin.py:188} INFO - 2026-08-17 12:57:07,502 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1939.mp3
