[2026-08-18T23:55:50.538+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-08-18T23:55:50.574+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_1 scheduled__2026-08-17T12:00:00+00:00 [queued]>
[2026-08-18T23:55:50.581+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_1 scheduled__2026-08-17T12:00:00+00:00 [queued]>
[2026-08-18T23:55:50.583+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 3
[2026-08-18T23:55:50.603+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): build_long_video_1> on 2026-08-17 12:00:00+00:00
[2026-08-18T23:55:50.607+0000] {standard_task_runner.py:64} INFO - Started process 18954 to run task
[2026-08-18T23:55:50.610+0000] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'youtube_english_video_pipeline', 'build_long_video_1', 'scheduled__2026-08-17T12:00:00+00:00', '--job-id', '775', '--raw', '--subdir', 'DAGS_FOLDER/youtube_pipeline.py', '--cfg-path', '/tmp/tmpd0d5axak']
[2026-08-18T23:55:50.614+0000] {standard_task_runner.py:91} INFO - Job 775: Subtask build_long_video_1
[2026-08-18T23:55:50.694+0000] {task_command.py:426} INFO - Running <TaskInstance: youtube_english_video_pipeline.build_long_video_1 scheduled__2026-08-17T12:00:00+00:00 [running]> on host cc859d74cf38
[2026-08-18T23:55:50.889+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='taky' AIRFLOW_CTX_DAG_ID='youtube_english_video_pipeline' AIRFLOW_CTX_TASK_ID='build_long_video_1' AIRFLOW_CTX_EXECUTION_DATE='2026-08-17T12:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-08-17T12:00:00+00:00'
[2026-08-18T23:55:50.892+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-08-18T23:55:52.358+0000] {logging_mixin.py:188} INFO - 2026-08-18 23:55:52,357 | INFO     | planner.video_planner | Planned LONG video: topic='Travel English', phrases=20
[2026-08-18T23:55:52.754+0000] {logging_mixin.py:188} INFO - 2026-08-18 23:55:52,754 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1959.mp3
[2026-08-18T23:55:53.174+0000] {logging_mixin.py:188} INFO - 2026-08-18 23:55:53,174 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1959.mp3
[2026-08-18T23:55:53.625+0000] {logging_mixin.py:188} INFO - 2026-08-18 23:55:53,624 | INFO     | media.image_downloader | Downloaded background image for scene='train' -> /opt/airflow/output/images/long_1959.jpg
[2026-08-18T23:55:58.582+0000] {logging_mixin.py:188} INFO - 2026-08-18 23:55:58,582 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1960.mp3
[2026-08-18T23:55:58.990+0000] {logging_mixin.py:188} INFO - 2026-08-18 23:55:58,990 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1960.mp3
[2026-08-18T23:55:59.451+0000] {logging_mixin.py:188} INFO - 2026-08-18 23:55:59,451 | INFO     | media.image_downloader | Downloaded background image for scene='taxi' -> /opt/airflow/output/images/long_1960.jpg
[2026-08-18T23:56:04.319+0000] {logging_mixin.py:188} INFO - 2026-08-18 23:56:04,319 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1967.mp3
[2026-08-18T23:56:04.770+0000] {logging_mixin.py:188} INFO - 2026-08-18 23:56:04,770 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1967.mp3
[2026-08-18T23:56:05.455+0000] {logging_mixin.py:188} INFO - 2026-08-18 23:56:05,454 | INFO     | media.image_downloader | Downloaded background image for scene='airport' -> /opt/airflow/output/images/long_1967.jpg
[2026-08-18T23:56:11.022+0000] {logging_mixin.py:188} INFO - 2026-08-18 23:56:11,022 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1972.mp3
[2026-08-18T23:56:11.441+0000] {logging_mixin.py:188} INFO - 2026-08-18 23:56:11,440 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1972.mp3
