[2026-08-19T00:02:26.408+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-08-19T00:02:26.444+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_3 scheduled__2026-08-17T12:00:00+00:00 [queued]>
[2026-08-19T00:02:26.452+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_3 scheduled__2026-08-17T12:00:00+00:00 [queued]>
[2026-08-19T00:02:26.454+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 3
[2026-08-19T00:02:26.476+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): build_long_video_3> on 2026-08-17 12:00:00+00:00
[2026-08-19T00:02:26.481+0000] {standard_task_runner.py:64} INFO - Started process 25029 to run task
[2026-08-19T00:02:26.483+0000] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'youtube_english_video_pipeline', 'build_long_video_3', 'scheduled__2026-08-17T12:00:00+00:00', '--job-id', '785', '--raw', '--subdir', 'DAGS_FOLDER/youtube_pipeline.py', '--cfg-path', '/tmp/tmpmoctnzwz']
[2026-08-19T00:02:26.486+0000] {standard_task_runner.py:91} INFO - Job 785: Subtask build_long_video_3
[2026-08-19T00:02:26.577+0000] {task_command.py:426} INFO - Running <TaskInstance: youtube_english_video_pipeline.build_long_video_3 scheduled__2026-08-17T12:00:00+00:00 [running]> on host cc859d74cf38
[2026-08-19T00:02:26.798+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='taky' AIRFLOW_CTX_DAG_ID='youtube_english_video_pipeline' AIRFLOW_CTX_TASK_ID='build_long_video_3' AIRFLOW_CTX_EXECUTION_DATE='2026-08-17T12:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-08-17T12:00:00+00:00'
[2026-08-19T00:02:26.799+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-08-19T00:02:27.639+0000] {logging_mixin.py:188} INFO - 2026-08-19 00:02:27,639 | INFO     | planner.video_planner | Only 14 phrases for topic='Restaurant English', topping up without topic filter
[2026-08-19T00:02:27.649+0000] {logging_mixin.py:188} INFO - 2026-08-19 00:02:27,649 | INFO     | planner.video_planner | Planned LONG video: topic='Mixed English Expressions', phrases=20
[2026-08-19T00:02:27.942+0000] {logging_mixin.py:188} INFO - 2026-08-19 00:02:27,942 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1964.mp3
[2026-08-19T00:02:28.214+0000] {logging_mixin.py:188} INFO - 2026-08-19 00:02:28,214 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1964.mp3
[2026-08-19T00:02:28.936+0000] {logging_mixin.py:188} INFO - 2026-08-19 00:02:28,936 | INFO     | media.image_downloader | Downloaded background image for scene='bistro' -> /opt/airflow/output/images/long_1964.jpg
[2026-08-19T00:02:33.705+0000] {logging_mixin.py:188} INFO - 2026-08-19 00:02:33,705 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1965.mp3
[2026-08-19T00:02:34.078+0000] {logging_mixin.py:188} INFO - 2026-08-19 00:02:34,078 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1965.mp3
[2026-08-19T00:02:34.531+0000] {logging_mixin.py:188} INFO - 2026-08-19 00:02:34,530 | INFO     | media.image_downloader | Downloaded background image for scene='boutique' -> /opt/airflow/output/images/long_1965.jpg
[2026-08-19T00:02:40.432+0000] {logging_mixin.py:188} INFO - 2026-08-19 00:02:40,432 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1966.mp3
[2026-08-19T00:02:40.881+0000] {logging_mixin.py:188} INFO - 2026-08-19 00:02:40,881 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1966.mp3
[2026-08-19T00:02:41.127+0000] {logging_mixin.py:188} INFO - 2026-08-19 00:02:41,127 | INFO     | media.image_downloader | Downloaded background image for scene='hotel' -> /opt/airflow/output/images/long_1966.jpg
[2026-08-19T00:02:46.512+0000] {logging_mixin.py:188} INFO - 2026-08-19 00:02:46,512 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1969.mp3
[2026-08-19T00:02:46.802+0000] {logging_mixin.py:188} INFO - 2026-08-19 00:02:46,802 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1969.mp3
[2026-08-19T00:02:47.317+0000] {logging_mixin.py:188} INFO - 2026-08-19 00:02:47,317 | INFO     | media.image_downloader | Downloaded background image for scene='kitchen' -> /opt/airflow/output/images/long_1969.jpg
[2026-08-19T00:02:52.104+0000] {logging_mixin.py:188} INFO - 2026-08-19 00:02:52,104 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1970.mp3
[2026-08-19T00:02:52.588+0000] {logging_mixin.py:188} INFO - 2026-08-19 00:02:52,588 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1970.mp3
[2026-08-19T00:02:53.030+0000] {logging_mixin.py:188} INFO - 2026-08-19 00:02:53,030 | INFO     | media.image_downloader | Downloaded background image for scene='cafe' -> /opt/airflow/output/images/long_1970.jpg
[2026-08-19T00:02:58.643+0000] {logging_mixin.py:188} INFO - 2026-08-19 00:02:58,643 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1971.mp3
