[2026-08-19T00:05:54.106+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-08-19T00:05:54.146+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_4 scheduled__2026-08-17T12:00:00+00:00 [queued]>
[2026-08-19T00:05:54.156+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_4 scheduled__2026-08-17T12:00:00+00:00 [queued]>
[2026-08-19T00:05:54.157+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 3
[2026-08-19T00:05:54.174+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): build_long_video_4> on 2026-08-17 12:00:00+00:00
[2026-08-19T00:05:54.181+0000] {standard_task_runner.py:64} INFO - Started process 28451 to run task
[2026-08-19T00:05:54.185+0000] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'youtube_english_video_pipeline', 'build_long_video_4', 'scheduled__2026-08-17T12:00:00+00:00', '--job-id', '790', '--raw', '--subdir', 'DAGS_FOLDER/youtube_pipeline.py', '--cfg-path', '/tmp/tmp27rks8ev']
[2026-08-19T00:05:54.189+0000] {standard_task_runner.py:91} INFO - Job 790: Subtask build_long_video_4
[2026-08-19T00:05:54.275+0000] {task_command.py:426} INFO - Running <TaskInstance: youtube_english_video_pipeline.build_long_video_4 scheduled__2026-08-17T12:00:00+00:00 [running]> on host cc859d74cf38
[2026-08-19T00:05:54.504+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='taky' AIRFLOW_CTX_DAG_ID='youtube_english_video_pipeline' AIRFLOW_CTX_TASK_ID='build_long_video_4' AIRFLOW_CTX_EXECUTION_DATE='2026-08-17T12:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-08-17T12:00:00+00:00'
[2026-08-19T00:05:54.505+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-08-19T00:05:55.402+0000] {logging_mixin.py:188} INFO - 2026-08-19 00:05:55,401 | INFO     | planner.video_planner | Only 9 phrases for topic='Daily Conversation', topping up without topic filter
[2026-08-19T00:05:55.410+0000] {logging_mixin.py:188} INFO - 2026-08-19 00:05:55,410 | INFO     | planner.video_planner | Planned LONG video: topic='Mixed English Expressions', phrases=20
[2026-08-19T00:05:55.884+0000] {logging_mixin.py:188} INFO - 2026-08-19 00:05:55,884 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1995.mp3
[2026-08-19T00:05:56.384+0000] {logging_mixin.py:188} INFO - 2026-08-19 00:05:56,384 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1995.mp3
[2026-08-19T00:05:56.744+0000] {logging_mixin.py:188} INFO - 2026-08-19 00:05:56,744 | INFO     | media.image_downloader | Downloaded background image for scene='cafe' -> /opt/airflow/output/images/long_1995.jpg
[2026-08-19T00:06:03.025+0000] {logging_mixin.py:188} INFO - 2026-08-19 00:06:03,025 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1996.mp3
[2026-08-19T00:06:03.331+0000] {logging_mixin.py:188} INFO - 2026-08-19 00:06:03,331 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1996.mp3
[2026-08-19T00:06:03.913+0000] {logging_mixin.py:188} INFO - 2026-08-19 00:06:03,913 | INFO     | media.image_downloader | Downloaded background image for scene='party' -> /opt/airflow/output/images/long_1996.jpg
[2026-08-19T00:06:08.435+0000] {logging_mixin.py:188} INFO - 2026-08-19 00:06:08,435 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1997.mp3
[2026-08-19T00:06:08.801+0000] {logging_mixin.py:188} INFO - 2026-08-19 00:06:08,801 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1997.mp3
[2026-08-19T00:06:08.970+0000] {logging_mixin.py:188} INFO - 2026-08-19 00:06:08,970 | INFO     | media.image_downloader | Downloaded background image for scene='airport' -> /opt/airflow/output/images/long_1997.jpg
[2026-08-19T00:06:13.592+0000] {logging_mixin.py:188} INFO - 2026-08-19 00:06:13,592 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1998.mp3
[2026-08-19T00:06:14.003+0000] {logging_mixin.py:188} INFO - 2026-08-19 00:06:14,003 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1998.mp3
[2026-08-19T00:06:14.194+0000] {logging_mixin.py:188} INFO - 2026-08-19 00:06:14,194 | INFO     | media.image_downloader | Downloaded background image for scene='boutique' -> /opt/airflow/output/images/long_1998.jpg
[2026-08-19T00:06:18.962+0000] {logging_mixin.py:188} INFO - 2026-08-19 00:06:18,961 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1999.mp3
[2026-08-19T00:06:19.307+0000] {logging_mixin.py:188} INFO - 2026-08-19 00:06:19,307 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1999.mp3
[2026-08-19T00:06:19.482+0000] {logging_mixin.py:188} INFO - 2026-08-19 00:06:19,482 | INFO     | media.image_downloader | Downloaded background image for scene='hotel' -> /opt/airflow/output/images/long_1999.jpg
[2026-08-19T00:06:24.288+0000] {logging_mixin.py:188} INFO - 2026-08-19 00:06:24,288 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2000.mp3
[2026-08-19T00:06:24.660+0000] {logging_mixin.py:188} INFO - 2026-08-19 00:06:24,660 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2000.mp3
[2026-08-19T00:06:24.873+0000] {logging_mixin.py:188} INFO - 2026-08-19 00:06:24,872 | INFO     | media.image_downloader | Downloaded background image for scene='commute' -> /opt/airflow/output/images/long_2000.jpg
[2026-08-19T00:06:29.847+0000] {logging_mixin.py:188} INFO - 2026-08-19 00:06:29,847 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2004.mp3
[2026-08-19T00:06:30.213+0000] {logging_mixin.py:188} INFO - 2026-08-19 00:06:30,212 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2004.mp3
[2026-08-19T00:06:31.356+0000] {logging_mixin.py:188} INFO - 2026-08-19 00:06:31,356 | INFO     | media.image_downloader | Downloaded background image for scene='terrace' -> /opt/airflow/output/images/long_2004.jpg
[2026-08-19T00:06:37.265+0000] {logging_mixin.py:188} INFO - 2026-08-19 00:06:37,265 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2006.mp3
[2026-08-19T00:06:37.640+0000] {logging_mixin.py:188} INFO - 2026-08-19 00:06:37,640 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2006.mp3
[2026-08-19T00:06:37.826+0000] {logging_mixin.py:188} INFO - 2026-08-19 00:06:37,826 | INFO     | media.image_downloader | Downloaded background image for scene='desk' -> /opt/airflow/output/images/long_2006.jpg
[2026-08-19T00:06:43.076+0000] {logging_mixin.py:188} INFO - 2026-08-19 00:06:43,076 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2007.mp3
[2026-08-19T00:06:43.407+0000] {logging_mixin.py:188} INFO - 2026-08-19 00:06:43,407 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2007.mp3
[2026-08-19T00:06:43.574+0000] {logging_mixin.py:188} INFO - 2026-08-19 00:06:43,574 | INFO     | media.image_downloader | Downloaded background image for scene='store' -> /opt/airflow/output/images/long_2007.jpg
[2026-08-19T00:06:47.956+0000] {logging_mixin.py:188} INFO - 2026-08-19 00:06:47,956 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2008.mp3
[2026-08-19T00:06:48.362+0000] {logging_mixin.py:188} INFO - 2026-08-19 00:06:48,362 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2008.mp3
[2026-08-19T00:06:49.068+0000] {logging_mixin.py:188} INFO - 2026-08-19 00:06:49,068 | INFO     | media.image_downloader | Downloaded background image for scene='lounge' -> /opt/airflow/output/images/long_2008.jpg
[2026-08-19T00:06:53.769+0000] {logging_mixin.py:188} INFO - 2026-08-19 00:06:53,769 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2011.mp3
[2026-08-19T00:06:54.088+0000] {logging_mixin.py:188} INFO - 2026-08-19 00:06:54,088 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2011.mp3
