[2026-08-19T00:14:49.143+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-08-19T00:14:49.174+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_5 scheduled__2026-08-17T12:00:00+00:00 [queued]>
[2026-08-19T00:14:49.182+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_5 scheduled__2026-08-17T12:00:00+00:00 [queued]>
[2026-08-19T00:14:49.184+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 3
[2026-08-19T00:14:49.195+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): build_long_video_5> on 2026-08-17 12:00:00+00:00
[2026-08-19T00:14:49.199+0000] {standard_task_runner.py:64} INFO - Started process 31964 to run task
[2026-08-19T00:14:49.202+0000] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'youtube_english_video_pipeline', 'build_long_video_5', 'scheduled__2026-08-17T12:00:00+00:00', '--job-id', '796', '--raw', '--subdir', 'DAGS_FOLDER/youtube_pipeline.py', '--cfg-path', '/tmp/tmpl3j8wmu_']
[2026-08-19T00:14:49.205+0000] {standard_task_runner.py:91} INFO - Job 796: Subtask build_long_video_5
[2026-08-19T00:14:49.292+0000] {task_command.py:426} INFO - Running <TaskInstance: youtube_english_video_pipeline.build_long_video_5 scheduled__2026-08-17T12:00:00+00:00 [running]> on host cc859d74cf38
[2026-08-19T00:14:49.492+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='taky' AIRFLOW_CTX_DAG_ID='youtube_english_video_pipeline' AIRFLOW_CTX_TASK_ID='build_long_video_5' AIRFLOW_CTX_EXECUTION_DATE='2026-08-17T12:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-08-17T12:00:00+00:00'
[2026-08-19T00:14:49.494+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-08-19T00:14:50.379+0000] {logging_mixin.py:188} INFO - 2026-08-19 00:14:50,379 | INFO     | planner.video_planner | Only 7 phrases for topic='Daily Conversation', topping up without topic filter
[2026-08-19T00:14:50.385+0000] {logging_mixin.py:188} INFO - 2026-08-19 00:14:50,385 | INFO     | planner.video_planner | Planned LONG video: topic='Mixed English Expressions', phrases=20
[2026-08-19T00:14:50.835+0000] {logging_mixin.py:188} INFO - 2026-08-19 00:14:50,835 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2026.mp3
[2026-08-19T00:14:51.269+0000] {logging_mixin.py:188} INFO - 2026-08-19 00:14:51,269 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2026.mp3
[2026-08-19T00:14:51.626+0000] {logging_mixin.py:188} INFO - 2026-08-19 00:14:51,626 | INFO     | media.image_downloader | Downloaded background image for scene='supermarket' -> /opt/airflow/output/images/long_2026.jpg
[2026-08-19T00:14:56.832+0000] {logging_mixin.py:188} INFO - 2026-08-19 00:14:56,832 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2028.mp3
[2026-08-19T00:14:57.233+0000] {logging_mixin.py:188} INFO - 2026-08-19 00:14:57,233 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2028.mp3
[2026-08-19T00:14:57.571+0000] {logging_mixin.py:188} INFO - 2026-08-19 00:14:57,571 | INFO     | media.image_downloader | Downloaded background image for scene='library' -> /opt/airflow/output/images/long_2028.jpg
[2026-08-19T00:15:02.300+0000] {logging_mixin.py:188} INFO - 2026-08-19 00:15:02,299 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2030.mp3
[2026-08-19T00:15:02.661+0000] {logging_mixin.py:188} INFO - 2026-08-19 00:15:02,661 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2030.mp3
[2026-08-19T00:15:02.907+0000] {logging_mixin.py:188} INFO - 2026-08-19 00:15:02,907 | INFO     | media.image_downloader | Downloaded background image for scene='restaurant' -> /opt/airflow/output/images/long_2030.jpg
[2026-08-19T00:15:07.300+0000] {logging_mixin.py:188} INFO - 2026-08-19 00:15:07,300 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2031.mp3
