[2026-08-20T00:07:31.765+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-08-20T00:07:31.835+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_1 scheduled__2026-08-18T12:00:00+00:00 [queued]>
[2026-08-20T00:07:31.854+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_1 scheduled__2026-08-18T12:00:00+00:00 [queued]>
[2026-08-20T00:07:31.857+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 3
[2026-08-20T00:07:31.882+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): build_long_video_1> on 2026-08-18 12:00:00+00:00
[2026-08-20T00:07:31.895+0000] {standard_task_runner.py:64} INFO - Started process 35934 to run task
[2026-08-20T00:07:31.902+0000] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'youtube_english_video_pipeline', 'build_long_video_1', 'scheduled__2026-08-18T12:00:00+00:00', '--job-id', '807', '--raw', '--subdir', 'DAGS_FOLDER/youtube_pipeline.py', '--cfg-path', '/tmp/tmpake7kkn3']
[2026-08-20T00:07:31.906+0000] {standard_task_runner.py:91} INFO - Job 807: Subtask build_long_video_1
[2026-08-20T00:07:32.049+0000] {task_command.py:426} INFO - Running <TaskInstance: youtube_english_video_pipeline.build_long_video_1 scheduled__2026-08-18T12:00:00+00:00 [running]> on host cc859d74cf38
[2026-08-20T00:07:32.471+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='taky' AIRFLOW_CTX_DAG_ID='youtube_english_video_pipeline' AIRFLOW_CTX_TASK_ID='build_long_video_1' AIRFLOW_CTX_EXECUTION_DATE='2026-08-18T12:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-08-18T12:00:00+00:00'
[2026-08-20T00:07:32.473+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-08-20T00:07:34.499+0000] {logging_mixin.py:188} INFO - 2026-08-20 00:07:34,498 | INFO     | planner.video_planner | Planned LONG video: topic='Restaurant English', phrases=17
[2026-08-20T00:07:34.964+0000] {logging_mixin.py:188} INFO - 2026-08-20 00:07:34,964 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2061.mp3
[2026-08-20T00:07:35.350+0000] {logging_mixin.py:188} INFO - 2026-08-20 00:07:35,349 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2061.mp3
[2026-08-20T00:07:35.613+0000] {logging_mixin.py:188} INFO - 2026-08-20 00:07:35,613 | INFO     | media.image_downloader | Downloaded background image for scene='restaurant' -> /opt/airflow/output/images/long_2061.jpg
[2026-08-20T00:07:40.517+0000] {logging_mixin.py:188} INFO - 2026-08-20 00:07:40,517 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2065.mp3
[2026-08-20T00:07:41.098+0000] {logging_mixin.py:188} INFO - 2026-08-20 00:07:41,098 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2065.mp3
[2026-08-20T00:07:41.423+0000] {logging_mixin.py:188} INFO - 2026-08-20 00:07:41,423 | INFO     | media.image_downloader | Downloaded background image for scene='cafe' -> /opt/airflow/output/images/long_2065.jpg
[2026-08-20T00:07:47.758+0000] {logging_mixin.py:188} INFO - 2026-08-20 00:07:47,758 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2068.mp3
[2026-08-20T00:07:48.175+0000] {logging_mixin.py:188} INFO - 2026-08-20 00:07:48,174 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2068.mp3
[2026-08-20T00:07:48.438+0000] {logging_mixin.py:188} INFO - 2026-08-20 00:07:48,438 | INFO     | media.image_downloader | Downloaded background image for scene='restaurant' -> /opt/airflow/output/images/long_2068.jpg
[2026-08-20T00:07:53.126+0000] {logging_mixin.py:188} INFO - 2026-08-20 00:07:53,126 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2077.mp3
[2026-08-20T00:07:53.509+0000] {logging_mixin.py:188} INFO - 2026-08-20 00:07:53,508 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2077.mp3
[2026-08-20T00:07:53.707+0000] {logging_mixin.py:188} INFO - 2026-08-20 00:07:53,707 | INFO     | media.image_downloader | Downloaded background image for scene='restaurant' -> /opt/airflow/output/images/long_2077.jpg
[2026-08-20T00:07:58.338+0000] {logging_mixin.py:188} INFO - 2026-08-20 00:07:58,338 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2086.mp3
