[2026-08-20T00:16:07.393+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-08-20T00:16:07.435+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_4 scheduled__2026-08-18T12:00:00+00:00 [queued]>
[2026-08-20T00:16:07.444+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_4 scheduled__2026-08-18T12:00:00+00:00 [queued]>
[2026-08-20T00:16:07.445+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 3
[2026-08-20T00:16:07.460+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): build_long_video_4> on 2026-08-18 12:00:00+00:00
[2026-08-20T00:16:07.466+0000] {standard_task_runner.py:64} INFO - Started process 44363 to run task
[2026-08-20T00:16:07.470+0000] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'youtube_english_video_pipeline', 'build_long_video_4', 'scheduled__2026-08-18T12:00:00+00:00', '--job-id', '822', '--raw', '--subdir', 'DAGS_FOLDER/youtube_pipeline.py', '--cfg-path', '/tmp/tmp3xf5czg7']
[2026-08-20T00:16:07.473+0000] {standard_task_runner.py:91} INFO - Job 822: Subtask build_long_video_4
[2026-08-20T00:16:07.559+0000] {task_command.py:426} INFO - Running <TaskInstance: youtube_english_video_pipeline.build_long_video_4 scheduled__2026-08-18T12:00:00+00:00 [running]> on host cc859d74cf38
[2026-08-20T00:16:07.843+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='taky' AIRFLOW_CTX_DAG_ID='youtube_english_video_pipeline' AIRFLOW_CTX_TASK_ID='build_long_video_4' AIRFLOW_CTX_EXECUTION_DATE='2026-08-18T12:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-08-18T12:00:00+00:00'
[2026-08-20T00:16:07.844+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-08-20T00:16:09.027+0000] {logging_mixin.py:188} INFO - 2026-08-20 00:16:09,027 | INFO     | planner.video_planner | Only 13 phrases for topic='Daily Conversation', topping up without topic filter
[2026-08-20T00:16:09.037+0000] {logging_mixin.py:188} INFO - 2026-08-20 00:16:09,036 | INFO     | planner.video_planner | Planned LONG video: topic='Mixed English Expressions', phrases=20
[2026-08-20T00:16:09.352+0000] {logging_mixin.py:188} INFO - 2026-08-20 00:16:09,352 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2069.mp3
[2026-08-20T00:16:09.643+0000] {logging_mixin.py:188} INFO - 2026-08-20 00:16:09,643 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2069.mp3
[2026-08-20T00:16:09.841+0000] {logging_mixin.py:188} INFO - 2026-08-20 00:16:09,841 | INFO     | media.image_downloader | Downloaded background image for scene='boutique' -> /opt/airflow/output/images/long_2069.jpg
[2026-08-20T00:16:14.048+0000] {logging_mixin.py:188} INFO - 2026-08-20 00:16:14,048 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2070.mp3
[2026-08-20T00:16:14.481+0000] {logging_mixin.py:188} INFO - 2026-08-20 00:16:14,481 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2070.mp3
[2026-08-20T00:16:14.733+0000] {logging_mixin.py:188} INFO - 2026-08-20 00:16:14,733 | INFO     | media.image_downloader | Downloaded background image for scene='commute' -> /opt/airflow/output/images/long_2070.jpg
[2026-08-20T00:16:19.904+0000] {logging_mixin.py:188} INFO - 2026-08-20 00:16:19,903 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2071.mp3
[2026-08-20T00:16:20.448+0000] {logging_mixin.py:188} INFO - 2026-08-20 00:16:20,448 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2071.mp3
[2026-08-20T00:16:20.698+0000] {logging_mixin.py:188} INFO - 2026-08-20 00:16:20,698 | INFO     | media.image_downloader | Downloaded background image for scene='airport' -> /opt/airflow/output/images/long_2071.jpg
[2026-08-20T00:16:25.244+0000] {logging_mixin.py:188} INFO - 2026-08-20 00:16:25,244 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2072.mp3
