[2026-08-20T00:19:35.628+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-08-20T00:19:35.693+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_5 scheduled__2026-08-18T12:00:00+00:00 [queued]>
[2026-08-20T00:19:35.709+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_5 scheduled__2026-08-18T12:00:00+00:00 [queued]>
[2026-08-20T00:19:35.712+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 3
[2026-08-20T00:19:35.734+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): build_long_video_5> on 2026-08-18 12:00:00+00:00
[2026-08-20T00:19:35.743+0000] {standard_task_runner.py:64} INFO - Started process 47785 to run task
[2026-08-20T00:19:35.748+0000] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'youtube_english_video_pipeline', 'build_long_video_5', 'scheduled__2026-08-18T12:00:00+00:00', '--job-id', '827', '--raw', '--subdir', 'DAGS_FOLDER/youtube_pipeline.py', '--cfg-path', '/tmp/tmpa2ukvl31']
[2026-08-20T00:19:35.752+0000] {standard_task_runner.py:91} INFO - Job 827: Subtask build_long_video_5
[2026-08-20T00:19:35.869+0000] {task_command.py:426} INFO - Running <TaskInstance: youtube_english_video_pipeline.build_long_video_5 scheduled__2026-08-18T12:00:00+00:00 [running]> on host cc859d74cf38
[2026-08-20T00:19:36.221+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='taky' AIRFLOW_CTX_DAG_ID='youtube_english_video_pipeline' AIRFLOW_CTX_TASK_ID='build_long_video_5' AIRFLOW_CTX_EXECUTION_DATE='2026-08-18T12:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-08-18T12:00:00+00:00'
[2026-08-20T00:19:36.223+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-08-20T00:19:37.813+0000] {logging_mixin.py:188} INFO - 2026-08-20 00:19:37,812 | INFO     | planner.video_planner | Only 9 phrases for topic='Daily Conversation', topping up without topic filter
[2026-08-20T00:19:37.832+0000] {logging_mixin.py:188} INFO - 2026-08-20 00:19:37,832 | INFO     | planner.video_planner | Planned LONG video: topic='Mixed English Expressions', phrases=20
[2026-08-20T00:19:38.174+0000] {logging_mixin.py:188} INFO - 2026-08-20 00:19:38,174 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2104.mp3
[2026-08-20T00:19:38.593+0000] {logging_mixin.py:188} INFO - 2026-08-20 00:19:38,593 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2104.mp3
[2026-08-20T00:19:38.830+0000] {logging_mixin.py:188} INFO - 2026-08-20 00:19:38,830 | INFO     | media.image_downloader | Downloaded background image for scene='meeting' -> /opt/airflow/output/images/long_2104.jpg
[2026-08-20T00:19:43.740+0000] {logging_mixin.py:188} INFO - 2026-08-20 00:19:43,740 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2107.mp3
[2026-08-20T00:19:44.178+0000] {logging_mixin.py:188} INFO - 2026-08-20 00:19:44,178 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2107.mp3
[2026-08-20T00:19:44.472+0000] {logging_mixin.py:188} INFO - 2026-08-20 00:19:44,472 | INFO     | media.image_downloader | Downloaded background image for scene='cafe' -> /opt/airflow/output/images/long_2107.jpg
[2026-08-20T00:19:50.313+0000] {logging_mixin.py:188} INFO - 2026-08-20 00:19:50,313 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2108.mp3
[2026-08-20T00:19:50.685+0000] {logging_mixin.py:188} INFO - 2026-08-20 00:19:50,685 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2108.mp3
[2026-08-20T00:19:50.935+0000] {logging_mixin.py:188} INFO - 2026-08-20 00:19:50,934 | INFO     | media.image_downloader | Downloaded background image for scene='hotel' -> /opt/airflow/output/images/long_2108.jpg
[2026-08-20T00:19:55.885+0000] {logging_mixin.py:188} INFO - 2026-08-20 00:19:55,884 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2112.mp3
[2026-08-20T00:19:56.408+0000] {logging_mixin.py:188} INFO - 2026-08-20 00:19:56,407 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2112.mp3
[2026-08-20T00:19:56.648+0000] {logging_mixin.py:188} INFO - 2026-08-20 00:19:56,648 | INFO     | media.image_downloader | Downloaded background image for scene='boutique' -> /opt/airflow/output/images/long_2112.jpg
[2026-08-20T00:20:01.812+0000] {logging_mixin.py:188} INFO - 2026-08-20 00:20:01,812 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2114.mp3
[2026-08-20T00:20:02.280+0000] {logging_mixin.py:188} INFO - 2026-08-20 00:20:02,280 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2114.mp3
[2026-08-20T00:20:02.515+0000] {logging_mixin.py:188} INFO - 2026-08-20 00:20:02,515 | INFO     | media.image_downloader | Downloaded background image for scene='hotel' -> /opt/airflow/output/images/long_2114.jpg
[2026-08-20T00:20:07.827+0000] {logging_mixin.py:188} INFO - 2026-08-20 00:20:07,827 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2116.mp3
[2026-08-20T00:20:08.158+0000] {logging_mixin.py:188} INFO - 2026-08-20 00:20:08,158 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2116.mp3
[2026-08-20T00:20:08.407+0000] {logging_mixin.py:188} INFO - 2026-08-20 00:20:08,407 | INFO     | media.image_downloader | Downloaded background image for scene='cafe' -> /opt/airflow/output/images/long_2116.jpg
[2026-08-20T00:20:13.675+0000] {logging_mixin.py:188} INFO - 2026-08-20 00:20:13,675 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2117.mp3
[2026-08-20T00:20:14.245+0000] {logging_mixin.py:188} INFO - 2026-08-20 00:20:14,244 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2117.mp3
[2026-08-20T00:20:14.769+0000] {logging_mixin.py:188} INFO - 2026-08-20 00:20:14,769 | INFO     | media.image_downloader | Downloaded background image for scene='clothing' -> /opt/airflow/output/images/long_2117.jpg
[2026-08-20T00:20:18.834+0000] {logging_mixin.py:188} INFO - 2026-08-20 00:20:18,833 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2119.mp3
