[2026-08-22T07:15:40.800+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-08-22T07:15:40.826+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_3 scheduled__2026-08-20T12:00:00+00:00 [queued]>
[2026-08-22T07:15:40.833+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_3 scheduled__2026-08-20T12:00:00+00:00 [queued]>
[2026-08-22T07:15:40.834+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 3
[2026-08-22T07:15:40.844+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): build_long_video_3> on 2026-08-20 12:00:00+00:00
[2026-08-22T07:15:40.848+0000] {standard_task_runner.py:64} INFO - Started process 76576 to run task
[2026-08-22T07:15:40.851+0000] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'youtube_english_video_pipeline', 'build_long_video_3', 'scheduled__2026-08-20T12:00:00+00:00', '--job-id', '882', '--raw', '--subdir', 'DAGS_FOLDER/youtube_pipeline.py', '--cfg-path', '/tmp/tmp9nsvrm8q']
[2026-08-22T07:15:40.853+0000] {standard_task_runner.py:91} INFO - Job 882: Subtask build_long_video_3
[2026-08-22T07:15:40.906+0000] {task_command.py:426} INFO - Running <TaskInstance: youtube_english_video_pipeline.build_long_video_3 scheduled__2026-08-20T12:00:00+00:00 [running]> on host cc859d74cf38
[2026-08-22T07:15:41.087+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='taky' AIRFLOW_CTX_DAG_ID='youtube_english_video_pipeline' AIRFLOW_CTX_TASK_ID='build_long_video_3' AIRFLOW_CTX_EXECUTION_DATE='2026-08-20T12:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-08-20T12:00:00+00:00'
[2026-08-22T07:15:41.091+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-08-22T07:15:41.892+0000] {logging_mixin.py:188} INFO - 2026-08-22 07:15:41,892 | INFO     | planner.video_planner | Only 12 phrases for topic='Travel English', topping up without topic filter
[2026-08-22T07:15:41.899+0000] {logging_mixin.py:188} INFO - 2026-08-22 07:15:41,899 | INFO     | planner.video_planner | Planned LONG video: topic='Mixed English Expressions', phrases=20
[2026-08-22T07:15:42.414+0000] {logging_mixin.py:188} INFO - 2026-08-22 07:15:42,414 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2267.mp3
[2026-08-22T07:15:42.837+0000] {logging_mixin.py:188} INFO - 2026-08-22 07:15:42,837 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2267.mp3
[2026-08-22T07:15:43.200+0000] {logging_mixin.py:188} INFO - 2026-08-22 07:15:43,200 | INFO     | media.image_downloader | Downloaded background image for scene='cafe' -> /opt/airflow/output/images/long_2267.jpg
[2026-08-22T07:15:47.778+0000] {logging_mixin.py:188} INFO - 2026-08-22 07:15:47,778 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2268.mp3
[2026-08-22T07:15:48.188+0000] {logging_mixin.py:188} INFO - 2026-08-22 07:15:48,188 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2268.mp3
[2026-08-22T07:15:48.395+0000] {logging_mixin.py:188} INFO - 2026-08-22 07:15:48,395 | INFO     | media.image_downloader | Downloaded background image for scene='airport' -> /opt/airflow/output/images/long_2268.jpg
[2026-08-22T07:15:52.739+0000] {logging_mixin.py:188} INFO - 2026-08-22 07:15:52,739 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2269.mp3
[2026-08-22T07:15:53.082+0000] {logging_mixin.py:188} INFO - 2026-08-22 07:15:53,082 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2269.mp3
[2026-08-22T07:15:53.343+0000] {logging_mixin.py:188} INFO - 2026-08-22 07:15:53,343 | INFO     | media.image_downloader | Downloaded background image for scene='airport' -> /opt/airflow/output/images/long_2269.jpg
[2026-08-22T07:15:57.898+0000] {logging_mixin.py:188} INFO - 2026-08-22 07:15:57,898 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2271.mp3
[2026-08-22T07:15:58.308+0000] {logging_mixin.py:188} INFO - 2026-08-22 07:15:58,308 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2271.mp3
[2026-08-22T07:15:58.498+0000] {logging_mixin.py:188} INFO - 2026-08-22 07:15:58,498 | INFO     | media.image_downloader | Downloaded background image for scene='subway' -> /opt/airflow/output/images/long_2271.jpg
[2026-08-22T07:16:02.093+0000] {logging_mixin.py:188} INFO - 2026-08-22 07:16:02,093 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2272.mp3
[2026-08-22T07:16:02.522+0000] {logging_mixin.py:188} INFO - 2026-08-22 07:16:02,521 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2272.mp3
[2026-08-22T07:16:02.793+0000] {logging_mixin.py:188} INFO - 2026-08-22 07:16:02,793 | INFO     | media.image_downloader | Downloaded background image for scene='boutique' -> /opt/airflow/output/images/long_2272.jpg
[2026-08-22T07:16:06.464+0000] {logging_mixin.py:188} INFO - 2026-08-22 07:16:06,463 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2273.mp3
[2026-08-22T07:16:06.841+0000] {logging_mixin.py:188} INFO - 2026-08-22 07:16:06,841 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2273.mp3
[2026-08-22T07:16:07.047+0000] {logging_mixin.py:188} INFO - 2026-08-22 07:16:07,047 | INFO     | media.image_downloader | Downloaded background image for scene='supermarket' -> /opt/airflow/output/images/long_2273.jpg
[2026-08-22T07:16:10.863+0000] {logging_mixin.py:188} INFO - 2026-08-22 07:16:10,863 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2275.mp3
[2026-08-22T07:16:11.342+0000] {logging_mixin.py:188} INFO - 2026-08-22 07:16:11,342 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2275.mp3
[2026-08-22T07:16:11.602+0000] {logging_mixin.py:188} INFO - 2026-08-22 07:16:11,602 | INFO     | media.image_downloader | Downloaded background image for scene='park' -> /opt/airflow/output/images/long_2275.jpg
[2026-08-22T07:16:15.976+0000] {logging_mixin.py:188} INFO - 2026-08-22 07:16:15,976 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2278.mp3
