[2026-08-22T07:18:32.176+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-08-22T07:18:32.200+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_4 scheduled__2026-08-20T12:00:00+00:00 [queued]>
[2026-08-22T07:18:32.207+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_4 scheduled__2026-08-20T12:00:00+00:00 [queued]>
[2026-08-22T07:18:32.214+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 3
[2026-08-22T07:18:32.233+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): build_long_video_4> on 2026-08-20 12:00:00+00:00
[2026-08-22T07:18:32.248+0000] {standard_task_runner.py:64} INFO - Started process 79992 to run task
[2026-08-22T07:18:32.251+0000] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'youtube_english_video_pipeline', 'build_long_video_4', 'scheduled__2026-08-20T12:00:00+00:00', '--job-id', '887', '--raw', '--subdir', 'DAGS_FOLDER/youtube_pipeline.py', '--cfg-path', '/tmp/tmp35xt3een']
[2026-08-22T07:18:32.266+0000] {standard_task_runner.py:91} INFO - Job 887: Subtask build_long_video_4
[2026-08-22T07:18:32.344+0000] {task_command.py:426} INFO - Running <TaskInstance: youtube_english_video_pipeline.build_long_video_4 scheduled__2026-08-20T12:00:00+00:00 [running]> on host cc859d74cf38
[2026-08-22T07:18:32.526+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='taky' AIRFLOW_CTX_DAG_ID='youtube_english_video_pipeline' AIRFLOW_CTX_TASK_ID='build_long_video_4' AIRFLOW_CTX_EXECUTION_DATE='2026-08-20T12:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-08-20T12:00:00+00:00'
[2026-08-22T07:18:32.534+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-08-22T07:18:33.122+0000] {logging_mixin.py:188} INFO - 2026-08-22 07:18:33,122 | INFO     | planner.video_planner | Only 8 phrases for topic='Travel English', topping up without topic filter
[2026-08-22T07:18:33.129+0000] {logging_mixin.py:188} INFO - 2026-08-22 07:18:33,129 | INFO     | planner.video_planner | Planned LONG video: topic='Mixed English Expressions', phrases=20
[2026-08-22T07:18:33.581+0000] {logging_mixin.py:188} INFO - 2026-08-22 07:18:33,581 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2296.mp3
[2026-08-22T07:18:34.052+0000] {logging_mixin.py:188} INFO - 2026-08-22 07:18:34,051 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2296.mp3
[2026-08-22T07:18:34.322+0000] {logging_mixin.py:188} INFO - 2026-08-22 07:18:34,322 | INFO     | media.image_downloader | Downloaded background image for scene='party' -> /opt/airflow/output/images/long_2296.jpg
[2026-08-22T07:18:38.155+0000] {logging_mixin.py:188} INFO - 2026-08-22 07:18:38,155 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2298.mp3
[2026-08-22T07:18:38.558+0000] {logging_mixin.py:188} INFO - 2026-08-22 07:18:38,558 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2298.mp3
[2026-08-22T07:18:38.786+0000] {logging_mixin.py:188} INFO - 2026-08-22 07:18:38,786 | INFO     | media.image_downloader | Downloaded background image for scene='subway' -> /opt/airflow/output/images/long_2298.jpg
[2026-08-22T07:18:42.188+0000] {logging_mixin.py:188} INFO - 2026-08-22 07:18:42,188 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2301.mp3
[2026-08-22T07:18:42.612+0000] {logging_mixin.py:188} INFO - 2026-08-22 07:18:42,611 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2301.mp3
[2026-08-22T07:18:43.693+0000] {logging_mixin.py:188} INFO - 2026-08-22 07:18:43,693 | INFO     | media.image_downloader | Downloaded background image for scene='market' -> /opt/airflow/output/images/long_2301.jpg
[2026-08-22T07:18:48.012+0000] {logging_mixin.py:188} INFO - 2026-08-22 07:18:48,012 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2302.mp3
[2026-08-22T07:18:48.462+0000] {logging_mixin.py:188} INFO - 2026-08-22 07:18:48,462 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2302.mp3
[2026-08-22T07:18:48.687+0000] {logging_mixin.py:188} INFO - 2026-08-22 07:18:48,687 | INFO     | media.image_downloader | Downloaded background image for scene='hotel' -> /opt/airflow/output/images/long_2302.jpg
[2026-08-22T07:18:52.301+0000] {logging_mixin.py:188} INFO - 2026-08-22 07:18:52,300 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2304.mp3
[2026-08-22T07:18:52.633+0000] {logging_mixin.py:188} INFO - 2026-08-22 07:18:52,633 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2304.mp3
[2026-08-22T07:18:52.883+0000] {logging_mixin.py:188} INFO - 2026-08-22 07:18:52,883 | INFO     | media.image_downloader | Downloaded background image for scene='hallway' -> /opt/airflow/output/images/long_2304.jpg
[2026-08-22T07:18:57.057+0000] {logging_mixin.py:188} INFO - 2026-08-22 07:18:57,057 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2305.mp3
[2026-08-22T07:18:57.396+0000] {logging_mixin.py:188} INFO - 2026-08-22 07:18:57,395 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2305.mp3
[2026-08-22T07:18:57.574+0000] {logging_mixin.py:188} INFO - 2026-08-22 07:18:57,574 | INFO     | media.image_downloader | Downloaded background image for scene='hotel' -> /opt/airflow/output/images/long_2305.jpg
[2026-08-22T07:19:01.352+0000] {logging_mixin.py:188} INFO - 2026-08-22 07:19:01,352 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2306.mp3
[2026-08-22T07:19:01.788+0000] {logging_mixin.py:188} INFO - 2026-08-22 07:19:01,788 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2306.mp3
[2026-08-22T07:19:02.577+0000] {logging_mixin.py:188} INFO - 2026-08-22 07:19:02,577 | INFO     | media.image_downloader | Downloaded background image for scene='dinner' -> /opt/airflow/output/images/long_2306.jpg
[2026-08-22T07:19:05.875+0000] {logging_mixin.py:188} INFO - 2026-08-22 07:19:05,875 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2307.mp3
[2026-08-22T07:19:06.280+0000] {logging_mixin.py:188} INFO - 2026-08-22 07:19:06,280 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2307.mp3
[2026-08-22T07:19:06.446+0000] {logging_mixin.py:188} INFO - 2026-08-22 07:19:06,446 | INFO     | media.image_downloader | Downloaded background image for scene='classroom' -> /opt/airflow/output/images/long_2307.jpg
[2026-08-22T07:19:10.168+0000] {logging_mixin.py:188} INFO - 2026-08-22 07:19:10,168 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2309.mp3
[2026-08-22T07:19:10.739+0000] {logging_mixin.py:188} INFO - 2026-08-22 07:19:10,739 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2309.mp3
[2026-08-22T07:19:11.043+0000] {logging_mixin.py:188} INFO - 2026-08-22 07:19:11,043 | INFO     | media.image_downloader | Downloaded background image for scene='taxi' -> /opt/airflow/output/images/long_2309.jpg
[2026-08-22T07:19:14.576+0000] {logging_mixin.py:188} INFO - 2026-08-22 07:19:14,576 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2310.mp3
[2026-08-22T07:19:15.086+0000] {logging_mixin.py:188} INFO - 2026-08-22 07:19:15,086 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2310.mp3
