[2026-08-22T07:22:01.293+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-08-22T07:22:01.325+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_5 scheduled__2026-08-20T12:00:00+00:00 [queued]>
[2026-08-22T07:22:01.331+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_5 scheduled__2026-08-20T12:00:00+00:00 [queued]>
[2026-08-22T07:22:01.332+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 3
[2026-08-22T07:22:01.343+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): build_long_video_5> on 2026-08-20 12:00:00+00:00
[2026-08-22T07:22:01.348+0000] {standard_task_runner.py:64} INFO - Started process 83451 to run task
[2026-08-22T07:22:01.351+0000] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'youtube_english_video_pipeline', 'build_long_video_5', 'scheduled__2026-08-20T12:00:00+00:00', '--job-id', '892', '--raw', '--subdir', 'DAGS_FOLDER/youtube_pipeline.py', '--cfg-path', '/tmp/tmpugsy42bj']
[2026-08-22T07:22:01.353+0000] {standard_task_runner.py:91} INFO - Job 892: Subtask build_long_video_5
[2026-08-22T07:22:01.406+0000] {task_command.py:426} INFO - Running <TaskInstance: youtube_english_video_pipeline.build_long_video_5 scheduled__2026-08-20T12:00:00+00:00 [running]> on host cc859d74cf38
[2026-08-22T07:22:01.568+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='taky' AIRFLOW_CTX_DAG_ID='youtube_english_video_pipeline' AIRFLOW_CTX_TASK_ID='build_long_video_5' AIRFLOW_CTX_EXECUTION_DATE='2026-08-20T12:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-08-20T12:00:00+00:00'
[2026-08-22T07:22:01.569+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-08-22T07:22:02.287+0000] {logging_mixin.py:188} INFO - 2026-08-22 07:22:02,286 | INFO     | planner.video_planner | Only 5 phrases for topic='Shopping English', topping up without topic filter
[2026-08-22T07:22:02.294+0000] {logging_mixin.py:188} INFO - 2026-08-22 07:22:02,293 | INFO     | planner.video_planner | Planned LONG video: topic='Mixed English Expressions', phrases=20
[2026-08-22T07:22:02.608+0000] {logging_mixin.py:188} INFO - 2026-08-22 07:22:02,608 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2326.mp3
[2026-08-22T07:22:03.056+0000] {logging_mixin.py:188} INFO - 2026-08-22 07:22:03,056 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2326.mp3
[2026-08-22T07:22:03.361+0000] {logging_mixin.py:188} INFO - 2026-08-22 07:22:03,361 | INFO     | media.image_downloader | Downloaded background image for scene='subway' -> /opt/airflow/output/images/long_2326.jpg
[2026-08-22T07:22:07.663+0000] {logging_mixin.py:188} INFO - 2026-08-22 07:22:07,663 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2327.mp3
[2026-08-22T07:22:08.141+0000] {logging_mixin.py:188} INFO - 2026-08-22 07:22:08,141 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2327.mp3
[2026-08-22T07:22:08.399+0000] {logging_mixin.py:188} INFO - 2026-08-22 07:22:08,399 | INFO     | media.image_downloader | Downloaded background image for scene='hotel' -> /opt/airflow/output/images/long_2327.jpg
[2026-08-22T07:22:12.293+0000] {logging_mixin.py:188} INFO - 2026-08-22 07:22:12,293 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2329.mp3
[2026-08-22T07:22:12.688+0000] {logging_mixin.py:188} INFO - 2026-08-22 07:22:12,688 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2329.mp3
[2026-08-22T07:22:12.921+0000] {logging_mixin.py:188} INFO - 2026-08-22 07:22:12,921 | INFO     | media.image_downloader | Downloaded background image for scene='supermarket' -> /opt/airflow/output/images/long_2329.jpg
[2026-08-22T07:22:16.734+0000] {logging_mixin.py:188} INFO - 2026-08-22 07:22:16,733 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2330.mp3
[2026-08-22T07:22:17.247+0000] {logging_mixin.py:188} INFO - 2026-08-22 07:22:17,246 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2330.mp3
[2026-08-22T07:22:17.704+0000] {logging_mixin.py:188} INFO - 2026-08-22 07:22:17,704 | INFO     | media.image_downloader | Downloaded background image for scene='kitchen' -> /opt/airflow/output/images/long_2330.jpg
[2026-08-22T07:22:21.607+0000] {logging_mixin.py:188} INFO - 2026-08-22 07:22:21,606 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2331.mp3
[2026-08-22T07:22:21.981+0000] {logging_mixin.py:188} INFO - 2026-08-22 07:22:21,981 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2331.mp3
[2026-08-22T07:22:22.209+0000] {logging_mixin.py:188} INFO - 2026-08-22 07:22:22,209 | INFO     | media.image_downloader | Downloaded background image for scene='elevator' -> /opt/airflow/output/images/long_2331.jpg
[2026-08-22T07:22:26.644+0000] {logging_mixin.py:188} INFO - 2026-08-22 07:22:26,644 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2332.mp3
[2026-08-22T07:22:27.021+0000] {logging_mixin.py:188} INFO - 2026-08-22 07:22:27,021 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2332.mp3
[2026-08-22T07:22:27.278+0000] {logging_mixin.py:188} INFO - 2026-08-22 07:22:27,278 | INFO     | media.image_downloader | Downloaded background image for scene='airport' -> /opt/airflow/output/images/long_2332.jpg
[2026-08-22T07:22:31.145+0000] {logging_mixin.py:188} INFO - 2026-08-22 07:22:31,145 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2335.mp3
[2026-08-22T07:22:31.534+0000] {logging_mixin.py:188} INFO - 2026-08-22 07:22:31,534 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2335.mp3
[2026-08-22T07:22:32.276+0000] {logging_mixin.py:188} INFO - 2026-08-22 07:22:32,276 | INFO     | media.image_downloader | Downloaded background image for scene='museum' -> /opt/airflow/output/images/long_2335.jpg
[2026-08-22T07:22:36.546+0000] {logging_mixin.py:188} INFO - 2026-08-22 07:22:36,546 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2337.mp3
[2026-08-22T07:22:36.932+0000] {logging_mixin.py:188} INFO - 2026-08-22 07:22:36,932 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2337.mp3
[2026-08-22T07:22:37.139+0000] {logging_mixin.py:188} INFO - 2026-08-22 07:22:37,139 | INFO     | media.image_downloader | Downloaded background image for scene='commute' -> /opt/airflow/output/images/long_2337.jpg
[2026-08-22T07:22:40.895+0000] {logging_mixin.py:188} INFO - 2026-08-22 07:22:40,894 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2338.mp3
