[2026-08-23T00:41:52.038+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-08-23T00:41:52.076+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_1 scheduled__2026-08-21T12:00:00+00:00 [queued]>
[2026-08-23T00:41:52.088+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_1 scheduled__2026-08-21T12:00:00+00:00 [queued]>
[2026-08-23T00:41:52.090+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 3
[2026-08-23T00:41:52.102+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): build_long_video_1> on 2026-08-21 12:00:00+00:00
[2026-08-23T00:41:52.106+0000] {standard_task_runner.py:64} INFO - Started process 88723 to run task
[2026-08-23T00:41:52.109+0000] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'youtube_english_video_pipeline', 'build_long_video_1', 'scheduled__2026-08-21T12:00:00+00:00', '--job-id', '903', '--raw', '--subdir', 'DAGS_FOLDER/youtube_pipeline.py', '--cfg-path', '/tmp/tmpt4af02rb']
[2026-08-23T00:41:52.112+0000] {standard_task_runner.py:91} INFO - Job 903: Subtask build_long_video_1
[2026-08-23T00:41:52.178+0000] {task_command.py:426} INFO - Running <TaskInstance: youtube_english_video_pipeline.build_long_video_1 scheduled__2026-08-21T12:00:00+00:00 [running]> on host cc859d74cf38
[2026-08-23T00:41:52.380+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='taky' AIRFLOW_CTX_DAG_ID='youtube_english_video_pipeline' AIRFLOW_CTX_TASK_ID='build_long_video_1' AIRFLOW_CTX_EXECUTION_DATE='2026-08-21T12:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-08-21T12:00:00+00:00'
[2026-08-23T00:41:52.381+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-08-23T00:41:53.183+0000] {logging_mixin.py:188} INFO - 2026-08-23 00:41:53,182 | INFO     | planner.video_planner | Only 7 phrases for topic='Travel English', topping up without topic filter
[2026-08-23T00:41:53.192+0000] {logging_mixin.py:188} INFO - 2026-08-23 00:41:53,192 | INFO     | planner.video_planner | Planned LONG video: topic='Mixed English Expressions', phrases=20
[2026-08-23T00:41:53.589+0000] {logging_mixin.py:188} INFO - 2026-08-23 00:41:53,588 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2359.mp3
[2026-08-23T00:41:54.107+0000] {logging_mixin.py:188} INFO - 2026-08-23 00:41:54,107 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2359.mp3
[2026-08-23T00:41:54.388+0000] {logging_mixin.py:188} INFO - 2026-08-23 00:41:54,387 | INFO     | media.image_downloader | Downloaded background image for scene='street' -> /opt/airflow/output/images/long_2359.jpg
[2026-08-23T00:41:59.984+0000] {logging_mixin.py:188} INFO - 2026-08-23 00:41:59,984 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2357.mp3
[2026-08-23T00:42:00.423+0000] {logging_mixin.py:188} INFO - 2026-08-23 00:42:00,423 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2357.mp3
[2026-08-23T00:42:01.235+0000] {logging_mixin.py:188} INFO - 2026-08-23 00:42:01,235 | INFO     | media.image_downloader | Downloaded background image for scene='concourse' -> /opt/airflow/output/images/long_2357.jpg
[2026-08-23T00:42:06.513+0000] {logging_mixin.py:188} INFO - 2026-08-23 00:42:06,513 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2360.mp3
[2026-08-23T00:42:06.929+0000] {logging_mixin.py:188} INFO - 2026-08-23 00:42:06,929 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2360.mp3
[2026-08-23T00:42:07.261+0000] {logging_mixin.py:188} INFO - 2026-08-23 00:42:07,261 | INFO     | media.image_downloader | Downloaded background image for scene='elevator' -> /opt/airflow/output/images/long_2360.jpg
[2026-08-23T00:42:12.735+0000] {logging_mixin.py:188} INFO - 2026-08-23 00:42:12,735 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2363.mp3
[2026-08-23T00:42:13.175+0000] {logging_mixin.py:188} INFO - 2026-08-23 00:42:13,174 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2363.mp3
[2026-08-23T00:42:13.484+0000] {logging_mixin.py:188} INFO - 2026-08-23 00:42:13,483 | INFO     | media.image_downloader | Downloaded background image for scene='office' -> /opt/airflow/output/images/long_2363.jpg
[2026-08-23T00:42:18.701+0000] {logging_mixin.py:188} INFO - 2026-08-23 00:42:18,701 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2369.mp3
[2026-08-23T00:42:19.140+0000] {logging_mixin.py:188} INFO - 2026-08-23 00:42:19,140 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2369.mp3
[2026-08-23T00:42:19.433+0000] {logging_mixin.py:188} INFO - 2026-08-23 00:42:19,433 | INFO     | media.image_downloader | Downloaded background image for scene='elevator' -> /opt/airflow/output/images/long_2369.jpg
[2026-08-23T00:42:36.636+0000] {logging_mixin.py:188} INFO - 2026-08-23 00:42:36,635 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2364.mp3
[2026-08-23T00:42:37.103+0000] {logging_mixin.py:188} INFO - 2026-08-23 00:42:37,103 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2364.mp3
[2026-08-23T00:42:37.489+0000] {logging_mixin.py:188} INFO - 2026-08-23 00:42:37,489 | INFO     | media.image_downloader | Downloaded background image for scene='boutique' -> /opt/airflow/output/images/long_2364.jpg
