[2026-08-23T00:47:32.778+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-08-23T00:47:32.825+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_2 scheduled__2026-08-21T12:00:00+00:00 [queued]>
[2026-08-23T00:47:32.835+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_2 scheduled__2026-08-21T12:00:00+00:00 [queued]>
[2026-08-23T00:47:32.839+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 3
[2026-08-23T00:47:32.856+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): build_long_video_2> on 2026-08-21 12:00:00+00:00
[2026-08-23T00:47:32.862+0000] {standard_task_runner.py:64} INFO - Started process 92165 to run task
[2026-08-23T00:47:32.865+0000] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'youtube_english_video_pipeline', 'build_long_video_2', 'scheduled__2026-08-21T12:00:00+00:00', '--job-id', '908', '--raw', '--subdir', 'DAGS_FOLDER/youtube_pipeline.py', '--cfg-path', '/tmp/tmpo2tzo6zx']
[2026-08-23T00:47:32.869+0000] {standard_task_runner.py:91} INFO - Job 908: Subtask build_long_video_2
[2026-08-23T00:47:32.996+0000] {task_command.py:426} INFO - Running <TaskInstance: youtube_english_video_pipeline.build_long_video_2 scheduled__2026-08-21T12:00:00+00:00 [running]> on host cc859d74cf38
[2026-08-23T00:47:33.244+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='taky' AIRFLOW_CTX_DAG_ID='youtube_english_video_pipeline' AIRFLOW_CTX_TASK_ID='build_long_video_2' AIRFLOW_CTX_EXECUTION_DATE='2026-08-21T12:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-08-21T12:00:00+00:00'
[2026-08-23T00:47:33.247+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-08-23T00:47:34.587+0000] {logging_mixin.py:188} INFO - 2026-08-23 00:47:34,587 | INFO     | planner.video_planner | Only 5 phrases for topic='Shopping English', topping up without topic filter
[2026-08-23T00:47:34.596+0000] {logging_mixin.py:188} INFO - 2026-08-23 00:47:34,596 | INFO     | planner.video_planner | Planned LONG video: topic='Mixed English Expressions', phrases=20
[2026-08-23T00:47:34.992+0000] {logging_mixin.py:188} INFO - 2026-08-23 00:47:34,992 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2379.mp3
[2026-08-23T00:47:35.398+0000] {logging_mixin.py:188} INFO - 2026-08-23 00:47:35,398 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2379.mp3
[2026-08-23T00:47:36.211+0000] {logging_mixin.py:188} INFO - 2026-08-23 00:47:36,210 | INFO     | media.image_downloader | Downloaded background image for scene='lobby' -> /opt/airflow/output/images/long_2379.jpg
[2026-08-23T00:47:44.007+0000] {logging_mixin.py:188} INFO - 2026-08-23 00:47:44,007 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2380.mp3
[2026-08-23T00:47:44.442+0000] {logging_mixin.py:188} INFO - 2026-08-23 00:47:44,442 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2380.mp3
[2026-08-23T00:47:44.839+0000] {logging_mixin.py:188} INFO - 2026-08-23 00:47:44,839 | INFO     | media.image_downloader | Downloaded background image for scene='taxi' -> /opt/airflow/output/images/long_2380.jpg
[2026-08-23T00:47:52.892+0000] {logging_mixin.py:188} INFO - 2026-08-23 00:47:52,892 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2381.mp3
[2026-08-23T00:47:53.373+0000] {logging_mixin.py:188} INFO - 2026-08-23 00:47:53,373 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2381.mp3
[2026-08-23T00:47:53.667+0000] {logging_mixin.py:188} INFO - 2026-08-23 00:47:53,667 | INFO     | media.image_downloader | Downloaded background image for scene='store' -> /opt/airflow/output/images/long_2381.jpg
[2026-08-23T00:47:59.048+0000] {logging_mixin.py:188} INFO - 2026-08-23 00:47:59,047 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2382.mp3
[2026-08-23T00:47:59.476+0000] {logging_mixin.py:188} INFO - 2026-08-23 00:47:59,476 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2382.mp3
[2026-08-23T00:47:59.746+0000] {logging_mixin.py:188} INFO - 2026-08-23 00:47:59,746 | INFO     | media.image_downloader | Downloaded background image for scene='office' -> /opt/airflow/output/images/long_2382.jpg
[2026-08-23T00:48:04.778+0000] {logging_mixin.py:188} INFO - 2026-08-23 00:48:04,778 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2383.mp3
[2026-08-23T00:48:05.200+0000] {logging_mixin.py:188} INFO - 2026-08-23 00:48:05,199 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2383.mp3
[2026-08-23T00:48:05.515+0000] {logging_mixin.py:188} INFO - 2026-08-23 00:48:05,515 | INFO     | media.image_downloader | Downloaded background image for scene='street' -> /opt/airflow/output/images/long_2383.jpg
[2026-08-23T00:48:10.591+0000] {logging_mixin.py:188} INFO - 2026-08-23 00:48:10,591 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2384.mp3
[2026-08-23T00:48:10.988+0000] {logging_mixin.py:188} INFO - 2026-08-23 00:48:10,988 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2384.mp3
[2026-08-23T00:48:12.314+0000] {logging_mixin.py:188} INFO - 2026-08-23 00:48:12,314 | INFO     | media.image_downloader | Downloaded background image for scene='livingroom' -> /opt/airflow/output/images/long_2384.jpg
[2026-08-23T00:48:17.401+0000] {logging_mixin.py:188} INFO - 2026-08-23 00:48:17,401 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2385.mp3
[2026-08-23T00:48:17.697+0000] {logging_mixin.py:188} INFO - 2026-08-23 00:48:17,696 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2385.mp3
[2026-08-23T00:48:17.915+0000] {logging_mixin.py:188} INFO - 2026-08-23 00:48:17,915 | INFO     | media.image_downloader | Downloaded background image for scene='office' -> /opt/airflow/output/images/long_2385.jpg
[2026-08-23T00:48:22.645+0000] {logging_mixin.py:188} INFO - 2026-08-23 00:48:22,645 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2386.mp3
[2026-08-23T00:48:23.076+0000] {logging_mixin.py:188} INFO - 2026-08-23 00:48:23,076 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2386.mp3
[2026-08-23T00:48:23.576+0000] {logging_mixin.py:188} INFO - 2026-08-23 00:48:23,576 | INFO     | media.image_downloader | Downloaded background image for scene='restaurant' -> /opt/airflow/output/images/long_2386.jpg
[2026-08-23T00:48:29.417+0000] {logging_mixin.py:188} INFO - 2026-08-23 00:48:29,417 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2387.mp3
[2026-08-23T00:48:29.969+0000] {logging_mixin.py:188} INFO - 2026-08-23 00:48:29,969 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2387.mp3
[2026-08-23T00:48:30.300+0000] {logging_mixin.py:188} INFO - 2026-08-23 00:48:30,300 | INFO     | media.image_downloader | Downloaded background image for scene='taxi' -> /opt/airflow/output/images/long_2387.jpg
[2026-08-23T00:48:35.128+0000] {logging_mixin.py:188} INFO - 2026-08-23 00:48:35,127 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2388.mp3
[2026-08-23T00:48:35.558+0000] {logging_mixin.py:188} INFO - 2026-08-23 00:48:35,557 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2388.mp3
