[2026-08-26T18:22:16.313+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-08-26T18:22:16.343+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_1 scheduled__2026-08-25T12:00:00+00:00 [queued]>
[2026-08-26T18:22:16.351+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_1 scheduled__2026-08-25T12:00:00+00:00 [queued]>
[2026-08-26T18:22:16.352+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 3
[2026-08-26T18:22:16.364+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): build_long_video_1> on 2026-08-25 12:00:00+00:00
[2026-08-26T18:22:16.369+0000] {standard_task_runner.py:64} INFO - Started process 698 to run task
[2026-08-26T18:22:16.372+0000] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'youtube_english_video_pipeline', 'build_long_video_1', 'scheduled__2026-08-25T12:00:00+00:00', '--job-id', '920', '--raw', '--subdir', 'DAGS_FOLDER/youtube_pipeline.py', '--cfg-path', '/tmp/tmptfw9ltxp']
[2026-08-26T18:22:16.375+0000] {standard_task_runner.py:91} INFO - Job 920: Subtask build_long_video_1
[2026-08-26T18:22:16.469+0000] {task_command.py:426} INFO - Running <TaskInstance: youtube_english_video_pipeline.build_long_video_1 scheduled__2026-08-25T12:00:00+00:00 [running]> on host cc859d74cf38
[2026-08-26T18:22:16.664+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='taky' AIRFLOW_CTX_DAG_ID='youtube_english_video_pipeline' AIRFLOW_CTX_TASK_ID='build_long_video_1' AIRFLOW_CTX_EXECUTION_DATE='2026-08-25T12:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-08-25T12:00:00+00:00'
[2026-08-26T18:22:16.665+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-08-26T18:22:17.295+0000] {logging_mixin.py:188} INFO - 2026-08-26 18:22:17,295 | INFO     | planner.video_planner | Only 5 phrases for topic='Daily Conversation', topping up without topic filter
[2026-08-26T18:22:17.302+0000] {logging_mixin.py:188} INFO - 2026-08-26 18:22:17,302 | INFO     | planner.video_planner | Planned LONG video: topic='Mixed English Expressions', phrases=20
[2026-08-26T18:22:17.583+0000] {logging_mixin.py:188} INFO - 2026-08-26 18:22:17,582 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2401.mp3
[2026-08-26T18:22:17.993+0000] {logging_mixin.py:188} INFO - 2026-08-26 18:22:17,993 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2401.mp3
[2026-08-26T18:22:18.817+0000] {logging_mixin.py:188} INFO - 2026-08-26 18:22:18,817 | INFO     | media.image_downloader | Downloaded background image for scene='hotel' -> /opt/airflow/output/images/long_2401.jpg
[2026-08-26T18:22:22.666+0000] {logging_mixin.py:188} INFO - 2026-08-26 18:22:22,666 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2402.mp3
[2026-08-26T18:22:23.045+0000] {logging_mixin.py:188} INFO - 2026-08-26 18:22:23,045 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2402.mp3
[2026-08-26T18:22:25.331+0000] {logging_mixin.py:188} INFO - 2026-08-26 18:22:25,331 | INFO     | media.image_downloader | Downloaded background image for scene='airport' -> /opt/airflow/output/images/long_2402.jpg
[2026-08-26T18:22:29.378+0000] {logging_mixin.py:188} INFO - 2026-08-26 18:22:29,378 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2403.mp3
[2026-08-26T18:22:29.827+0000] {logging_mixin.py:188} INFO - 2026-08-26 18:22:29,827 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2403.mp3
[2026-08-26T18:22:30.492+0000] {logging_mixin.py:188} INFO - 2026-08-26 18:22:30,492 | INFO     | media.image_downloader | Downloaded background image for scene='coffee' -> /opt/airflow/output/images/long_2403.jpg
[2026-08-26T18:22:33.797+0000] {logging_mixin.py:188} INFO - 2026-08-26 18:22:33,797 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2404.mp3
[2026-08-26T18:22:34.255+0000] {logging_mixin.py:188} INFO - 2026-08-26 18:22:34,255 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2404.mp3
[2026-08-26T18:22:34.913+0000] {logging_mixin.py:188} INFO - 2026-08-26 18:22:34,913 | INFO     | media.image_downloader | Downloaded background image for scene='bus' -> /opt/airflow/output/images/long_2404.jpg
[2026-08-26T18:22:38.619+0000] {logging_mixin.py:188} INFO - 2026-08-26 18:22:38,619 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2405.mp3
[2026-08-26T18:22:38.989+0000] {logging_mixin.py:188} INFO - 2026-08-26 18:22:38,989 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2405.mp3
[2026-08-26T18:22:39.775+0000] {logging_mixin.py:188} INFO - 2026-08-26 18:22:39,775 | INFO     | media.image_downloader | Downloaded background image for scene='street' -> /opt/airflow/output/images/long_2405.jpg
[2026-08-26T18:22:44.009+0000] {logging_mixin.py:188} INFO - 2026-08-26 18:22:44,009 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2406.mp3
[2026-08-26T18:22:44.361+0000] {logging_mixin.py:188} INFO - 2026-08-26 18:22:44,361 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2406.mp3
[2026-08-26T18:22:44.878+0000] {logging_mixin.py:188} INFO - 2026-08-26 18:22:44,878 | INFO     | media.image_downloader | Downloaded background image for scene='classroom' -> /opt/airflow/output/images/long_2406.jpg
[2026-08-26T18:22:49.012+0000] {logging_mixin.py:188} INFO - 2026-08-26 18:22:49,012 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2407.mp3
[2026-08-26T18:22:49.357+0000] {logging_mixin.py:188} INFO - 2026-08-26 18:22:49,357 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2407.mp3
[2026-08-26T18:22:50.048+0000] {logging_mixin.py:188} INFO - 2026-08-26 18:22:50,048 | INFO     | media.image_downloader | Downloaded background image for scene='store' -> /opt/airflow/output/images/long_2407.jpg
[2026-08-26T18:22:53.914+0000] {logging_mixin.py:188} INFO - 2026-08-26 18:22:53,914 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2408.mp3
[2026-08-26T18:22:54.237+0000] {logging_mixin.py:188} INFO - 2026-08-26 18:22:54,237 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2408.mp3
[2026-08-26T18:22:54.592+0000] {logging_mixin.py:188} INFO - 2026-08-26 18:22:54,592 | INFO     | media.image_downloader | Downloaded background image for scene='restaurant' -> /opt/airflow/output/images/long_2408.jpg
[2026-08-26T18:22:58.287+0000] {logging_mixin.py:188} INFO - 2026-08-26 18:22:58,287 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2409.mp3
[2026-08-26T18:22:58.695+0000] {logging_mixin.py:188} INFO - 2026-08-26 18:22:58,694 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2409.mp3
[2026-08-26T18:22:59.355+0000] {logging_mixin.py:188} INFO - 2026-08-26 18:22:59,355 | INFO     | media.image_downloader | Downloaded background image for scene='luggage' -> /opt/airflow/output/images/long_2409.jpg
[2026-08-26T18:23:03.146+0000] {logging_mixin.py:188} INFO - 2026-08-26 18:23:03,146 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2410.mp3
[2026-08-26T18:23:03.547+0000] {logging_mixin.py:188} INFO - 2026-08-26 18:23:03,547 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2410.mp3
[2026-08-26T18:23:04.080+0000] {logging_mixin.py:188} INFO - 2026-08-26 18:23:04,080 | INFO     | media.image_downloader | Downloaded background image for scene='office' -> /opt/airflow/output/images/long_2410.jpg
[2026-08-26T18:23:07.962+0000] {logging_mixin.py:188} INFO - 2026-08-26 18:23:07,962 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2411.mp3
[2026-08-26T18:23:08.333+0000] {logging_mixin.py:188} INFO - 2026-08-26 18:23:08,333 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2411.mp3
[2026-08-26T18:23:09.216+0000] {logging_mixin.py:188} INFO - 2026-08-26 18:23:09,215 | INFO     | media.image_downloader | Downloaded background image for scene='supermarket' -> /opt/airflow/output/images/long_2411.jpg
[2026-08-26T18:23:12.734+0000] {logging_mixin.py:188} INFO - 2026-08-26 18:23:12,734 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2412.mp3
[2026-08-26T18:23:13.089+0000] {logging_mixin.py:188} INFO - 2026-08-26 18:23:13,089 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2412.mp3
[2026-08-26T18:23:13.826+0000] {logging_mixin.py:188} INFO - 2026-08-26 18:23:13,826 | INFO     | media.image_downloader | Downloaded background image for scene='commute' -> /opt/airflow/output/images/long_2412.jpg
