[2026-09-05T00:43:05.545+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-09-05T00:43:05.627+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_4 scheduled__2026-08-26T12:00:00+00:00 [queued]>
[2026-09-05T00:43:05.647+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_4 scheduled__2026-08-26T12:00:00+00:00 [queued]>
[2026-09-05T00:43:05.653+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 3
[2026-09-05T00:43:05.678+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): build_long_video_4> on 2026-08-26 12:00:00+00:00
[2026-09-05T00:43:05.687+0000] {standard_task_runner.py:64} INFO - Started process 8664 to run task
[2026-09-05T00:43:05.692+0000] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'youtube_english_video_pipeline', 'build_long_video_4', 'scheduled__2026-08-26T12:00:00+00:00', '--job-id', '949', '--raw', '--subdir', 'DAGS_FOLDER/youtube_pipeline.py', '--cfg-path', '/tmp/tmpqs2snvnw']
[2026-09-05T00:43:05.697+0000] {standard_task_runner.py:91} INFO - Job 949: Subtask build_long_video_4
[2026-09-05T00:43:05.808+0000] {task_command.py:426} INFO - Running <TaskInstance: youtube_english_video_pipeline.build_long_video_4 scheduled__2026-08-26T12:00:00+00:00 [running]> on host cc859d74cf38
[2026-09-05T00:43:06.093+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='taky' AIRFLOW_CTX_DAG_ID='youtube_english_video_pipeline' AIRFLOW_CTX_TASK_ID='build_long_video_4' AIRFLOW_CTX_EXECUTION_DATE='2026-08-26T12:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-08-26T12:00:00+00:00'
[2026-09-05T00:43:06.094+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-09-05T00:43:07.218+0000] {logging_mixin.py:188} INFO - 2026-09-05 00:43:07,218 | INFO     | planner.video_planner | Only 14 phrases for topic='Shopping English', topping up without topic filter
[2026-09-05T00:43:07.234+0000] {logging_mixin.py:188} INFO - 2026-09-05 00:43:07,234 | INFO     | planner.video_planner | Planned LONG video: topic='Mixed English Expressions', phrases=20
[2026-09-05T00:43:07.645+0000] {logging_mixin.py:188} INFO - 2026-09-05 00:43:07,645 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2427.mp3
[2026-09-05T00:43:08.016+0000] {logging_mixin.py:188} INFO - 2026-09-05 00:43:08,016 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2427.mp3
[2026-09-05T00:43:09.288+0000] {logging_mixin.py:188} INFO - 2026-09-05 00:43:09,288 | INFO     | media.image_downloader | Downloaded background image for scene='terminal' -> /opt/airflow/output/images/long_2427.jpg
[2026-09-05T00:43:15.225+0000] {logging_mixin.py:188} INFO - 2026-09-05 00:43:15,225 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2429.mp3
[2026-09-05T00:43:15.623+0000] {logging_mixin.py:188} INFO - 2026-09-05 00:43:15,622 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2429.mp3
[2026-09-05T00:43:16.534+0000] {logging_mixin.py:188} INFO - 2026-09-05 00:43:16,534 | INFO     | media.image_downloader | Downloaded background image for scene='canteen' -> /opt/airflow/output/images/long_2429.jpg
[2026-09-05T00:43:21.082+0000] {logging_mixin.py:188} INFO - 2026-09-05 00:43:21,082 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2431.mp3
[2026-09-05T00:43:21.622+0000] {logging_mixin.py:188} INFO - 2026-09-05 00:43:21,622 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2431.mp3
[2026-09-05T00:43:23.634+0000] {logging_mixin.py:188} INFO - 2026-09-05 00:43:23,634 | INFO     | media.image_downloader | Downloaded background image for scene='bookstore' -> /opt/airflow/output/images/long_2431.jpg
[2026-09-05T00:43:28.921+0000] {logging_mixin.py:188} INFO - 2026-09-05 00:43:28,921 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2430.mp3
[2026-09-05T00:43:29.548+0000] {logging_mixin.py:188} INFO - 2026-09-05 00:43:29,548 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2430.mp3
[2026-09-05T00:43:30.444+0000] {logging_mixin.py:188} INFO - 2026-09-05 00:43:30,443 | INFO     | media.image_downloader | Downloaded background image for scene='store' -> /opt/airflow/output/images/long_2430.jpg
[2026-09-05T00:43:35.347+0000] {logging_mixin.py:188} INFO - 2026-09-05 00:43:35,347 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2434.mp3
[2026-09-05T00:43:35.790+0000] {logging_mixin.py:188} INFO - 2026-09-05 00:43:35,790 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2434.mp3
[2026-09-05T00:43:36.066+0000] {logging_mixin.py:188} INFO - 2026-09-05 00:43:36,066 | INFO     | media.image_downloader | Downloaded background image for scene='street' -> /opt/airflow/output/images/long_2434.jpg
[2026-09-05T00:43:41.466+0000] {logging_mixin.py:188} INFO - 2026-09-05 00:43:41,465 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2448.mp3
[2026-09-05T00:43:41.835+0000] {logging_mixin.py:188} INFO - 2026-09-05 00:43:41,834 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2448.mp3
[2026-09-05T00:43:43.069+0000] {logging_mixin.py:188} INFO - 2026-09-05 00:43:43,069 | INFO     | media.image_downloader | Downloaded background image for scene='party' -> /opt/airflow/output/images/long_2448.jpg
[2026-09-05T00:43:48.240+0000] {logging_mixin.py:188} INFO - 2026-09-05 00:43:48,240 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2446.mp3
[2026-09-05T00:43:48.672+0000] {logging_mixin.py:188} INFO - 2026-09-05 00:43:48,672 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2446.mp3
[2026-09-05T00:43:49.442+0000] {logging_mixin.py:188} INFO - 2026-09-05 00:43:49,442 | INFO     | media.image_downloader | Downloaded background image for scene='conversation' -> /opt/airflow/output/images/long_2446.jpg
[2026-09-05T00:43:53.902+0000] {logging_mixin.py:188} INFO - 2026-09-05 00:43:53,902 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2440.mp3
[2026-09-05T00:43:54.391+0000] {logging_mixin.py:188} INFO - 2026-09-05 00:43:54,391 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2440.mp3
[2026-09-05T00:43:55.144+0000] {logging_mixin.py:188} INFO - 2026-09-05 00:43:55,144 | INFO     | media.image_downloader | Downloaded background image for scene='hotel' -> /opt/airflow/output/images/long_2440.jpg
[2026-09-05T00:44:00.277+0000] {logging_mixin.py:188} INFO - 2026-09-05 00:44:00,277 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2445.mp3
[2026-09-05T00:44:00.671+0000] {logging_mixin.py:188} INFO - 2026-09-05 00:44:00,671 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2445.mp3
[2026-09-05T00:44:01.356+0000] {logging_mixin.py:188} INFO - 2026-09-05 00:44:01,356 | INFO     | media.image_downloader | Downloaded background image for scene='boutique' -> /opt/airflow/output/images/long_2445.jpg
[2026-09-05T00:44:06.182+0000] {logging_mixin.py:188} INFO - 2026-09-05 00:44:06,181 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2458.mp3
