[2026-09-05T00:47:01.863+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-09-05T00:47:01.941+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_5 scheduled__2026-08-26T12:00:00+00:00 [queued]>
[2026-09-05T00:47:01.961+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_5 scheduled__2026-08-26T12:00:00+00:00 [queued]>
[2026-09-05T00:47:01.964+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 3
[2026-09-05T00:47:02.010+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): build_long_video_5> on 2026-08-26 12:00:00+00:00
[2026-09-05T00:47:02.022+0000] {standard_task_runner.py:64} INFO - Started process 12090 to run task
[2026-09-05T00:47:02.028+0000] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'youtube_english_video_pipeline', 'build_long_video_5', 'scheduled__2026-08-26T12:00:00+00:00', '--job-id', '954', '--raw', '--subdir', 'DAGS_FOLDER/youtube_pipeline.py', '--cfg-path', '/tmp/tmp6gze25bd']
[2026-09-05T00:47:02.034+0000] {standard_task_runner.py:91} INFO - Job 954: Subtask build_long_video_5
[2026-09-05T00:47:02.184+0000] {task_command.py:426} INFO - Running <TaskInstance: youtube_english_video_pipeline.build_long_video_5 scheduled__2026-08-26T12:00:00+00:00 [running]> on host cc859d74cf38
[2026-09-05T00:47:02.538+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='taky' AIRFLOW_CTX_DAG_ID='youtube_english_video_pipeline' AIRFLOW_CTX_TASK_ID='build_long_video_5' AIRFLOW_CTX_EXECUTION_DATE='2026-08-26T12:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-08-26T12:00:00+00:00'
[2026-09-05T00:47:02.541+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-09-05T00:47:04.092+0000] {logging_mixin.py:188} INFO - 2026-09-05 00:47:04,091 | INFO     | planner.video_planner | Only 10 phrases for topic='Shopping English', topping up without topic filter
[2026-09-05T00:47:04.107+0000] {logging_mixin.py:188} INFO - 2026-09-05 00:47:04,107 | INFO     | planner.video_planner | Planned LONG video: topic='Mixed English Expressions', phrases=20
[2026-09-05T00:47:04.558+0000] {logging_mixin.py:188} INFO - 2026-09-05 00:47:04,558 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2462.mp3
[2026-09-05T00:47:05.131+0000] {logging_mixin.py:188} INFO - 2026-09-05 00:47:05,131 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2462.mp3
[2026-09-05T00:47:05.392+0000] {logging_mixin.py:188} INFO - 2026-09-05 00:47:05,391 | INFO     | media.image_downloader | Downloaded background image for scene='hotel' -> /opt/airflow/output/images/long_2462.jpg
[2026-09-05T00:47:10.774+0000] {logging_mixin.py:188} INFO - 2026-09-05 00:47:10,773 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2464.mp3
[2026-09-05T00:47:11.205+0000] {logging_mixin.py:188} INFO - 2026-09-05 00:47:11,205 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2464.mp3
[2026-09-05T00:47:11.466+0000] {logging_mixin.py:188} INFO - 2026-09-05 00:47:11,466 | INFO     | media.image_downloader | Downloaded background image for scene='shopping' -> /opt/airflow/output/images/long_2464.jpg
[2026-09-05T00:47:18.016+0000] {logging_mixin.py:188} INFO - 2026-09-05 00:47:18,016 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2465.mp3
[2026-09-05T00:47:18.394+0000] {logging_mixin.py:188} INFO - 2026-09-05 00:47:18,394 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2465.mp3
[2026-09-05T00:47:18.635+0000] {logging_mixin.py:188} INFO - 2026-09-05 00:47:18,635 | INFO     | media.image_downloader | Downloaded background image for scene='airport' -> /opt/airflow/output/images/long_2465.jpg
[2026-09-05T00:47:23.486+0000] {logging_mixin.py:188} INFO - 2026-09-05 00:47:23,486 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2468.mp3
[2026-09-05T00:47:23.919+0000] {logging_mixin.py:188} INFO - 2026-09-05 00:47:23,919 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2468.mp3
[2026-09-05T00:47:24.227+0000] {logging_mixin.py:188} INFO - 2026-09-05 00:47:24,227 | INFO     | media.image_downloader | Downloaded background image for scene='store' -> /opt/airflow/output/images/long_2468.jpg
[2026-09-05T00:47:29.293+0000] {logging_mixin.py:188} INFO - 2026-09-05 00:47:29,293 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2471.mp3
[2026-09-05T00:47:29.813+0000] {logging_mixin.py:188} INFO - 2026-09-05 00:47:29,813 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2471.mp3
[2026-09-05T00:47:30.249+0000] {logging_mixin.py:188} INFO - 2026-09-05 00:47:30,249 | INFO     | media.image_downloader | Downloaded background image for scene='street' -> /opt/airflow/output/images/long_2471.jpg
[2026-09-05T00:47:35.152+0000] {logging_mixin.py:188} INFO - 2026-09-05 00:47:35,152 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2474.mp3
[2026-09-05T00:47:35.504+0000] {logging_mixin.py:188} INFO - 2026-09-05 00:47:35,504 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2474.mp3
[2026-09-05T00:47:35.730+0000] {logging_mixin.py:188} INFO - 2026-09-05 00:47:35,730 | INFO     | media.image_downloader | Downloaded background image for scene='boutique' -> /opt/airflow/output/images/long_2474.jpg
[2026-09-05T00:47:40.082+0000] {logging_mixin.py:188} INFO - 2026-09-05 00:47:40,082 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2475.mp3
[2026-09-05T00:47:40.486+0000] {logging_mixin.py:188} INFO - 2026-09-05 00:47:40,486 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2475.mp3
[2026-09-05T00:47:40.720+0000] {logging_mixin.py:188} INFO - 2026-09-05 00:47:40,720 | INFO     | media.image_downloader | Downloaded background image for scene='hotel' -> /opt/airflow/output/images/long_2475.jpg
[2026-09-05T00:47:45.301+0000] {logging_mixin.py:188} INFO - 2026-09-05 00:47:45,301 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2476.mp3
[2026-09-05T00:47:45.800+0000] {logging_mixin.py:188} INFO - 2026-09-05 00:47:45,800 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2476.mp3
[2026-09-05T00:47:45.985+0000] {logging_mixin.py:188} INFO - 2026-09-05 00:47:45,984 | INFO     | media.image_downloader | Downloaded background image for scene='airport' -> /opt/airflow/output/images/long_2476.jpg
[2026-09-05T00:47:50.920+0000] {logging_mixin.py:188} INFO - 2026-09-05 00:47:50,920 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2477.mp3
[2026-09-05T00:47:51.380+0000] {logging_mixin.py:188} INFO - 2026-09-05 00:47:51,380 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2477.mp3
[2026-09-05T00:47:51.665+0000] {logging_mixin.py:188} INFO - 2026-09-05 00:47:51,665 | INFO     | media.image_downloader | Downloaded background image for scene='cafe' -> /opt/airflow/output/images/long_2477.jpg
[2026-09-05T00:47:57.820+0000] {logging_mixin.py:188} INFO - 2026-09-05 00:47:57,820 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2484.mp3
[2026-09-05T00:47:58.379+0000] {logging_mixin.py:188} INFO - 2026-09-05 00:47:58,379 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2484.mp3
[2026-09-05T00:47:58.784+0000] {logging_mixin.py:188} INFO - 2026-09-05 00:47:58,783 | INFO     | media.image_downloader | Downloaded background image for scene='cafe' -> /opt/airflow/output/images/long_2484.jpg
[2026-09-05T00:48:04.209+0000] {logging_mixin.py:188} INFO - 2026-09-05 00:48:04,209 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2485.mp3
[2026-09-05T00:48:04.574+0000] {logging_mixin.py:188} INFO - 2026-09-05 00:48:04,574 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2485.mp3
[2026-09-05T00:48:04.764+0000] {logging_mixin.py:188} INFO - 2026-09-05 00:48:04,763 | INFO     | media.image_downloader | Downloaded background image for scene='hotel' -> /opt/airflow/output/images/long_2485.jpg
[2026-09-05T00:48:09.783+0000] {logging_mixin.py:188} INFO - 2026-09-05 00:48:09,783 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2486.mp3
[2026-09-05T00:48:10.326+0000] {logging_mixin.py:188} INFO - 2026-09-05 00:48:10,326 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2486.mp3
[2026-09-05T00:48:10.542+0000] {logging_mixin.py:188} INFO - 2026-09-05 00:48:10,542 | INFO     | media.image_downloader | Downloaded background image for scene='office' -> /opt/airflow/output/images/long_2486.jpg
[2026-09-05T00:48:16.379+0000] {logging_mixin.py:188} INFO - 2026-09-05 00:48:16,379 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2490.mp3
[2026-09-05T00:48:16.979+0000] {logging_mixin.py:188} INFO - 2026-09-05 00:48:16,979 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2490.mp3
[2026-09-05T00:48:17.578+0000] {logging_mixin.py:188} INFO - 2026-09-05 00:48:17,578 | INFO     | media.image_downloader | Downloaded background image for scene='shopping' -> /opt/airflow/output/images/long_2490.jpg
[2026-09-05T00:48:24.410+0000] {logging_mixin.py:188} INFO - 2026-09-05 00:48:24,410 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2491.mp3
[2026-09-05T00:48:25.092+0000] {logging_mixin.py:188} INFO - 2026-09-05 00:48:25,092 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2491.mp3
