[2026-09-05T00:51:19.686+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-09-05T00:51:19.744+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_6 scheduled__2026-08-26T12:00:00+00:00 [queued]>
[2026-09-05T00:51:19.754+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_6 scheduled__2026-08-26T12:00:00+00:00 [queued]>
[2026-09-05T00:51:19.756+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 3
[2026-09-05T00:51:19.772+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): build_long_video_6> on 2026-08-26 12:00:00+00:00
[2026-09-05T00:51:19.779+0000] {standard_task_runner.py:64} INFO - Started process 15556 to run task
[2026-09-05T00:51:19.782+0000] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'youtube_english_video_pipeline', 'build_long_video_6', 'scheduled__2026-08-26T12:00:00+00:00', '--job-id', '959', '--raw', '--subdir', 'DAGS_FOLDER/youtube_pipeline.py', '--cfg-path', '/tmp/tmp6x1m0rl_']
[2026-09-05T00:51:19.786+0000] {standard_task_runner.py:91} INFO - Job 959: Subtask build_long_video_6
[2026-09-05T00:51:19.869+0000] {task_command.py:426} INFO - Running <TaskInstance: youtube_english_video_pipeline.build_long_video_6 scheduled__2026-08-26T12:00:00+00:00 [running]> on host cc859d74cf38
[2026-09-05T00:51:20.141+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='taky' AIRFLOW_CTX_DAG_ID='youtube_english_video_pipeline' AIRFLOW_CTX_TASK_ID='build_long_video_6' AIRFLOW_CTX_EXECUTION_DATE='2026-08-26T12:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-08-26T12:00:00+00:00'
[2026-09-05T00:51:20.142+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-09-05T00:51:21.285+0000] {logging_mixin.py:188} INFO - 2026-09-05 00:51:21,285 | INFO     | planner.video_planner | Only 9 phrases for topic='Shopping English', topping up without topic filter
[2026-09-05T00:51:21.297+0000] {logging_mixin.py:188} INFO - 2026-09-05 00:51:21,296 | INFO     | planner.video_planner | Planned LONG video: topic='Mixed English Expressions', phrases=20
[2026-09-05T00:51:21.745+0000] {logging_mixin.py:188} INFO - 2026-09-05 00:51:21,745 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2505.mp3
[2026-09-05T00:51:22.126+0000] {logging_mixin.py:188} INFO - 2026-09-05 00:51:22,126 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2505.mp3
[2026-09-05T00:51:22.411+0000] {logging_mixin.py:188} INFO - 2026-09-05 00:51:22,411 | INFO     | media.image_downloader | Downloaded background image for scene='park' -> /opt/airflow/output/images/long_2505.jpg
[2026-09-05T00:51:29.045+0000] {logging_mixin.py:188} INFO - 2026-09-05 00:51:29,044 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2506.mp3
[2026-09-05T00:51:29.681+0000] {logging_mixin.py:188} INFO - 2026-09-05 00:51:29,681 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2506.mp3
[2026-09-05T00:51:30.389+0000] {logging_mixin.py:188} INFO - 2026-09-05 00:51:30,388 | INFO     | media.image_downloader | Downloaded background image for scene='phone' -> /opt/airflow/output/images/long_2506.jpg
[2026-09-05T00:51:34.888+0000] {logging_mixin.py:188} INFO - 2026-09-05 00:51:34,888 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2507.mp3
[2026-09-05T00:51:35.257+0000] {logging_mixin.py:188} INFO - 2026-09-05 00:51:35,257 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2507.mp3
[2026-09-05T00:51:36.020+0000] {logging_mixin.py:188} INFO - 2026-09-05 00:51:36,020 | INFO     | media.image_downloader | Downloaded background image for scene='kitchen' -> /opt/airflow/output/images/long_2507.jpg
[2026-09-05T00:51:41.024+0000] {logging_mixin.py:188} INFO - 2026-09-05 00:51:41,024 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2508.mp3
[2026-09-05T00:51:41.457+0000] {logging_mixin.py:188} INFO - 2026-09-05 00:51:41,457 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2508.mp3
[2026-09-05T00:51:41.953+0000] {logging_mixin.py:188} INFO - 2026-09-05 00:51:41,953 | INFO     | media.image_downloader | Downloaded background image for scene='classroom' -> /opt/airflow/output/images/long_2508.jpg
[2026-09-05T00:51:46.357+0000] {logging_mixin.py:188} INFO - 2026-09-05 00:51:46,357 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2509.mp3
[2026-09-05T00:51:46.800+0000] {logging_mixin.py:188} INFO - 2026-09-05 00:51:46,800 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2509.mp3
[2026-09-05T00:51:47.865+0000] {logging_mixin.py:188} INFO - 2026-09-05 00:51:47,865 | INFO     | media.image_downloader | Downloaded background image for scene='electronics' -> /opt/airflow/output/images/long_2509.jpg
[2026-09-05T00:52:09.898+0000] {logging_mixin.py:188} INFO - 2026-09-05 00:52:09,898 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2511.mp3
