[2026-09-05T00:55:27.499+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-09-05T00:55:27.543+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_7 scheduled__2026-08-26T12:00:00+00:00 [queued]>
[2026-09-05T00:55:27.557+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_7 scheduled__2026-08-26T12:00:00+00:00 [queued]>
[2026-09-05T00:55:27.559+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 3
[2026-09-05T00:55:27.572+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): build_long_video_7> on 2026-08-26 12:00:00+00:00
[2026-09-05T00:55:27.583+0000] {standard_task_runner.py:64} INFO - Started process 19037 to run task
[2026-09-05T00:55:27.588+0000] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'youtube_english_video_pipeline', 'build_long_video_7', 'scheduled__2026-08-26T12:00:00+00:00', '--job-id', '964', '--raw', '--subdir', 'DAGS_FOLDER/youtube_pipeline.py', '--cfg-path', '/tmp/tmpv55abczj']
[2026-09-05T00:55:27.593+0000] {standard_task_runner.py:91} INFO - Job 964: Subtask build_long_video_7
[2026-09-05T00:55:27.702+0000] {task_command.py:426} INFO - Running <TaskInstance: youtube_english_video_pipeline.build_long_video_7 scheduled__2026-08-26T12:00:00+00:00 [running]> on host cc859d74cf38
[2026-09-05T00:55:28.009+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='taky' AIRFLOW_CTX_DAG_ID='youtube_english_video_pipeline' AIRFLOW_CTX_TASK_ID='build_long_video_7' AIRFLOW_CTX_EXECUTION_DATE='2026-08-26T12:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-08-26T12:00:00+00:00'
[2026-09-05T00:55:28.011+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-09-05T00:55:29.341+0000] {logging_mixin.py:188} INFO - 2026-09-05 00:55:29,341 | INFO     | planner.video_planner | Only 4 phrases for topic='Daily Conversation', topping up without topic filter
[2026-09-05T00:55:29.349+0000] {logging_mixin.py:188} INFO - 2026-09-05 00:55:29,349 | INFO     | planner.video_planner | Planned LONG video: topic='Mixed English Expressions', phrases=20
[2026-09-05T00:55:29.719+0000] {logging_mixin.py:188} INFO - 2026-09-05 00:55:29,719 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2535.mp3
[2026-09-05T00:55:30.152+0000] {logging_mixin.py:188} INFO - 2026-09-05 00:55:30,152 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2535.mp3
[2026-09-05T00:55:31.129+0000] {logging_mixin.py:188} INFO - 2026-09-05 00:55:31,128 | INFO     | media.image_downloader | Downloaded background image for scene='counter' -> /opt/airflow/output/images/long_2535.jpg
[2026-09-05T00:55:35.117+0000] {logging_mixin.py:188} INFO - 2026-09-05 00:55:35,117 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2536.mp3
[2026-09-05T00:55:35.471+0000] {logging_mixin.py:188} INFO - 2026-09-05 00:55:35,471 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2536.mp3
[2026-09-05T00:55:35.711+0000] {logging_mixin.py:188} INFO - 2026-09-05 00:55:35,710 | INFO     | media.image_downloader | Downloaded background image for scene='restaurant' -> /opt/airflow/output/images/long_2536.jpg
[2026-09-05T00:55:40.266+0000] {logging_mixin.py:188} INFO - 2026-09-05 00:55:40,266 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2537.mp3
[2026-09-05T00:55:40.629+0000] {logging_mixin.py:188} INFO - 2026-09-05 00:55:40,629 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2537.mp3
[2026-09-05T00:55:41.485+0000] {logging_mixin.py:188} INFO - 2026-09-05 00:55:41,484 | INFO     | media.image_downloader | Downloaded background image for scene='commute' -> /opt/airflow/output/images/long_2537.jpg
[2026-09-05T00:55:46.100+0000] {logging_mixin.py:188} INFO - 2026-09-05 00:55:46,100 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2538.mp3
