[2026-09-05T18:23:29.651+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-09-05T18:23:29.677+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_1 scheduled__2026-09-04T12:00:00+00:00 [queued]>
[2026-09-05T18:23:29.685+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_1 scheduled__2026-09-04T12:00:00+00:00 [queued]>
[2026-09-05T18:23:29.686+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 3
[2026-09-05T18:23:29.696+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): build_long_video_1> on 2026-09-04 12:00:00+00:00
[2026-09-05T18:23:29.700+0000] {standard_task_runner.py:64} INFO - Started process 29242 to run task
[2026-09-05T18:23:29.702+0000] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'youtube_english_video_pipeline', 'build_long_video_1', 'scheduled__2026-09-04T12:00:00+00:00', '--job-id', '992', '--raw', '--subdir', 'DAGS_FOLDER/youtube_pipeline.py', '--cfg-path', '/tmp/tmpekshvb0y']
[2026-09-05T18:23:29.704+0000] {standard_task_runner.py:91} INFO - Job 992: Subtask build_long_video_1
[2026-09-05T18:23:29.765+0000] {task_command.py:426} INFO - Running <TaskInstance: youtube_english_video_pipeline.build_long_video_1 scheduled__2026-09-04T12:00:00+00:00 [running]> on host cc859d74cf38
[2026-09-05T18:23:29.929+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='taky' AIRFLOW_CTX_DAG_ID='youtube_english_video_pipeline' AIRFLOW_CTX_TASK_ID='build_long_video_1' AIRFLOW_CTX_EXECUTION_DATE='2026-09-04T12:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-09-04T12:00:00+00:00'
[2026-09-05T18:23:29.934+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-09-05T18:23:31.256+0000] {logging_mixin.py:188} INFO - 2026-09-05 18:23:31,256 | INFO     | planner.video_planner | Only 6 phrases for topic='Business English', topping up without topic filter
[2026-09-05T18:23:31.262+0000] {logging_mixin.py:188} INFO - 2026-09-05 18:23:31,262 | INFO     | planner.video_planner | Planned LONG video: topic='Mixed English Expressions', phrases=20
[2026-09-05T18:23:31.589+0000] {logging_mixin.py:188} INFO - 2026-09-05 18:23:31,589 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2580.mp3
[2026-09-05T18:23:31.944+0000] {logging_mixin.py:188} INFO - 2026-09-05 18:23:31,944 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2580.mp3
[2026-09-05T18:23:32.574+0000] {logging_mixin.py:188} INFO - 2026-09-05 18:23:32,574 | INFO     | media.image_downloader | Downloaded background image for scene='cafeteria' -> /opt/airflow/output/images/long_2580.jpg
[2026-09-05T18:23:35.679+0000] {logging_mixin.py:188} INFO - 2026-09-05 18:23:35,678 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2581.mp3
[2026-09-05T18:23:36.002+0000] {logging_mixin.py:188} INFO - 2026-09-05 18:23:36,001 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2581.mp3
[2026-09-05T18:23:36.155+0000] {logging_mixin.py:188} INFO - 2026-09-05 18:23:36,155 | INFO     | media.image_downloader | Downloaded background image for scene='airport' -> /opt/airflow/output/images/long_2581.jpg
[2026-09-05T18:23:39.487+0000] {logging_mixin.py:188} INFO - 2026-09-05 18:23:39,487 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2582.mp3
[2026-09-05T18:23:39.899+0000] {logging_mixin.py:188} INFO - 2026-09-05 18:23:39,899 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2582.mp3
[2026-09-05T18:23:40.718+0000] {logging_mixin.py:188} INFO - 2026-09-05 18:23:40,718 | INFO     | media.image_downloader | Downloaded background image for scene='clothing' -> /opt/airflow/output/images/long_2582.jpg
[2026-09-05T18:23:44.124+0000] {logging_mixin.py:188} INFO - 2026-09-05 18:23:44,124 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2583.mp3
[2026-09-05T18:23:44.458+0000] {logging_mixin.py:188} INFO - 2026-09-05 18:23:44,458 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2583.mp3
[2026-09-05T18:23:44.626+0000] {logging_mixin.py:188} INFO - 2026-09-05 18:23:44,626 | INFO     | media.image_downloader | Downloaded background image for scene='office' -> /opt/airflow/output/images/long_2583.jpg
[2026-09-05T18:23:47.941+0000] {logging_mixin.py:188} INFO - 2026-09-05 18:23:47,941 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2584.mp3
[2026-09-05T18:23:48.315+0000] {logging_mixin.py:188} INFO - 2026-09-05 18:23:48,315 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2584.mp3
[2026-09-05T18:23:48.651+0000] {logging_mixin.py:188} INFO - 2026-09-05 18:23:48,651 | INFO     | media.image_downloader | Downloaded background image for scene='bakery' -> /opt/airflow/output/images/long_2584.jpg
[2026-09-05T18:23:52.513+0000] {logging_mixin.py:188} INFO - 2026-09-05 18:23:52,513 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2585.mp3
[2026-09-05T18:23:52.929+0000] {logging_mixin.py:188} INFO - 2026-09-05 18:23:52,929 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2585.mp3
[2026-09-05T18:23:53.148+0000] {logging_mixin.py:188} INFO - 2026-09-05 18:23:53,148 | INFO     | media.image_downloader | Downloaded background image for scene='park' -> /opt/airflow/output/images/long_2585.jpg
[2026-09-05T18:23:57.604+0000] {logging_mixin.py:188} INFO - 2026-09-05 18:23:57,603 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2586.mp3
[2026-09-05T18:23:57.951+0000] {logging_mixin.py:188} INFO - 2026-09-05 18:23:57,951 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2586.mp3
[2026-09-05T18:23:58.111+0000] {logging_mixin.py:188} INFO - 2026-09-05 18:23:58,111 | INFO     | media.image_downloader | Downloaded background image for scene='restaurant' -> /opt/airflow/output/images/long_2586.jpg
[2026-09-05T18:24:01.609+0000] {logging_mixin.py:188} INFO - 2026-09-05 18:24:01,609 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2587.mp3
[2026-09-05T18:24:01.834+0000] {logging_mixin.py:188} INFO - 2026-09-05 18:24:01,834 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2587.mp3
[2026-09-05T18:24:01.986+0000] {logging_mixin.py:188} INFO - 2026-09-05 18:24:01,986 | INFO     | media.image_downloader | Downloaded background image for scene='boutique' -> /opt/airflow/output/images/long_2587.jpg
[2026-09-05T18:24:05.124+0000] {logging_mixin.py:188} INFO - 2026-09-05 18:24:05,124 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2588.mp3
[2026-09-05T18:24:05.514+0000] {logging_mixin.py:188} INFO - 2026-09-05 18:24:05,514 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2588.mp3
[2026-09-05T18:24:05.883+0000] {logging_mixin.py:188} INFO - 2026-09-05 18:24:05,883 | INFO     | media.image_downloader | Downloaded background image for scene='street' -> /opt/airflow/output/images/long_2588.jpg
[2026-09-05T18:24:10.033+0000] {logging_mixin.py:188} INFO - 2026-09-05 18:24:10,033 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2589.mp3
[2026-09-05T18:24:10.446+0000] {logging_mixin.py:188} INFO - 2026-09-05 18:24:10,446 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2589.mp3
[2026-09-05T18:24:10.631+0000] {logging_mixin.py:188} INFO - 2026-09-05 18:24:10,631 | INFO     | media.image_downloader | Downloaded background image for scene='office' -> /opt/airflow/output/images/long_2589.jpg
[2026-09-05T18:24:14.176+0000] {logging_mixin.py:188} INFO - 2026-09-05 18:24:14,176 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2590.mp3
[2026-09-05T18:24:14.586+0000] {logging_mixin.py:188} INFO - 2026-09-05 18:24:14,586 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2590.mp3
[2026-09-05T18:24:14.783+0000] {logging_mixin.py:188} INFO - 2026-09-05 18:24:14,782 | INFO     | media.image_downloader | Downloaded background image for scene='cafe' -> /opt/airflow/output/images/long_2590.jpg
[2026-09-05T18:24:18.862+0000] {logging_mixin.py:188} INFO - 2026-09-05 18:24:18,861 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2591.mp3
[2026-09-05T18:24:19.210+0000] {logging_mixin.py:188} INFO - 2026-09-05 18:24:19,210 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2591.mp3
[2026-09-05T18:24:19.366+0000] {logging_mixin.py:188} INFO - 2026-09-05 18:24:19,366 | INFO     | media.image_downloader | Downloaded background image for scene='hotel' -> /opt/airflow/output/images/long_2591.jpg
