[2026-09-09T23:24:43.405+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-09-09T23:24:43.432+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_1 scheduled__2026-09-08T12:00:00+00:00 [queued]>
[2026-09-09T23:24:43.474+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_1 scheduled__2026-09-08T12:00:00+00:00 [queued]>
[2026-09-09T23:24:43.475+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 3
[2026-09-09T23:24:43.493+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): build_long_video_1> on 2026-09-08 12:00:00+00:00
[2026-09-09T23:24:43.500+0000] {standard_task_runner.py:64} INFO - Started process 570 to run task
[2026-09-09T23:24:43.503+0000] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'youtube_english_video_pipeline', 'build_long_video_1', 'scheduled__2026-09-08T12:00:00+00:00', '--job-id', '1082', '--raw', '--subdir', 'DAGS_FOLDER/youtube_pipeline.py', '--cfg-path', '/tmp/tmp54cwg4j0']
[2026-09-09T23:24:43.505+0000] {standard_task_runner.py:91} INFO - Job 1082: Subtask build_long_video_1
[2026-09-09T23:24:43.566+0000] {task_command.py:426} INFO - Running <TaskInstance: youtube_english_video_pipeline.build_long_video_1 scheduled__2026-09-08T12:00:00+00:00 [running]> on host cc859d74cf38
[2026-09-09T23:24:43.806+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='taky' AIRFLOW_CTX_DAG_ID='youtube_english_video_pipeline' AIRFLOW_CTX_TASK_ID='build_long_video_1' AIRFLOW_CTX_EXECUTION_DATE='2026-09-08T12:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-09-08T12:00:00+00:00'
[2026-09-09T23:24:43.808+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-09-09T23:24:44.485+0000] {logging_mixin.py:188} INFO - 2026-09-09 23:24:44,485 | INFO     | planner.video_planner | Only 5 phrases for topic='Business English', topping up without topic filter
[2026-09-09T23:24:44.493+0000] {logging_mixin.py:188} INFO - 2026-09-09 23:24:44,493 | INFO     | planner.video_planner | Planned LONG video: topic='Mixed English Expressions', phrases=20
[2026-09-09T23:24:44.780+0000] {logging_mixin.py:188} INFO - 2026-09-09 23:24:44,780 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2684.mp3
[2026-09-09T23:24:45.111+0000] {logging_mixin.py:188} INFO - 2026-09-09 23:24:45,111 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2684.mp3
[2026-09-09T23:24:45.767+0000] {logging_mixin.py:188} INFO - 2026-09-09 23:24:45,767 | INFO     | media.image_downloader | Downloaded background image for scene='taxi' -> /opt/airflow/output/images/long_2684.jpg
[2026-09-09T23:24:49.881+0000] {logging_mixin.py:188} INFO - 2026-09-09 23:24:49,881 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2685.mp3
[2026-09-09T23:24:50.260+0000] {logging_mixin.py:188} INFO - 2026-09-09 23:24:50,260 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2685.mp3
[2026-09-09T23:24:50.471+0000] {logging_mixin.py:188} INFO - 2026-09-09 23:24:50,471 | INFO     | media.image_downloader | Downloaded background image for scene='office' -> /opt/airflow/output/images/long_2685.jpg
[2026-09-09T23:24:54.316+0000] {logging_mixin.py:188} INFO - 2026-09-09 23:24:54,316 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2686.mp3
[2026-09-09T23:24:54.757+0000] {logging_mixin.py:188} INFO - 2026-09-09 23:24:54,757 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2686.mp3
[2026-09-09T23:24:54.951+0000] {logging_mixin.py:188} INFO - 2026-09-09 23:24:54,951 | INFO     | media.image_downloader | Downloaded background image for scene='restaurant' -> /opt/airflow/output/images/long_2686.jpg
[2026-09-09T23:24:58.877+0000] {logging_mixin.py:188} INFO - 2026-09-09 23:24:58,876 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2687.mp3
