[2026-09-15T00:01:16.690+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-09-15T00:01:16.729+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_1 scheduled__2026-09-13T12:00:00+00:00 [queued]>
[2026-09-15T00:01:16.738+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_1 scheduled__2026-09-13T12:00:00+00:00 [queued]>
[2026-09-15T00:01:16.740+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 3
[2026-09-15T00:01:16.755+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): build_long_video_1> on 2026-09-13 12:00:00+00:00
[2026-09-15T00:01:16.759+0000] {standard_task_runner.py:64} INFO - Started process 638 to run task
[2026-09-15T00:01:16.762+0000] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'youtube_english_video_pipeline', 'build_long_video_1', 'scheduled__2026-09-13T12:00:00+00:00', '--job-id', '1154', '--raw', '--subdir', 'DAGS_FOLDER/youtube_pipeline.py', '--cfg-path', '/tmp/tmpgkzg1qzz']
[2026-09-15T00:01:16.764+0000] {standard_task_runner.py:91} INFO - Job 1154: Subtask build_long_video_1
[2026-09-15T00:01:16.831+0000] {task_command.py:426} INFO - Running <TaskInstance: youtube_english_video_pipeline.build_long_video_1 scheduled__2026-09-13T12:00:00+00:00 [running]> on host cc859d74cf38
[2026-09-15T00:01:17.036+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='taky' AIRFLOW_CTX_DAG_ID='youtube_english_video_pipeline' AIRFLOW_CTX_TASK_ID='build_long_video_1' AIRFLOW_CTX_EXECUTION_DATE='2026-09-13T12:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-09-13T12:00:00+00:00'
[2026-09-15T00:01:17.037+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-09-15T00:01:17.741+0000] {logging_mixin.py:188} INFO - 2026-09-15 00:01:17,741 | INFO     | planner.video_planner | Only 13 phrases for topic='Travel English', topping up without topic filter
[2026-09-15T00:01:17.748+0000] {logging_mixin.py:188} INFO - 2026-09-15 00:01:17,748 | INFO     | planner.video_planner | Planned LONG video: topic='Mixed English Expressions', phrases=20
[2026-09-15T00:01:18.402+0000] {logging_mixin.py:188} INFO - 2026-09-15 00:01:18,402 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2758.mp3
[2026-09-15T00:01:18.826+0000] {logging_mixin.py:188} INFO - 2026-09-15 00:01:18,826 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2758.mp3
[2026-09-15T00:01:19.351+0000] {logging_mixin.py:188} INFO - 2026-09-15 00:01:19,351 | INFO     | media.image_downloader | Downloaded background image for scene='airport' -> /opt/airflow/output/images/long_2758.jpg
[2026-09-15T00:01:23.471+0000] {logging_mixin.py:188} INFO - 2026-09-15 00:01:23,471 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2756.mp3
[2026-09-15T00:01:23.872+0000] {logging_mixin.py:188} INFO - 2026-09-15 00:01:23,871 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2756.mp3
[2026-09-15T00:01:25.441+0000] {logging_mixin.py:188} INFO - 2026-09-15 00:01:25,441 | INFO     | media.image_downloader | Downloaded background image for scene='cafe' -> /opt/airflow/output/images/long_2756.jpg
[2026-09-15T00:01:30.016+0000] {logging_mixin.py:188} INFO - 2026-09-15 00:01:30,016 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2759.mp3
[2026-09-15T00:01:30.366+0000] {logging_mixin.py:188} INFO - 2026-09-15 00:01:30,366 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2759.mp3
[2026-09-15T00:01:30.895+0000] {logging_mixin.py:188} INFO - 2026-09-15 00:01:30,895 | INFO     | media.image_downloader | Downloaded background image for scene='restaurant' -> /opt/airflow/output/images/long_2759.jpg
[2026-09-15T00:01:34.781+0000] {logging_mixin.py:188} INFO - 2026-09-15 00:01:34,781 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2754.mp3
