[2026-09-15T00:04:29.267+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-09-15T00:04:29.311+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_2 scheduled__2026-09-13T12:00:00+00:00 [queued]>
[2026-09-15T00:04:29.319+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_2 scheduled__2026-09-13T12:00:00+00:00 [queued]>
[2026-09-15T00:04:29.321+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 3
[2026-09-15T00:04:29.335+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): build_long_video_2> on 2026-09-13 12:00:00+00:00
[2026-09-15T00:04:29.340+0000] {standard_task_runner.py:64} INFO - Started process 4054 to run task
[2026-09-15T00:04:29.344+0000] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'youtube_english_video_pipeline', 'build_long_video_2', 'scheduled__2026-09-13T12:00:00+00:00', '--job-id', '1159', '--raw', '--subdir', 'DAGS_FOLDER/youtube_pipeline.py', '--cfg-path', '/tmp/tmpun1iz_uf']
[2026-09-15T00:04:29.348+0000] {standard_task_runner.py:91} INFO - Job 1159: Subtask build_long_video_2
[2026-09-15T00:04:29.401+0000] {task_command.py:426} INFO - Running <TaskInstance: youtube_english_video_pipeline.build_long_video_2 scheduled__2026-09-13T12:00:00+00:00 [running]> on host cc859d74cf38
[2026-09-15T00:04:29.620+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='taky' AIRFLOW_CTX_DAG_ID='youtube_english_video_pipeline' AIRFLOW_CTX_TASK_ID='build_long_video_2' AIRFLOW_CTX_EXECUTION_DATE='2026-09-13T12:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-09-13T12:00:00+00:00'
[2026-09-15T00:04:29.622+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-09-15T00:04:30.321+0000] {logging_mixin.py:188} INFO - 2026-09-15 00:04:30,321 | INFO     | planner.video_planner | Only 11 phrases for topic='Business English', topping up without topic filter
[2026-09-15T00:04:30.331+0000] {logging_mixin.py:188} INFO - 2026-09-15 00:04:30,331 | INFO     | planner.video_planner | Planned LONG video: topic='Mixed English Expressions', phrases=20
[2026-09-15T00:04:30.701+0000] {logging_mixin.py:188} INFO - 2026-09-15 00:04:30,701 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2773.mp3
[2026-09-15T00:04:31.187+0000] {logging_mixin.py:188} INFO - 2026-09-15 00:04:31,187 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2773.mp3
[2026-09-15T00:04:31.813+0000] {logging_mixin.py:188} INFO - 2026-09-15 00:04:31,813 | INFO     | media.image_downloader | Downloaded background image for scene='boardroom' -> /opt/airflow/output/images/long_2773.jpg
[2026-09-15T00:04:36.249+0000] {logging_mixin.py:188} INFO - 2026-09-15 00:04:36,249 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2774.mp3
[2026-09-15T00:04:36.697+0000] {logging_mixin.py:188} INFO - 2026-09-15 00:04:36,697 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2774.mp3
[2026-09-15T00:04:38.012+0000] {logging_mixin.py:188} INFO - 2026-09-15 00:04:38,012 | INFO     | media.image_downloader | Downloaded background image for scene='train' -> /opt/airflow/output/images/long_2774.jpg
[2026-09-15T00:04:42.323+0000] {logging_mixin.py:188} INFO - 2026-09-15 00:04:42,323 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2775.mp3
[2026-09-15T00:04:42.745+0000] {logging_mixin.py:188} INFO - 2026-09-15 00:04:42,744 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2775.mp3
[2026-09-15T00:04:43.578+0000] {logging_mixin.py:188} INFO - 2026-09-15 00:04:43,578 | INFO     | media.image_downloader | Downloaded background image for scene='party' -> /opt/airflow/output/images/long_2775.jpg
[2026-09-15T00:04:47.913+0000] {logging_mixin.py:188} INFO - 2026-09-15 00:04:47,913 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2776.mp3
[2026-09-15T00:04:48.364+0000] {logging_mixin.py:188} INFO - 2026-09-15 00:04:48,364 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2776.mp3
