[2026-09-15T00:07:24.594+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-09-15T00:07:24.622+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_3 scheduled__2026-09-13T12:00:00+00:00 [queued]>
[2026-09-15T00:07:24.628+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_3 scheduled__2026-09-13T12:00:00+00:00 [queued]>
[2026-09-15T00:07:24.629+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 3
[2026-09-15T00:07:24.640+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): build_long_video_3> on 2026-09-13 12:00:00+00:00
[2026-09-15T00:07:24.646+0000] {standard_task_runner.py:64} INFO - Started process 7470 to run task
[2026-09-15T00:07:24.648+0000] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'youtube_english_video_pipeline', 'build_long_video_3', 'scheduled__2026-09-13T12:00:00+00:00', '--job-id', '1164', '--raw', '--subdir', 'DAGS_FOLDER/youtube_pipeline.py', '--cfg-path', '/tmp/tmp7sk055ng']
[2026-09-15T00:07:24.651+0000] {standard_task_runner.py:91} INFO - Job 1164: Subtask build_long_video_3
[2026-09-15T00:07:24.697+0000] {task_command.py:426} INFO - Running <TaskInstance: youtube_english_video_pipeline.build_long_video_3 scheduled__2026-09-13T12:00:00+00:00 [running]> on host cc859d74cf38
[2026-09-15T00:07:24.859+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='taky' AIRFLOW_CTX_DAG_ID='youtube_english_video_pipeline' AIRFLOW_CTX_TASK_ID='build_long_video_3' AIRFLOW_CTX_EXECUTION_DATE='2026-09-13T12:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-09-13T12:00:00+00:00'
[2026-09-15T00:07:24.860+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-09-15T00:07:25.619+0000] {logging_mixin.py:188} INFO - 2026-09-15 00:07:25,619 | INFO     | planner.video_planner | Only 7 phrases for topic='Business English', topping up without topic filter
[2026-09-15T00:07:25.630+0000] {logging_mixin.py:188} INFO - 2026-09-15 00:07:25,630 | INFO     | planner.video_planner | Planned LONG video: topic='Mixed English Expressions', phrases=20
[2026-09-15T00:07:25.925+0000] {logging_mixin.py:188} INFO - 2026-09-15 00:07:25,925 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2794.mp3
[2026-09-15T00:07:26.306+0000] {logging_mixin.py:188} INFO - 2026-09-15 00:07:26,306 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2794.mp3
[2026-09-15T00:07:26.480+0000] {logging_mixin.py:188} INFO - 2026-09-15 00:07:26,480 | INFO     | media.image_downloader | Downloaded background image for scene='hotel' -> /opt/airflow/output/images/long_2794.jpg
[2026-09-15T00:07:30.023+0000] {logging_mixin.py:188} INFO - 2026-09-15 00:07:30,023 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2795.mp3
[2026-09-15T00:07:30.431+0000] {logging_mixin.py:188} INFO - 2026-09-15 00:07:30,431 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2795.mp3
[2026-09-15T00:07:30.662+0000] {logging_mixin.py:188} INFO - 2026-09-15 00:07:30,662 | INFO     | media.image_downloader | Downloaded background image for scene='airport' -> /opt/airflow/output/images/long_2795.jpg
[2026-09-15T00:07:34.482+0000] {logging_mixin.py:188} INFO - 2026-09-15 00:07:34,482 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2796.mp3
[2026-09-15T00:07:34.954+0000] {logging_mixin.py:188} INFO - 2026-09-15 00:07:34,954 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2796.mp3
[2026-09-15T00:07:35.273+0000] {logging_mixin.py:188} INFO - 2026-09-15 00:07:35,273 | INFO     | media.image_downloader | Downloaded background image for scene='restaurant' -> /opt/airflow/output/images/long_2796.jpg
[2026-09-15T00:07:38.788+0000] {logging_mixin.py:188} INFO - 2026-09-15 00:07:38,788 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2797.mp3
