[2026-09-15T00:10:50.204+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-09-15T00:10:50.232+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_4 scheduled__2026-09-13T12:00:00+00:00 [queued]>
[2026-09-15T00:10:50.239+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_4 scheduled__2026-09-13T12:00:00+00:00 [queued]>
[2026-09-15T00:10:50.241+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 3
[2026-09-15T00:10:50.252+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): build_long_video_4> on 2026-09-13 12:00:00+00:00
[2026-09-15T00:10:50.258+0000] {standard_task_runner.py:64} INFO - Started process 10929 to run task
[2026-09-15T00:10:50.261+0000] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'youtube_english_video_pipeline', 'build_long_video_4', 'scheduled__2026-09-13T12:00:00+00:00', '--job-id', '1169', '--raw', '--subdir', 'DAGS_FOLDER/youtube_pipeline.py', '--cfg-path', '/tmp/tmpgtu088a9']
[2026-09-15T00:10:50.263+0000] {standard_task_runner.py:91} INFO - Job 1169: Subtask build_long_video_4
[2026-09-15T00:10:50.320+0000] {task_command.py:426} INFO - Running <TaskInstance: youtube_english_video_pipeline.build_long_video_4 scheduled__2026-09-13T12:00:00+00:00 [running]> on host cc859d74cf38
[2026-09-15T00:10:50.592+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='taky' AIRFLOW_CTX_DAG_ID='youtube_english_video_pipeline' AIRFLOW_CTX_TASK_ID='build_long_video_4' AIRFLOW_CTX_EXECUTION_DATE='2026-09-13T12:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-09-13T12:00:00+00:00'
[2026-09-15T00:10:50.594+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-09-15T00:10:51.291+0000] {logging_mixin.py:188} INFO - 2026-09-15 00:10:51,291 | INFO     | planner.video_planner | Only 4 phrases for topic='Business English', topping up without topic filter
[2026-09-15T00:10:51.304+0000] {logging_mixin.py:188} INFO - 2026-09-15 00:10:51,304 | INFO     | planner.video_planner | Planned LONG video: topic='Mixed English Expressions', phrases=20
[2026-09-15T00:10:51.601+0000] {logging_mixin.py:188} INFO - 2026-09-15 00:10:51,601 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2814.mp3
[2026-09-15T00:10:51.940+0000] {logging_mixin.py:188} INFO - 2026-09-15 00:10:51,940 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2814.mp3
[2026-09-15T00:10:52.119+0000] {logging_mixin.py:188} INFO - 2026-09-15 00:10:52,119 | INFO     | media.image_downloader | Downloaded background image for scene='restaurant' -> /opt/airflow/output/images/long_2814.jpg
[2026-09-15T00:10:55.830+0000] {logging_mixin.py:188} INFO - 2026-09-15 00:10:55,830 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2815.mp3
[2026-09-15T00:10:56.162+0000] {logging_mixin.py:188} INFO - 2026-09-15 00:10:56,162 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2815.mp3
[2026-09-15T00:10:56.399+0000] {logging_mixin.py:188} INFO - 2026-09-15 00:10:56,399 | INFO     | media.image_downloader | Downloaded background image for scene='restaurant' -> /opt/airflow/output/images/long_2815.jpg
[2026-09-15T00:10:59.519+0000] {logging_mixin.py:188} INFO - 2026-09-15 00:10:59,519 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2816.mp3
[2026-09-15T00:10:59.849+0000] {logging_mixin.py:188} INFO - 2026-09-15 00:10:59,849 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2816.mp3
[2026-09-15T00:10:59.988+0000] {logging_mixin.py:188} INFO - 2026-09-15 00:10:59,988 | INFO     | media.image_downloader | Downloaded background image for scene='hotel' -> /opt/airflow/output/images/long_2816.jpg
[2026-09-15T00:11:03.979+0000] {logging_mixin.py:188} INFO - 2026-09-15 00:11:03,979 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2817.mp3
[2026-09-15T00:11:04.402+0000] {logging_mixin.py:188} INFO - 2026-09-15 00:11:04,402 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2817.mp3
[2026-09-15T00:11:04.662+0000] {logging_mixin.py:188} INFO - 2026-09-15 00:11:04,662 | INFO     | media.image_downloader | Downloaded background image for scene='hotel' -> /opt/airflow/output/images/long_2817.jpg
[2026-09-15T00:11:08.300+0000] {logging_mixin.py:188} INFO - 2026-09-15 00:11:08,300 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2818.mp3
[2026-09-15T00:11:08.677+0000] {logging_mixin.py:188} INFO - 2026-09-15 00:11:08,677 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2818.mp3
[2026-09-15T00:11:08.865+0000] {logging_mixin.py:188} INFO - 2026-09-15 00:11:08,865 | INFO     | media.image_downloader | Downloaded background image for scene='airport' -> /opt/airflow/output/images/long_2818.jpg
[2026-09-15T00:11:12.871+0000] {logging_mixin.py:188} INFO - 2026-09-15 00:11:12,871 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2819.mp3
[2026-09-15T00:11:13.269+0000] {logging_mixin.py:188} INFO - 2026-09-15 00:11:13,269 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2819.mp3
[2026-09-15T00:11:13.453+0000] {logging_mixin.py:188} INFO - 2026-09-15 00:11:13,453 | INFO     | media.image_downloader | Downloaded background image for scene='airport' -> /opt/airflow/output/images/long_2819.jpg
[2026-09-15T00:11:17.237+0000] {logging_mixin.py:188} INFO - 2026-09-15 00:11:17,237 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2820.mp3
[2026-09-15T00:11:17.659+0000] {logging_mixin.py:188} INFO - 2026-09-15 00:11:17,659 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2820.mp3
[2026-09-15T00:11:18.327+0000] {logging_mixin.py:188} INFO - 2026-09-15 00:11:18,326 | INFO     | media.image_downloader | Downloaded background image for scene='boutique' -> /opt/airflow/output/images/long_2820.jpg
[2026-09-15T00:11:22.302+0000] {logging_mixin.py:188} INFO - 2026-09-15 00:11:22,302 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2821.mp3
[2026-09-15T00:11:22.578+0000] {logging_mixin.py:188} INFO - 2026-09-15 00:11:22,578 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2821.mp3
[2026-09-15T00:11:22.755+0000] {logging_mixin.py:188} INFO - 2026-09-15 00:11:22,755 | INFO     | media.image_downloader | Downloaded background image for scene='store' -> /opt/airflow/output/images/long_2821.jpg
[2026-09-15T00:11:26.789+0000] {logging_mixin.py:188} INFO - 2026-09-15 00:11:26,788 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2822.mp3
[2026-09-15T00:11:27.138+0000] {logging_mixin.py:188} INFO - 2026-09-15 00:11:27,138 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2822.mp3
[2026-09-15T00:11:27.316+0000] {logging_mixin.py:188} INFO - 2026-09-15 00:11:27,316 | INFO     | media.image_downloader | Downloaded background image for scene='supermarket' -> /opt/airflow/output/images/long_2822.jpg
[2026-09-15T00:11:31.601+0000] {logging_mixin.py:188} INFO - 2026-09-15 00:11:31,601 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2823.mp3
[2026-09-15T00:11:32.041+0000] {logging_mixin.py:188} INFO - 2026-09-15 00:11:32,041 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2823.mp3
[2026-09-15T00:11:32.217+0000] {logging_mixin.py:188} INFO - 2026-09-15 00:11:32,217 | INFO     | media.image_downloader | Downloaded background image for scene='meeting' -> /opt/airflow/output/images/long_2823.jpg
