[2026-09-15T00:14:51.593+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-09-15T00:14:51.618+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_5 scheduled__2026-09-13T12:00:00+00:00 [queued]>
[2026-09-15T00:14:51.624+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_5 scheduled__2026-09-13T12:00:00+00:00 [queued]>
[2026-09-15T00:14:51.625+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 3
[2026-09-15T00:14:51.636+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): build_long_video_5> on 2026-09-13 12:00:00+00:00
[2026-09-15T00:14:51.640+0000] {standard_task_runner.py:64} INFO - Started process 14391 to run task
[2026-09-15T00:14:51.643+0000] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'youtube_english_video_pipeline', 'build_long_video_5', 'scheduled__2026-09-13T12:00:00+00:00', '--job-id', '1174', '--raw', '--subdir', 'DAGS_FOLDER/youtube_pipeline.py', '--cfg-path', '/tmp/tmppe16yuk_']
[2026-09-15T00:14:51.645+0000] {standard_task_runner.py:91} INFO - Job 1174: Subtask build_long_video_5
[2026-09-15T00:14:51.689+0000] {task_command.py:426} INFO - Running <TaskInstance: youtube_english_video_pipeline.build_long_video_5 scheduled__2026-09-13T12:00:00+00:00 [running]> on host cc859d74cf38
[2026-09-15T00:14:51.860+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='taky' AIRFLOW_CTX_DAG_ID='youtube_english_video_pipeline' AIRFLOW_CTX_TASK_ID='build_long_video_5' AIRFLOW_CTX_EXECUTION_DATE='2026-09-13T12:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-09-13T12:00:00+00:00'
[2026-09-15T00:14:51.861+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-09-15T00:14:52.669+0000] {logging_mixin.py:188} INFO - 2026-09-15 00:14:52,669 | INFO     | planner.video_planner | Only 5 phrases for topic='Travel English', topping up without topic filter
[2026-09-15T00:14:52.676+0000] {logging_mixin.py:188} INFO - 2026-09-15 00:14:52,676 | INFO     | planner.video_planner | Planned LONG video: topic='Mixed English Expressions', phrases=20
[2026-09-15T00:14:53.006+0000] {logging_mixin.py:188} INFO - 2026-09-15 00:14:53,006 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2835.mp3
[2026-09-15T00:14:53.377+0000] {logging_mixin.py:188} INFO - 2026-09-15 00:14:53,377 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2835.mp3
[2026-09-15T00:14:53.648+0000] {logging_mixin.py:188} INFO - 2026-09-15 00:14:53,648 | INFO     | media.image_downloader | Downloaded background image for scene='subway' -> /opt/airflow/output/images/long_2835.jpg
[2026-09-15T00:14:57.330+0000] {logging_mixin.py:188} INFO - 2026-09-15 00:14:57,330 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2836.mp3
[2026-09-15T00:14:57.807+0000] {logging_mixin.py:188} INFO - 2026-09-15 00:14:57,807 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2836.mp3
[2026-09-15T00:14:58.130+0000] {logging_mixin.py:188} INFO - 2026-09-15 00:14:58,130 | INFO     | media.image_downloader | Downloaded background image for scene='restaurant' -> /opt/airflow/output/images/long_2836.jpg
[2026-09-15T00:15:01.847+0000] {logging_mixin.py:188} INFO - 2026-09-15 00:15:01,847 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2837.mp3
[2026-09-15T00:15:02.184+0000] {logging_mixin.py:188} INFO - 2026-09-15 00:15:02,184 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2837.mp3
[2026-09-15T00:15:03.178+0000] {logging_mixin.py:188} INFO - 2026-09-15 00:15:03,177 | INFO     | media.image_downloader | Downloaded background image for scene='traffic' -> /opt/airflow/output/images/long_2837.jpg
[2026-09-15T00:15:07.978+0000] {logging_mixin.py:188} INFO - 2026-09-15 00:15:07,978 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2838.mp3
[2026-09-15T00:15:08.323+0000] {logging_mixin.py:188} INFO - 2026-09-15 00:15:08,323 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2838.mp3
[2026-09-15T00:15:09.392+0000] {logging_mixin.py:188} INFO - 2026-09-15 00:15:09,392 | INFO     | media.image_downloader | Downloaded background image for scene='shopping' -> /opt/airflow/output/images/long_2838.jpg
[2026-09-15T00:15:13.343+0000] {logging_mixin.py:188} INFO - 2026-09-15 00:15:13,343 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2839.mp3
[2026-09-15T00:15:13.695+0000] {logging_mixin.py:188} INFO - 2026-09-15 00:15:13,695 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2839.mp3
[2026-09-15T00:15:14.034+0000] {logging_mixin.py:188} INFO - 2026-09-15 00:15:14,033 | INFO     | media.image_downloader | Downloaded background image for scene='hotel' -> /opt/airflow/output/images/long_2839.jpg
[2026-09-15T00:15:18.096+0000] {logging_mixin.py:188} INFO - 2026-09-15 00:15:18,096 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2840.mp3
[2026-09-15T00:15:18.508+0000] {logging_mixin.py:188} INFO - 2026-09-15 00:15:18,508 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2840.mp3
[2026-09-15T00:15:18.685+0000] {logging_mixin.py:188} INFO - 2026-09-15 00:15:18,685 | INFO     | media.image_downloader | Downloaded background image for scene='office' -> /opt/airflow/output/images/long_2840.jpg
[2026-09-15T00:15:22.370+0000] {logging_mixin.py:188} INFO - 2026-09-15 00:15:22,370 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2841.mp3
[2026-09-15T00:15:22.900+0000] {logging_mixin.py:188} INFO - 2026-09-15 00:15:22,900 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2841.mp3
