[2026-09-18T22:23:57.771+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-09-18T22:23:57.840+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_1 scheduled__2026-09-17T12:00:00+00:00 [queued]>
[2026-09-18T22:23:57.852+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_1 scheduled__2026-09-17T12:00:00+00:00 [queued]>
[2026-09-18T22:23:57.853+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 3
[2026-09-18T22:23:57.869+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): build_long_video_1> on 2026-09-17 12:00:00+00:00
[2026-09-18T22:23:57.875+0000] {standard_task_runner.py:64} INFO - Started process 1971 to run task
[2026-09-18T22:23:57.879+0000] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'youtube_english_video_pipeline', 'build_long_video_1', 'scheduled__2026-09-17T12:00:00+00:00', '--job-id', '1213', '--raw', '--subdir', 'DAGS_FOLDER/youtube_pipeline.py', '--cfg-path', '/tmp/tmpcq711pwy']
[2026-09-18T22:23:57.882+0000] {standard_task_runner.py:91} INFO - Job 1213: Subtask build_long_video_1
[2026-09-18T22:23:57.948+0000] {task_command.py:426} INFO - Running <TaskInstance: youtube_english_video_pipeline.build_long_video_1 scheduled__2026-09-17T12:00:00+00:00 [running]> on host cc859d74cf38
[2026-09-18T22:23:58.254+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='taky' AIRFLOW_CTX_DAG_ID='youtube_english_video_pipeline' AIRFLOW_CTX_TASK_ID='build_long_video_1' AIRFLOW_CTX_EXECUTION_DATE='2026-09-17T12:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-09-17T12:00:00+00:00'
[2026-09-18T22:23:58.256+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-09-18T22:23:59.846+0000] {logging_mixin.py:188} INFO - 2026-09-18 22:23:59,846 | INFO     | planner.video_planner | Only 11 phrases for topic='Daily Conversation', topping up without topic filter
[2026-09-18T22:23:59.856+0000] {logging_mixin.py:188} INFO - 2026-09-18 22:23:59,856 | INFO     | planner.video_planner | Planned LONG video: topic='Mixed English Expressions', phrases=20
[2026-09-18T22:24:00.235+0000] {logging_mixin.py:188} INFO - 2026-09-18 22:24:00,235 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2860.mp3
[2026-09-18T22:24:00.658+0000] {logging_mixin.py:188} INFO - 2026-09-18 22:24:00,658 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2860.mp3
[2026-09-18T22:24:01.703+0000] {logging_mixin.py:188} INFO - 2026-09-18 22:24:01,703 | INFO     | media.image_downloader | Downloaded background image for scene='hallway' -> /opt/airflow/output/images/long_2860.jpg
[2026-09-18T22:24:05.639+0000] {logging_mixin.py:188} INFO - 2026-09-18 22:24:05,639 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2862.mp3
[2026-09-18T22:24:06.127+0000] {logging_mixin.py:188} INFO - 2026-09-18 22:24:06,127 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2862.mp3
[2026-09-18T22:24:06.885+0000] {logging_mixin.py:188} INFO - 2026-09-18 22:24:06,884 | INFO     | media.image_downloader | Downloaded background image for scene='restaurant' -> /opt/airflow/output/images/long_2862.jpg
[2026-09-18T22:24:11.096+0000] {logging_mixin.py:188} INFO - 2026-09-18 22:24:11,096 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2875.mp3
[2026-09-18T22:24:11.451+0000] {logging_mixin.py:188} INFO - 2026-09-18 22:24:11,451 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2875.mp3
[2026-09-18T22:24:11.963+0000] {logging_mixin.py:188} INFO - 2026-09-18 22:24:11,963 | INFO     | media.image_downloader | Downloaded background image for scene='office' -> /opt/airflow/output/images/long_2875.jpg
[2026-09-18T22:24:16.054+0000] {logging_mixin.py:188} INFO - 2026-09-18 22:24:16,054 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2864.mp3
[2026-09-18T22:24:16.550+0000] {logging_mixin.py:188} INFO - 2026-09-18 22:24:16,550 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2864.mp3
