[2026-09-20T12:00:18.069+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-09-20T12:00:18.094+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_1 scheduled__2026-09-19T12:00:00+00:00 [queued]>
[2026-09-20T12:00:18.099+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_1 scheduled__2026-09-19T12:00:00+00:00 [queued]>
[2026-09-20T12:00:18.099+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 3
[2026-09-20T12:00:18.108+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): build_long_video_1> on 2026-09-19 12:00:00+00:00
[2026-09-20T12:00:18.111+0000] {standard_task_runner.py:64} INFO - Started process 65783 to run task
[2026-09-20T12:00:18.114+0000] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'youtube_english_video_pipeline', 'build_long_video_1', 'scheduled__2026-09-19T12:00:00+00:00', '--job-id', '1365', '--raw', '--subdir', 'DAGS_FOLDER/youtube_pipeline.py', '--cfg-path', '/tmp/tmp_02dg9uk']
[2026-09-20T12:00:18.115+0000] {standard_task_runner.py:91} INFO - Job 1365: Subtask build_long_video_1
[2026-09-20T12:00:18.163+0000] {task_command.py:426} INFO - Running <TaskInstance: youtube_english_video_pipeline.build_long_video_1 scheduled__2026-09-19T12:00:00+00:00 [running]> on host 73b18333cdfe
[2026-09-20T12:00:18.330+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='taky' AIRFLOW_CTX_DAG_ID='youtube_english_video_pipeline' AIRFLOW_CTX_TASK_ID='build_long_video_1' AIRFLOW_CTX_EXECUTION_DATE='2026-09-19T12:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-09-19T12:00:00+00:00'
[2026-09-20T12:00:18.331+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-09-20T12:00:18.742+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:00:18,742 | INFO     | planner.video_planner | Planned LONG video: topic='Travel English', phrases=20
[2026-09-20T12:00:18.949+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:00:18,949 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3335.mp3
[2026-09-20T12:00:19.462+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:00:19,462 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3335.mp3
[2026-09-20T12:00:19.897+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:00:19,896 | INFO     | media.image_downloader | Downloaded background image for scene='hotel' -> /opt/airflow/output/images/long_3335.jpg
[2026-09-20T12:00:22.971+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:00:22,971 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3344.mp3
[2026-09-20T12:00:23.289+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:00:23,289 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3344.mp3
[2026-09-20T12:00:23.704+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:00:23,704 | INFO     | media.image_downloader | Downloaded background image for scene='taxi' -> /opt/airflow/output/images/long_3344.jpg
[2026-09-20T12:00:27.385+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:00:27,385 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3333.mp3
[2026-09-20T12:00:27.751+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:00:27,751 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3333.mp3
[2026-09-20T12:00:28.510+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:00:28,509 | INFO     | media.image_downloader | Downloaded background image for scene='street' -> /opt/airflow/output/images/long_3333.jpg
[2026-09-20T12:00:32.682+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:00:32,681 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3334.mp3
[2026-09-20T12:00:33.036+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:00:33,036 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3334.mp3
