[2026-09-20T12:22:49.275+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-09-20T12:22:49.300+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_10 scheduled__2026-09-19T12:00:00+00:00 [queued]>
[2026-09-20T12:22:49.307+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_10 scheduled__2026-09-19T12:00:00+00:00 [queued]>
[2026-09-20T12:22:49.309+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 3
[2026-09-20T12:22:49.318+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): build_long_video_10> on 2026-09-19 12:00:00+00:00
[2026-09-20T12:22:49.322+0000] {standard_task_runner.py:64} INFO - Started process 95276 to run task
[2026-09-20T12:22:49.324+0000] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'youtube_english_video_pipeline', 'build_long_video_10', 'scheduled__2026-09-19T12:00:00+00:00', '--job-id', '1410', '--raw', '--subdir', 'DAGS_FOLDER/youtube_pipeline.py', '--cfg-path', '/tmp/tmpd92p0980']
[2026-09-20T12:22:49.325+0000] {standard_task_runner.py:91} INFO - Job 1410: Subtask build_long_video_10
[2026-09-20T12:22:49.362+0000] {task_command.py:426} INFO - Running <TaskInstance: youtube_english_video_pipeline.build_long_video_10 scheduled__2026-09-19T12:00:00+00:00 [running]> on host 73b18333cdfe
[2026-09-20T12:22:49.508+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='taky' AIRFLOW_CTX_DAG_ID='youtube_english_video_pipeline' AIRFLOW_CTX_TASK_ID='build_long_video_10' AIRFLOW_CTX_EXECUTION_DATE='2026-09-19T12:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-09-19T12:00:00+00:00'
[2026-09-20T12:22:49.510+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-09-20T12:22:49.810+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:22:49,809 | INFO     | planner.video_planner | Planned LONG video: topic='Travel English', phrases=20
[2026-09-20T12:22:50.110+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:22:50,110 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3538.mp3
[2026-09-20T12:22:50.402+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:22:50,402 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3538.mp3
[2026-09-20T12:22:50.890+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:22:50,890 | INFO     | media.image_downloader | Downloaded background image for scene='city' -> /opt/airflow/output/images/long_3538.jpg
[2026-09-20T12:22:54.700+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:22:54,700 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3540.mp3
[2026-09-20T12:22:55.130+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:22:55,129 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3540.mp3
[2026-09-20T12:22:55.687+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:22:55,687 | INFO     | media.image_downloader | Downloaded background image for scene='bus' -> /opt/airflow/output/images/long_3540.jpg
[2026-09-20T12:22:59.088+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:22:59,088 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3542.mp3
[2026-09-20T12:22:59.439+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:22:59,439 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3542.mp3
[2026-09-20T12:23:00.005+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:23:00,005 | INFO     | media.image_downloader | Downloaded background image for scene='museum' -> /opt/airflow/output/images/long_3542.jpg
[2026-09-20T12:23:03.627+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:23:03,627 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3550.mp3
[2026-09-20T12:23:03.941+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:23:03,941 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3550.mp3
