[2026-09-20T12:02:52.793+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-09-20T12:02:52.823+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_2 scheduled__2026-09-19T12:00:00+00:00 [queued]>
[2026-09-20T12:02:52.831+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_2 scheduled__2026-09-19T12:00:00+00:00 [queued]>
[2026-09-20T12:02:52.832+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 3
[2026-09-20T12:02:52.843+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): build_long_video_2> on 2026-09-19 12:00:00+00:00
[2026-09-20T12:02:52.847+0000] {standard_task_runner.py:64} INFO - Started process 69188 to run task
[2026-09-20T12:02:52.849+0000] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'youtube_english_video_pipeline', 'build_long_video_2', 'scheduled__2026-09-19T12:00:00+00:00', '--job-id', '1370', '--raw', '--subdir', 'DAGS_FOLDER/youtube_pipeline.py', '--cfg-path', '/tmp/tmpzgmjk4ck']
[2026-09-20T12:02:52.851+0000] {standard_task_runner.py:91} INFO - Job 1370: Subtask build_long_video_2
[2026-09-20T12:02:52.895+0000] {task_command.py:426} INFO - Running <TaskInstance: youtube_english_video_pipeline.build_long_video_2 scheduled__2026-09-19T12:00:00+00:00 [running]> on host 73b18333cdfe
[2026-09-20T12:02:53.078+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='taky' AIRFLOW_CTX_DAG_ID='youtube_english_video_pipeline' AIRFLOW_CTX_TASK_ID='build_long_video_2' AIRFLOW_CTX_EXECUTION_DATE='2026-09-19T12:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-09-19T12:00:00+00:00'
[2026-09-20T12:02:53.079+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-09-20T12:02:53.720+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:02:53,720 | INFO     | planner.video_planner | Planned LONG video: topic='Business English', phrases=17
[2026-09-20T12:02:53.957+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:02:53,957 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3360.mp3
[2026-09-20T12:02:54.264+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:02:54,264 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3360.mp3
[2026-09-20T12:02:54.635+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:02:54,635 | INFO     | media.image_downloader | Downloaded background image for scene='office' -> /opt/airflow/output/images/long_3360.jpg
[2026-09-20T12:02:58.457+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:02:58,457 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3363.mp3
[2026-09-20T12:02:58.776+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:02:58,776 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3363.mp3
[2026-09-20T12:02:59.220+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:02:59,220 | INFO     | media.image_downloader | Downloaded background image for scene='office' -> /opt/airflow/output/images/long_3363.jpg
[2026-09-20T12:03:02.463+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:03:02,462 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3364.mp3
[2026-09-20T12:03:02.796+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:03:02,796 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3364.mp3
[2026-09-20T12:03:03.354+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:03:03,354 | INFO     | media.image_downloader | Downloaded background image for scene='office' -> /opt/airflow/output/images/long_3364.jpg
[2026-09-20T12:03:06.618+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:03:06,618 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3373.mp3
[2026-09-20T12:03:07.016+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:03:07,016 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3373.mp3
[2026-09-20T12:03:07.487+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:03:07,486 | INFO     | media.image_downloader | Downloaded background image for scene='office' -> /opt/airflow/output/images/long_3373.jpg
[2026-09-20T12:03:10.754+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:03:10,754 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3382.mp3
[2026-09-20T12:03:11.074+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:03:11,074 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3382.mp3
[2026-09-20T12:03:11.548+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:03:11,548 | INFO     | media.image_downloader | Downloaded background image for scene='office' -> /opt/airflow/output/images/long_3382.jpg
