[2026-09-20T12:05:03.092+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-09-20T12:05:03.119+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_3 scheduled__2026-09-19T12:00:00+00:00 [queued]>
[2026-09-20T12:05:03.125+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_3 scheduled__2026-09-19T12:00:00+00:00 [queued]>
[2026-09-20T12:05:03.125+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 3
[2026-09-20T12:05:03.135+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): build_long_video_3> on 2026-09-19 12:00:00+00:00
[2026-09-20T12:05:03.140+0000] {standard_task_runner.py:64} INFO - Started process 72135 to run task
[2026-09-20T12:05:03.142+0000] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'youtube_english_video_pipeline', 'build_long_video_3', 'scheduled__2026-09-19T12:00:00+00:00', '--job-id', '1375', '--raw', '--subdir', 'DAGS_FOLDER/youtube_pipeline.py', '--cfg-path', '/tmp/tmp5idrkiz8']
[2026-09-20T12:05:03.144+0000] {standard_task_runner.py:91} INFO - Job 1375: Subtask build_long_video_3
[2026-09-20T12:05:03.184+0000] {task_command.py:426} INFO - Running <TaskInstance: youtube_english_video_pipeline.build_long_video_3 scheduled__2026-09-19T12:00:00+00:00 [running]> on host 73b18333cdfe
[2026-09-20T12:05:03.346+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='taky' AIRFLOW_CTX_DAG_ID='youtube_english_video_pipeline' AIRFLOW_CTX_TASK_ID='build_long_video_3' AIRFLOW_CTX_EXECUTION_DATE='2026-09-19T12:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-09-19T12:00:00+00:00'
[2026-09-20T12:05:03.347+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-09-20T12:05:03.814+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:05:03,814 | INFO     | planner.video_planner | Only 14 phrases for topic='Small Talk', topping up without topic filter
[2026-09-20T12:05:03.819+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:05:03,819 | INFO     | planner.video_planner | Planned LONG video: topic='Mixed English Expressions', phrases=20
[2026-09-20T12:05:04.060+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:05:04,060 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3329.mp3
[2026-09-20T12:05:04.278+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:05:04,278 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3329.mp3
[2026-09-20T12:05:04.811+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:05:04,811 | INFO     | media.image_downloader | Downloaded background image for scene='cinema' -> /opt/airflow/output/images/long_3329.jpg
[2026-09-20T12:05:08.369+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:05:08,369 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3315.mp3
[2026-09-20T12:05:08.738+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:05:08,737 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3315.mp3
[2026-09-20T12:05:09.168+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:05:09,167 | INFO     | media.image_downloader | Downloaded background image for scene='office' -> /opt/airflow/output/images/long_3315.jpg
[2026-09-20T12:05:12.457+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:05:12,457 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3328.mp3
[2026-09-20T12:05:12.688+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:05:12,688 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3328.mp3
[2026-09-20T12:05:13.288+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:05:13,288 | INFO     | media.image_downloader | Downloaded background image for scene='cafe' -> /opt/airflow/output/images/long_3328.jpg
[2026-09-20T12:05:17.398+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:05:17,397 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3347.mp3
