[2026-09-20T12:07:38.937+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-09-20T12:07:38.976+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_4 scheduled__2026-09-19T12:00:00+00:00 [queued]>
[2026-09-20T12:07:38.989+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_4 scheduled__2026-09-19T12:00:00+00:00 [queued]>
[2026-09-20T12:07:38.990+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 3
[2026-09-20T12:07:39.001+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): build_long_video_4> on 2026-09-19 12:00:00+00:00
[2026-09-20T12:07:39.005+0000] {standard_task_runner.py:64} INFO - Started process 75546 to run task
[2026-09-20T12:07:39.007+0000] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'youtube_english_video_pipeline', 'build_long_video_4', 'scheduled__2026-09-19T12:00:00+00:00', '--job-id', '1380', '--raw', '--subdir', 'DAGS_FOLDER/youtube_pipeline.py', '--cfg-path', '/tmp/tmp48y1bygn']
[2026-09-20T12:07:39.009+0000] {standard_task_runner.py:91} INFO - Job 1380: Subtask build_long_video_4
[2026-09-20T12:07:39.055+0000] {task_command.py:426} INFO - Running <TaskInstance: youtube_english_video_pipeline.build_long_video_4 scheduled__2026-09-19T12:00:00+00:00 [running]> on host 73b18333cdfe
[2026-09-20T12:07:39.236+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='taky' AIRFLOW_CTX_DAG_ID='youtube_english_video_pipeline' AIRFLOW_CTX_TASK_ID='build_long_video_4' AIRFLOW_CTX_EXECUTION_DATE='2026-09-19T12:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-09-19T12:00:00+00:00'
[2026-09-20T12:07:39.237+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-09-20T12:07:39.713+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:07:39,713 | INFO     | planner.video_planner | Only 12 phrases for topic='Restaurant English', topping up without topic filter
[2026-09-20T12:07:39.718+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:07:39,718 | INFO     | planner.video_planner | Planned LONG video: topic='Mixed English Expressions', phrases=20
[2026-09-20T12:07:39.937+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:07:39,937 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3362.mp3
[2026-09-20T12:07:40.157+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:07:40,157 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3362.mp3
[2026-09-20T12:07:40.715+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:07:40,715 | INFO     | media.image_downloader | Downloaded background image for scene='cafe' -> /opt/airflow/output/images/long_3362.jpg
[2026-09-20T12:07:44.164+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:07:44,164 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3365.mp3
[2026-09-20T12:07:44.468+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:07:44,468 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3365.mp3
[2026-09-20T12:07:45.045+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:07:45,045 | INFO     | media.image_downloader | Downloaded background image for scene='cafe' -> /opt/airflow/output/images/long_3365.jpg
[2026-09-20T12:07:48.750+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:07:48,750 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3368.mp3
[2026-09-20T12:07:49.062+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:07:49,062 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3368.mp3
[2026-09-20T12:07:49.532+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:07:49,532 | INFO     | media.image_downloader | Downloaded background image for scene='shopping' -> /opt/airflow/output/images/long_3368.jpg
[2026-09-20T12:07:52.934+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:07:52,933 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3369.mp3
[2026-09-20T12:07:53.225+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:07:53,225 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3369.mp3
[2026-09-20T12:07:53.649+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:07:53,649 | INFO     | media.image_downloader | Downloaded background image for scene='store' -> /opt/airflow/output/images/long_3369.jpg
[2026-09-20T12:07:57.325+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:07:57,325 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3370.mp3
[2026-09-20T12:07:57.606+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:07:57,606 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3370.mp3
[2026-09-20T12:07:58.145+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:07:58,145 | INFO     | media.image_downloader | Downloaded background image for scene='airport' -> /opt/airflow/output/images/long_3370.jpg
[2026-09-20T12:08:01.336+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:08:01,336 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3378.mp3
[2026-09-20T12:08:01.653+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:08:01,652 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3378.mp3
[2026-09-20T12:08:02.092+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:08:02,092 | INFO     | media.image_downloader | Downloaded background image for scene='restaurant' -> /opt/airflow/output/images/long_3378.jpg
[2026-09-20T12:08:05.629+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:08:05,629 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3379.mp3
[2026-09-20T12:08:05.949+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:08:05,949 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3379.mp3
