[2026-09-20T12:10:36.609+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-09-20T12:10:36.644+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_5 scheduled__2026-09-19T12:00:00+00:00 [queued]>
[2026-09-20T12:10:36.654+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_5 scheduled__2026-09-19T12:00:00+00:00 [queued]>
[2026-09-20T12:10:36.662+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 3
[2026-09-20T12:10:36.683+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): build_long_video_5> on 2026-09-19 12:00:00+00:00
[2026-09-20T12:10:36.691+0000] {standard_task_runner.py:64} INFO - Started process 78977 to run task
[2026-09-20T12:10:36.698+0000] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'youtube_english_video_pipeline', 'build_long_video_5', 'scheduled__2026-09-19T12:00:00+00:00', '--job-id', '1385', '--raw', '--subdir', 'DAGS_FOLDER/youtube_pipeline.py', '--cfg-path', '/tmp/tmpvr_g6o9w']
[2026-09-20T12:10:36.704+0000] {standard_task_runner.py:91} INFO - Job 1385: Subtask build_long_video_5
[2026-09-20T12:10:36.779+0000] {task_command.py:426} INFO - Running <TaskInstance: youtube_english_video_pipeline.build_long_video_5 scheduled__2026-09-19T12:00:00+00:00 [running]> on host 73b18333cdfe
[2026-09-20T12:10:36.988+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='taky' AIRFLOW_CTX_DAG_ID='youtube_english_video_pipeline' AIRFLOW_CTX_TASK_ID='build_long_video_5' AIRFLOW_CTX_EXECUTION_DATE='2026-09-19T12:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-09-19T12:00:00+00:00'
[2026-09-20T12:10:36.989+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-09-20T12:10:37.533+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:10:37,533 | INFO     | planner.video_planner | Planned LONG video: topic='Restaurant English', phrases=20
[2026-09-20T12:10:37.830+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:10:37,829 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3426.mp3
[2026-09-20T12:10:38.144+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:10:38,144 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3426.mp3
[2026-09-20T12:10:38.594+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:10:38,594 | INFO     | media.image_downloader | Downloaded background image for scene='restaurant' -> /opt/airflow/output/images/long_3426.jpg
[2026-09-20T12:10:41.984+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:10:41,984 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3427.mp3
[2026-09-20T12:10:42.274+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:10:42,274 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3427.mp3
[2026-09-20T12:10:42.730+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:10:42,730 | INFO     | media.image_downloader | Downloaded background image for scene='restaurant' -> /opt/airflow/output/images/long_3427.jpg
[2026-09-20T12:10:46.589+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:10:46,589 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3437.mp3
[2026-09-20T12:10:46.923+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:10:46,923 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3437.mp3
[2026-09-20T12:10:47.407+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:10:47,407 | INFO     | media.image_downloader | Downloaded background image for scene='restaurant' -> /opt/airflow/output/images/long_3437.jpg
[2026-09-20T12:10:50.843+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:10:50,842 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3418.mp3
[2026-09-20T12:10:51.250+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:10:51,250 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3418.mp3
