[2026-09-20T12:13:05.542+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-09-20T12:13:05.566+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_6 scheduled__2026-09-19T12:00:00+00:00 [queued]>
[2026-09-20T12:13:05.572+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_6 scheduled__2026-09-19T12:00:00+00:00 [queued]>
[2026-09-20T12:13:05.572+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 3
[2026-09-20T12:13:05.581+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): build_long_video_6> on 2026-09-19 12:00:00+00:00
[2026-09-20T12:13:05.584+0000] {standard_task_runner.py:64} INFO - Started process 82383 to run task
[2026-09-20T12:13:05.586+0000] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'youtube_english_video_pipeline', 'build_long_video_6', 'scheduled__2026-09-19T12:00:00+00:00', '--job-id', '1390', '--raw', '--subdir', 'DAGS_FOLDER/youtube_pipeline.py', '--cfg-path', '/tmp/tmp6cavat9c']
[2026-09-20T12:13:05.588+0000] {standard_task_runner.py:91} INFO - Job 1390: Subtask build_long_video_6
[2026-09-20T12:13:05.624+0000] {task_command.py:426} INFO - Running <TaskInstance: youtube_english_video_pipeline.build_long_video_6 scheduled__2026-09-19T12:00:00+00:00 [running]> on host 73b18333cdfe
[2026-09-20T12:13:05.769+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='taky' AIRFLOW_CTX_DAG_ID='youtube_english_video_pipeline' AIRFLOW_CTX_TASK_ID='build_long_video_6' AIRFLOW_CTX_EXECUTION_DATE='2026-09-19T12:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-09-19T12:00:00+00:00'
[2026-09-20T12:13:05.771+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-09-20T12:13:06.136+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:13:06,136 | INFO     | planner.video_planner | Planned LONG video: topic='Travel English', phrases=20
[2026-09-20T12:13:06.371+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:13:06,371 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3357.mp3
[2026-09-20T12:13:06.843+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:13:06,843 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3357.mp3
[2026-09-20T12:13:07.295+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:13:07,295 | INFO     | media.image_downloader | Downloaded background image for scene='hotel' -> /opt/airflow/output/images/long_3357.jpg
[2026-09-20T12:13:11.197+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:13:11,197 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3455.mp3
[2026-09-20T12:13:11.436+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:13:11,436 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3455.mp3
[2026-09-20T12:13:11.910+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:13:11,910 | INFO     | media.image_downloader | Downloaded background image for scene='city' -> /opt/airflow/output/images/long_3455.jpg
[2026-09-20T12:13:16.088+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:13:16,088 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3459.mp3
[2026-09-20T12:13:16.358+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:13:16,358 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3459.mp3
[2026-09-20T12:13:16.895+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:13:16,895 | INFO     | media.image_downloader | Downloaded background image for scene='hotel' -> /opt/airflow/output/images/long_3459.jpg
[2026-09-20T12:13:20.421+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:13:20,421 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3462.mp3
[2026-09-20T12:13:20.690+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:13:20,690 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3462.mp3
