[2026-09-20T12:15:41.780+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-09-20T12:15:41.803+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_7 scheduled__2026-09-19T12:00:00+00:00 [queued]>
[2026-09-20T12:15:41.809+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_7 scheduled__2026-09-19T12:00:00+00:00 [queued]>
[2026-09-20T12:15:41.810+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 3
[2026-09-20T12:15:41.818+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): build_long_video_7> on 2026-09-19 12:00:00+00:00
[2026-09-20T12:15:41.822+0000] {standard_task_runner.py:64} INFO - Started process 85790 to run task
[2026-09-20T12:15:41.824+0000] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'youtube_english_video_pipeline', 'build_long_video_7', 'scheduled__2026-09-19T12:00:00+00:00', '--job-id', '1395', '--raw', '--subdir', 'DAGS_FOLDER/youtube_pipeline.py', '--cfg-path', '/tmp/tmp6mz_pqy8']
[2026-09-20T12:15:41.826+0000] {standard_task_runner.py:91} INFO - Job 1395: Subtask build_long_video_7
[2026-09-20T12:15:41.863+0000] {task_command.py:426} INFO - Running <TaskInstance: youtube_english_video_pipeline.build_long_video_7 scheduled__2026-09-19T12:00:00+00:00 [running]> on host 73b18333cdfe
[2026-09-20T12:15:42.064+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='taky' AIRFLOW_CTX_DAG_ID='youtube_english_video_pipeline' AIRFLOW_CTX_TASK_ID='build_long_video_7' AIRFLOW_CTX_EXECUTION_DATE='2026-09-19T12:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-09-19T12:00:00+00:00'
[2026-09-20T12:15:42.065+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-09-20T12:15:42.379+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:15:42,379 | INFO     | planner.video_planner | Planned LONG video: topic='Shopping English', phrases=20
[2026-09-20T12:15:42.638+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:15:42,638 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3421.mp3
[2026-09-20T12:15:42.954+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:15:42,954 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3421.mp3
[2026-09-20T12:15:43.472+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:15:43,472 | INFO     | media.image_downloader | Downloaded background image for scene='store' -> /opt/airflow/output/images/long_3421.jpg
[2026-09-20T12:15:47.022+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:15:47,022 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3425.mp3
[2026-09-20T12:15:47.215+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:15:47,215 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3425.mp3
[2026-09-20T12:15:47.717+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:15:47,717 | INFO     | media.image_downloader | Downloaded background image for scene='shopping' -> /opt/airflow/output/images/long_3425.jpg
[2026-09-20T12:15:50.992+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:15:50,992 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3350.mp3
[2026-09-20T12:15:51.195+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:15:51,195 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3350.mp3
[2026-09-20T12:15:51.630+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:15:51,630 | INFO     | media.image_downloader | Downloaded background image for scene='shopping' -> /opt/airflow/output/images/long_3350.jpg
[2026-09-20T12:15:54.723+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:15:54,723 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3356.mp3
[2026-09-20T12:15:55.069+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:15:55,069 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3356.mp3
