[2026-09-20T12:20:05.727+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-09-20T12:20:05.762+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_9 scheduled__2026-09-19T12:00:00+00:00 [queued]>
[2026-09-20T12:20:05.769+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_9 scheduled__2026-09-19T12:00:00+00:00 [queued]>
[2026-09-20T12:20:05.770+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 3
[2026-09-20T12:20:05.780+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): build_long_video_9> on 2026-09-19 12:00:00+00:00
[2026-09-20T12:20:05.784+0000] {standard_task_runner.py:64} INFO - Started process 91841 to run task
[2026-09-20T12:20:05.786+0000] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'youtube_english_video_pipeline', 'build_long_video_9', 'scheduled__2026-09-19T12:00:00+00:00', '--job-id', '1405', '--raw', '--subdir', 'DAGS_FOLDER/youtube_pipeline.py', '--cfg-path', '/tmp/tmpbkf1ed3x']
[2026-09-20T12:20:05.788+0000] {standard_task_runner.py:91} INFO - Job 1405: Subtask build_long_video_9
[2026-09-20T12:20:05.835+0000] {task_command.py:426} INFO - Running <TaskInstance: youtube_english_video_pipeline.build_long_video_9 scheduled__2026-09-19T12:00:00+00:00 [running]> on host 73b18333cdfe
[2026-09-20T12:20:06.003+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='taky' AIRFLOW_CTX_DAG_ID='youtube_english_video_pipeline' AIRFLOW_CTX_TASK_ID='build_long_video_9' AIRFLOW_CTX_EXECUTION_DATE='2026-09-19T12:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-09-19T12:00:00+00:00'
[2026-09-20T12:20:06.004+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-09-20T12:20:07.298+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:20:07,298 | INFO     | planner.video_planner | Only 11 phrases for topic='Business English', topping up without topic filter
[2026-09-20T12:20:07.306+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:20:07,306 | INFO     | planner.video_planner | Planned LONG video: topic='Mixed English Expressions', phrases=20
[2026-09-20T12:20:07.511+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:20:07,511 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3351.mp3
[2026-09-20T12:20:07.742+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:20:07,742 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3351.mp3
[2026-09-20T12:20:08.163+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:20:08,163 | INFO     | media.image_downloader | Downloaded background image for scene='classroom' -> /opt/airflow/output/images/long_3351.jpg
[2026-09-20T12:20:11.703+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:20:11,703 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3458.mp3
[2026-09-20T12:20:12.041+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:20:12,041 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3458.mp3
[2026-09-20T12:20:12.769+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:20:12,769 | INFO     | media.image_downloader | Downloaded background image for scene='conversation' -> /opt/airflow/output/images/long_3458.jpg
[2026-09-20T12:20:15.733+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:20:15,733 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3486.mp3
[2026-09-20T12:20:16.119+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:20:16,119 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3486.mp3
[2026-09-20T12:20:16.779+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:20:16,779 | INFO     | media.image_downloader | Downloaded background image for scene='office' -> /opt/airflow/output/images/long_3486.jpg
[2026-09-20T12:20:19.858+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:20:19,858 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3463.mp3
[2026-09-20T12:20:20.097+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:20:20,097 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3463.mp3
[2026-09-20T12:20:20.940+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:20:20,940 | INFO     | media.image_downloader | Downloaded background image for scene='conversation' -> /opt/airflow/output/images/long_3463.jpg
[2026-09-20T12:20:23.725+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:20:23,725 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3464.mp3
[2026-09-20T12:20:24.010+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:20:24,010 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3464.mp3
[2026-09-20T12:20:24.670+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:20:24,669 | INFO     | media.image_downloader | Downloaded background image for scene='cafe' -> /opt/airflow/output/images/long_3464.jpg
[2026-09-20T12:20:28.161+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:20:28,161 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3466.mp3
