[2026-09-22T00:44:19.838+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-09-22T00:44:19.881+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_10 scheduled__2026-09-20T12:00:00+00:00 [queued]>
[2026-09-22T00:44:19.897+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_10 scheduled__2026-09-20T12:00:00+00:00 [queued]>
[2026-09-22T00:44:19.901+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 3
[2026-09-22T00:44:19.917+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): build_long_video_10> on 2026-09-20 12:00:00+00:00
[2026-09-22T00:44:19.922+0000] {standard_task_runner.py:64} INFO - Started process 31190 to run task
[2026-09-22T00:44:19.926+0000] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'youtube_english_video_pipeline', 'build_long_video_10', 'scheduled__2026-09-20T12:00:00+00:00', '--job-id', '1510', '--raw', '--subdir', 'DAGS_FOLDER/youtube_pipeline.py', '--cfg-path', '/tmp/tmp4kxx31_u']
[2026-09-22T00:44:19.928+0000] {standard_task_runner.py:91} INFO - Job 1510: Subtask build_long_video_10
[2026-09-22T00:44:19.988+0000] {task_command.py:426} INFO - Running <TaskInstance: youtube_english_video_pipeline.build_long_video_10 scheduled__2026-09-20T12:00:00+00:00 [running]> on host 73b18333cdfe
[2026-09-22T00:44:20.239+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='taky' AIRFLOW_CTX_DAG_ID='youtube_english_video_pipeline' AIRFLOW_CTX_TASK_ID='build_long_video_10' AIRFLOW_CTX_EXECUTION_DATE='2026-09-20T12:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-09-20T12:00:00+00:00'
[2026-09-22T00:44:20.240+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-09-22T00:44:21.368+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:44:21,368 | INFO     | planner.video_planner | Planned LONG video: topic='Small Talk', phrases=17
[2026-09-22T00:44:21.654+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:44:21,654 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3768.mp3
[2026-09-22T00:44:22.089+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:44:22,088 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3768.mp3
[2026-09-22T00:44:22.722+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:44:22,722 | INFO     | media.image_downloader | Downloaded background image for scene='greeting' -> /opt/airflow/output/images/long_3768.jpg
[2026-09-22T00:44:26.837+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:44:26,836 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3775.mp3
[2026-09-22T00:44:27.190+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:44:27,190 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3775.mp3
[2026-09-22T00:44:27.860+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:44:27,859 | INFO     | media.image_downloader | Downloaded background image for scene='cafe' -> /opt/airflow/output/images/long_3775.jpg
[2026-09-22T00:44:32.988+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:44:32,987 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3781.mp3
[2026-09-22T00:44:33.393+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:44:33,392 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3781.mp3
[2026-09-22T00:44:33.978+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:44:33,977 | INFO     | media.image_downloader | Downloaded background image for scene='phone' -> /opt/airflow/output/images/long_3781.jpg
[2026-09-22T00:44:38.561+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:44:38,560 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3787.mp3
[2026-09-22T00:44:38.877+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:44:38,877 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3787.mp3
