[2026-09-22T00:15:07.707+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-09-22T00:15:07.755+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_2 scheduled__2026-09-20T12:00:00+00:00 [queued]>
[2026-09-22T00:15:07.774+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_2 scheduled__2026-09-20T12:00:00+00:00 [queued]>
[2026-09-22T00:15:07.775+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 3
[2026-09-22T00:15:07.799+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): build_long_video_2> on 2026-09-20 12:00:00+00:00
[2026-09-22T00:15:07.805+0000] {standard_task_runner.py:64} INFO - Started process 4553 to run task
[2026-09-22T00:15:07.812+0000] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'youtube_english_video_pipeline', 'build_long_video_2', 'scheduled__2026-09-20T12:00:00+00:00', '--job-id', '1461', '--raw', '--subdir', 'DAGS_FOLDER/youtube_pipeline.py', '--cfg-path', '/tmp/tmpffl2s68i']
[2026-09-22T00:15:07.816+0000] {standard_task_runner.py:91} INFO - Job 1461: Subtask build_long_video_2
[2026-09-22T00:15:07.926+0000] {task_command.py:426} INFO - Running <TaskInstance: youtube_english_video_pipeline.build_long_video_2 scheduled__2026-09-20T12:00:00+00:00 [running]> on host 73b18333cdfe
[2026-09-22T00:15:08.214+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='taky' AIRFLOW_CTX_DAG_ID='youtube_english_video_pipeline' AIRFLOW_CTX_TASK_ID='build_long_video_2' AIRFLOW_CTX_EXECUTION_DATE='2026-09-20T12:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-09-20T12:00:00+00:00'
[2026-09-22T00:15:08.216+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-09-22T00:15:09.727+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:15:09,726 | INFO     | planner.video_planner | Planned LONG video: topic='Travel English', phrases=20
[2026-09-22T00:15:10.148+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:15:10,147 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3614.mp3
[2026-09-22T00:15:10.718+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:15:10,718 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3614.mp3
[2026-09-22T00:15:11.285+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:15:11,284 | INFO     | media.image_downloader | Downloaded background image for scene='airport' -> /opt/airflow/output/images/long_3614.jpg
[2026-09-22T00:15:16.719+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:15:16,718 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3617.mp3
[2026-09-22T00:15:17.141+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:15:17,141 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3617.mp3
[2026-09-22T00:15:17.694+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:15:17,694 | INFO     | media.image_downloader | Downloaded background image for scene='city' -> /opt/airflow/output/images/long_3617.jpg
[2026-09-22T00:15:23.198+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:15:23,198 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3630.mp3
[2026-09-22T00:15:23.730+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:15:23,730 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3630.mp3
[2026-09-22T00:15:24.381+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:15:24,380 | INFO     | media.image_downloader | Downloaded background image for scene='hotel' -> /opt/airflow/output/images/long_3630.jpg
[2026-09-22T00:15:28.631+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:15:28,631 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3631.mp3
[2026-09-22T00:15:29.028+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:15:29,028 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3631.mp3
