[2026-09-22T00:24:25.228+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-09-22T00:24:25.297+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_3 scheduled__2026-09-20T12:00:00+00:00 [queued]>
[2026-09-22T00:24:25.307+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_3 scheduled__2026-09-20T12:00:00+00:00 [queued]>
[2026-09-22T00:24:25.309+0000] {taskinstance.py:2306} INFO - Starting attempt 2 of 3
[2026-09-22T00:24:25.323+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): build_long_video_3> on 2026-09-20 12:00:00+00:00
[2026-09-22T00:24:25.328+0000] {standard_task_runner.py:64} INFO - Started process 9390 to run task
[2026-09-22T00:24:25.332+0000] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'youtube_english_video_pipeline', 'build_long_video_3', 'scheduled__2026-09-20T12:00:00+00:00', '--job-id', '1468', '--raw', '--subdir', 'DAGS_FOLDER/youtube_pipeline.py', '--cfg-path', '/tmp/tmp4ldmgawy']
[2026-09-22T00:24:25.334+0000] {standard_task_runner.py:91} INFO - Job 1468: Subtask build_long_video_3
[2026-09-22T00:24:25.397+0000] {task_command.py:426} INFO - Running <TaskInstance: youtube_english_video_pipeline.build_long_video_3 scheduled__2026-09-20T12:00:00+00:00 [running]> on host 73b18333cdfe
[2026-09-22T00:24:25.698+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='taky' AIRFLOW_CTX_DAG_ID='youtube_english_video_pipeline' AIRFLOW_CTX_TASK_ID='build_long_video_3' AIRFLOW_CTX_EXECUTION_DATE='2026-09-20T12:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='2' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-09-20T12:00:00+00:00'
[2026-09-22T00:24:25.699+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-09-22T00:24:26.863+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:24:26,863 | INFO     | planner.video_planner | Planned LONG video: topic='Business English', phrases=18
[2026-09-22T00:24:27.172+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:24:27,172 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3643.mp3
[2026-09-22T00:24:27.431+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:24:27,431 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3643.mp3
[2026-09-22T00:24:27.929+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:24:27,929 | INFO     | media.image_downloader | Downloaded background image for scene='office' -> /opt/airflow/output/images/long_3643.jpg
[2026-09-22T00:24:32.429+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:24:32,429 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3645.mp3
[2026-09-22T00:24:32.786+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:24:32,786 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3645.mp3
[2026-09-22T00:24:33.310+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:24:33,310 | INFO     | media.image_downloader | Downloaded background image for scene='office' -> /opt/airflow/output/images/long_3645.jpg
[2026-09-22T00:24:37.528+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:24:37,528 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3667.mp3
[2026-09-22T00:24:37.785+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:24:37,785 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3667.mp3
[2026-09-22T00:24:38.316+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:24:38,316 | INFO     | media.image_downloader | Downloaded background image for scene='office' -> /opt/airflow/output/images/long_3667.jpg
[2026-09-22T00:24:43.076+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:24:43,076 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3670.mp3
[2026-09-22T00:24:43.357+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:24:43,357 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3670.mp3
