[2026-09-22T00:27:10.169+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-09-22T00:27:10.254+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_4 scheduled__2026-09-20T12:00:00+00:00 [queued]>
[2026-09-22T00:27:10.276+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_4 scheduled__2026-09-20T12:00:00+00:00 [queued]>
[2026-09-22T00:27:10.284+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 3
[2026-09-22T00:27:10.310+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): build_long_video_4> on 2026-09-20 12:00:00+00:00
[2026-09-22T00:27:10.318+0000] {standard_task_runner.py:64} INFO - Started process 12495 to run task
[2026-09-22T00:27:10.324+0000] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'youtube_english_video_pipeline', 'build_long_video_4', 'scheduled__2026-09-20T12:00:00+00:00', '--job-id', '1474', '--raw', '--subdir', 'DAGS_FOLDER/youtube_pipeline.py', '--cfg-path', '/tmp/tmpmzy4a687']
[2026-09-22T00:27:10.328+0000] {standard_task_runner.py:91} INFO - Job 1474: Subtask build_long_video_4
[2026-09-22T00:27:10.433+0000] {task_command.py:426} INFO - Running <TaskInstance: youtube_english_video_pipeline.build_long_video_4 scheduled__2026-09-20T12:00:00+00:00 [running]> on host 73b18333cdfe
[2026-09-22T00:27:10.756+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='taky' AIRFLOW_CTX_DAG_ID='youtube_english_video_pipeline' AIRFLOW_CTX_TASK_ID='build_long_video_4' AIRFLOW_CTX_EXECUTION_DATE='2026-09-20T12:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-09-20T12:00:00+00:00'
[2026-09-22T00:27:10.759+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-09-22T00:27:12.119+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:27:12,119 | INFO     | planner.video_planner | Planned LONG video: topic='Small Talk', phrases=17
[2026-09-22T00:27:12.420+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:27:12,420 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3646.mp3
[2026-09-22T00:27:12.708+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:27:12,707 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3646.mp3
[2026-09-22T00:27:13.547+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:27:13,546 | INFO     | media.image_downloader | Downloaded background image for scene='classroom' -> /opt/airflow/output/images/long_3646.jpg
[2026-09-22T00:27:17.858+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:27:17,858 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3648.mp3
[2026-09-22T00:27:18.181+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:27:18,181 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3648.mp3
[2026-09-22T00:27:18.846+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:27:18,846 | INFO     | media.image_downloader | Downloaded background image for scene='street' -> /opt/airflow/output/images/long_3648.jpg
[2026-09-22T00:27:22.879+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:27:22,879 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3676.mp3
[2026-09-22T00:27:23.172+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:27:23,172 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3676.mp3
[2026-09-22T00:27:24.082+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:27:24,082 | INFO     | media.image_downloader | Downloaded background image for scene='party' -> /opt/airflow/output/images/long_3676.jpg
[2026-09-22T00:27:28.152+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:27:28,152 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3680.mp3
[2026-09-22T00:27:28.435+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:27:28,435 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3680.mp3
[2026-09-22T00:27:29.093+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:27:29,093 | INFO     | media.image_downloader | Downloaded background image for scene='meeting' -> /opt/airflow/output/images/long_3680.jpg
[2026-09-22T00:27:33.283+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:27:33,283 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3685.mp3
[2026-09-22T00:27:33.708+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:27:33,707 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3685.mp3
[2026-09-22T00:27:34.644+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:27:34,644 | INFO     | media.image_downloader | Downloaded background image for scene='cafe' -> /opt/airflow/output/images/long_3685.jpg
[2026-09-22T00:27:40.244+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:27:40,244 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3694.mp3
[2026-09-22T00:27:40.633+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:27:40,633 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3694.mp3
[2026-09-22T00:27:41.120+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:27:41,119 | INFO     | media.image_downloader | Downloaded background image for scene='commuting' -> /opt/airflow/output/images/long_3694.jpg
[2026-09-22T00:27:45.923+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:27:45,923 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3699.mp3
[2026-09-22T00:27:46.396+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:27:46,396 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3699.mp3
[2026-09-22T00:27:46.912+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:27:46,912 | INFO     | media.image_downloader | Downloaded background image for scene='friends' -> /opt/airflow/output/images/long_3699.jpg
[2026-09-22T00:27:51.040+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:27:51,040 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3700.mp3
