[2026-09-22T00:32:15.574+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-09-22T00:32:15.651+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_6 scheduled__2026-09-20T12:00:00+00:00 [queued]>
[2026-09-22T00:32:15.673+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_6 scheduled__2026-09-20T12:00:00+00:00 [queued]>
[2026-09-22T00:32:15.676+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 3
[2026-09-22T00:32:15.702+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): build_long_video_6> on 2026-09-20 12:00:00+00:00
[2026-09-22T00:32:15.709+0000] {standard_task_runner.py:64} INFO - Started process 18101 to run task
[2026-09-22T00:32:15.715+0000] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'youtube_english_video_pipeline', 'build_long_video_6', 'scheduled__2026-09-20T12:00:00+00:00', '--job-id', '1486', '--raw', '--subdir', 'DAGS_FOLDER/youtube_pipeline.py', '--cfg-path', '/tmp/tmptgtdddyb']
[2026-09-22T00:32:15.721+0000] {standard_task_runner.py:91} INFO - Job 1486: Subtask build_long_video_6
[2026-09-22T00:32:15.843+0000] {task_command.py:426} INFO - Running <TaskInstance: youtube_english_video_pipeline.build_long_video_6 scheduled__2026-09-20T12:00:00+00:00 [running]> on host 73b18333cdfe
[2026-09-22T00:32:16.153+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='taky' AIRFLOW_CTX_DAG_ID='youtube_english_video_pipeline' AIRFLOW_CTX_TASK_ID='build_long_video_6' AIRFLOW_CTX_EXECUTION_DATE='2026-09-20T12:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-09-20T12:00:00+00:00'
[2026-09-22T00:32:16.154+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-09-22T00:32:17.301+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:32:17,300 | INFO     | planner.video_planner | Top topic 'Restaurant English' only has 14 unused phrases (need 15). Generating 6 more phrases for this topic instead of mixing topics...
[2026-09-22T00:32:17.305+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:32:17,305 | INFO     | generators.phrase_generator | Requesting 6 phrases from Gemini for topic='Restaurant English'...
[2026-09-22T00:32:19.281+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:32:19,281 | INFO     | generators.phrase_generator | Parsed 6 valid phrases out of 6 returned
[2026-09-22T00:32:19.302+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:32:19,302 | INFO     | generators.phrase_generator | Inserted 6 new phrases for topic='Restaurant English' into the database
[2026-09-22T00:32:19.327+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:32:19,326 | INFO     | planner.video_planner | Planned LONG video: topic='Restaurant English', phrases=20
[2026-09-22T00:32:19.924+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:32:19,923 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3658.mp3
[2026-09-22T00:32:20.453+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:32:20,452 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3658.mp3
[2026-09-22T00:32:20.936+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:32:20,936 | INFO     | media.image_downloader | Downloaded background image for scene='restaurant' -> /opt/airflow/output/images/long_3658.jpg
[2026-09-22T00:32:25.489+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:32:25,488 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3660.mp3
[2026-09-22T00:32:25.868+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:32:25,868 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3660.mp3
[2026-09-22T00:32:26.456+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:32:26,456 | INFO     | media.image_downloader | Downloaded background image for scene='restaurant' -> /opt/airflow/output/images/long_3660.jpg
[2026-09-22T00:32:30.790+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:32:30,789 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3662.mp3
[2026-09-22T00:32:31.097+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:32:31,097 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3662.mp3
[2026-09-22T00:32:31.673+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:32:31,673 | INFO     | media.image_downloader | Downloaded background image for scene='restaurant' -> /opt/airflow/output/images/long_3662.jpg
[2026-09-22T00:32:36.003+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:32:36,003 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3671.mp3
[2026-09-22T00:32:36.413+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:32:36,413 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3671.mp3
[2026-09-22T00:32:37.034+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:32:37,034 | INFO     | media.image_downloader | Downloaded background image for scene='cafe' -> /opt/airflow/output/images/long_3671.jpg
[2026-09-22T00:32:41.913+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:32:41,913 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3684.mp3
[2026-09-22T00:32:42.491+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:32:42,491 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3684.mp3
[2026-09-22T00:32:42.941+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:32:42,940 | INFO     | media.image_downloader | Downloaded background image for scene='restaurant' -> /opt/airflow/output/images/long_3684.jpg
[2026-09-22T00:32:48.463+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:32:48,463 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3689.mp3
[2026-09-22T00:32:48.925+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:32:48,925 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3689.mp3
[2026-09-22T00:32:49.321+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:32:49,320 | INFO     | media.image_downloader | Downloaded background image for scene='restaurant' -> /opt/airflow/output/images/long_3689.jpg
[2026-09-22T00:32:53.462+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:32:53,462 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3693.mp3
[2026-09-22T00:32:54.107+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:32:54,107 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3693.mp3
[2026-09-22T00:32:54.538+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:32:54,538 | INFO     | media.image_downloader | Downloaded background image for scene='restaurant' -> /opt/airflow/output/images/long_3693.jpg
[2026-09-22T00:32:58.811+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:32:58,811 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3707.mp3
[2026-09-22T00:32:59.145+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:32:59,144 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3707.mp3
[2026-09-22T00:32:59.710+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:32:59,710 | INFO     | media.image_downloader | Downloaded background image for scene='restaurant' -> /opt/airflow/output/images/long_3707.jpg
[2026-09-22T00:33:03.927+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:33:03,927 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3708.mp3
[2026-09-22T00:33:04.174+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:33:04,174 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3708.mp3
[2026-09-22T00:33:04.608+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:33:04,608 | INFO     | media.image_downloader | Downloaded background image for scene='restaurant' -> /opt/airflow/output/images/long_3708.jpg
[2026-09-22T00:33:08.630+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:33:08,630 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3712.mp3
[2026-09-22T00:33:09.023+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:33:09,023 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3712.mp3
[2026-09-22T00:33:09.474+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:33:09,474 | INFO     | media.image_downloader | Downloaded background image for scene='restaurant' -> /opt/airflow/output/images/long_3712.jpg
[2026-09-22T00:33:13.377+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:33:13,377 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3725.mp3
[2026-09-22T00:33:13.775+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:33:13,775 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3725.mp3
[2026-09-22T00:33:14.274+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:33:14,274 | INFO     | media.image_downloader | Downloaded background image for scene='restaurant' -> /opt/airflow/output/images/long_3725.jpg
[2026-09-22T00:33:18.854+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:33:18,854 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3732.mp3
[2026-09-22T00:33:19.260+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:33:19,259 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3732.mp3
[2026-09-22T00:33:19.734+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:33:19,733 | INFO     | media.image_downloader | Downloaded background image for scene='restaurant' -> /opt/airflow/output/images/long_3732.jpg
[2026-09-22T00:33:24.933+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:33:24,933 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3738.mp3
[2026-09-22T00:33:25.278+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:33:25,277 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3738.mp3
[2026-09-22T00:33:25.727+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:33:25,727 | INFO     | media.image_downloader | Downloaded background image for scene='restaurant' -> /opt/airflow/output/images/long_3738.jpg
[2026-09-22T00:33:29.726+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:33:29,726 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3739.mp3
[2026-09-22T00:33:30.022+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:33:30,022 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3739.mp3
[2026-09-22T00:33:30.494+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:33:30,493 | INFO     | media.image_downloader | Downloaded background image for scene='restaurant' -> /opt/airflow/output/images/long_3739.jpg
[2026-09-22T00:33:34.933+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:33:34,933 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3755.mp3
[2026-09-22T00:33:35.360+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:33:35,359 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3755.mp3
[2026-09-22T00:33:36.207+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:33:36,206 | INFO     | media.image_downloader | Downloaded background image for scene='restaurant-booking' -> /opt/airflow/output/images/long_3755.jpg
[2026-09-22T00:33:41.734+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:33:41,734 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3756.mp3
[2026-09-22T00:33:42.097+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:33:42,097 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3756.mp3
[2026-09-22T00:33:42.985+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:33:42,985 | INFO     | media.image_downloader | Downloaded background image for scene='reading-menu' -> /opt/airflow/output/images/long_3756.jpg
[2026-09-22T00:33:47.481+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:33:47,481 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3757.mp3
[2026-09-22T00:33:47.862+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:33:47,862 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3757.mp3
[2026-09-22T00:33:48.776+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:33:48,775 | INFO     | media.image_downloader | Downloaded background image for scene='taking-order' -> /opt/airflow/output/images/long_3757.jpg
[2026-09-22T00:33:53.418+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:33:53,418 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3758.mp3
[2026-09-22T00:33:53.699+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:33:53,699 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3758.mp3
[2026-09-22T00:33:54.433+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:33:54,433 | INFO     | media.image_downloader | Downloaded background image for scene='ordering-food' -> /opt/airflow/output/images/long_3758.jpg
[2026-09-22T00:33:58.835+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:33:58,835 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3759.mp3
[2026-09-22T00:33:59.074+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:33:59,074 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3759.mp3
[2026-09-22T00:33:59.975+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:33:59,974 | INFO     | media.image_downloader | Downloaded background image for scene='paying-bill' -> /opt/airflow/output/images/long_3759.jpg
[2026-09-22T00:34:04.380+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:34:04,380 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3760.mp3
[2026-09-22T00:34:04.861+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:34:04,861 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3760.mp3
[2026-09-22T00:34:05.766+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:34:05,765 | INFO     | media.image_downloader | Downloaded background image for scene='dietary-restrictions' -> /opt/airflow/output/images/long_3760.jpg
[2026-09-22T00:34:12.646+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:34:12,646 | WARNING  | video.video_builder | BGM file not found at /opt/airflow/assets/bgm/long_bgm.mp3, rendering without background music
[2026-09-22T00:34:42.418+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:34:42,418 | INFO     | video.video_builder | Final video rendered -> /opt/airflow/output/videos/long_3658.mp4
[2026-09-22T00:34:44.932+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:34:44,932 | INFO     | media.thumbnail_builder | Built thumbnail -> /opt/airflow/output/thumbnails/long_3658.jpg
[2026-09-22T00:34:45.244+0000] {python.py:237} INFO - Done. Returned value was: {'video_id': 455, 'file_path': '/opt/airflow/output/videos/long_3658.mp4', 'thumbnail_path': '/opt/airflow/output/thumbnails/long_3658.jpg', 'title': 'Restaurant English: 20 Natural Phrases to Use Like a Native', 'description': "Master essential Restaurant English with these 20 practical phrases designed for your next trip or dining experience. Many English learners sound too textbook-like when ordering food or asking for the check. In this video, Taky's Language School breaks down the most common restaurant scenarios—from making a reservation to ordering and paying the bill—so you can speak with confidence and sound natural. Stop worrying about awkward interactions and start ordering like a pro. Whether you are traveling abroad or visiting a fancy restaurant, these expressions are exactly what you need to navigate any menu or waiter conversation smoothly.", 'tags': ['Restaurant English', 'English for Japanese speakers', 'English speaking practice', 'Learn English', 'English conversation', 'Travel English', 'English phrases', "Taky's Language School", 'Ordering food in English'], 'video_type': 'long'}
[2026-09-22T00:34:45.246+0000] {taskinstance.py:441} INFO - ::group::Post task execution logs
[2026-09-22T00:34:45.286+0000] {taskinstance.py:1206} INFO - Marking task as SUCCESS. dag_id=youtube_english_video_pipeline, task_id=build_long_video_6, run_id=scheduled__2026-09-20T12:00:00+00:00, execution_date=20260920T120000, start_date=20260922T003215, end_date=20260922T003445
[2026-09-22T00:34:45.363+0000] {local_task_job_runner.py:243} INFO - Task exited with return code 0
[2026-09-22T00:34:45.578+0000] {taskinstance.py:3503} INFO - 1 downstream tasks scheduled from follow-on schedule check
[2026-09-22T00:34:45.584+0000] {local_task_job_runner.py:222} INFO - ::endgroup::
