[2026-09-22T00:35:18.054+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-09-22T00:35:18.129+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_7 scheduled__2026-09-20T12:00:00+00:00 [queued]>
[2026-09-22T00:35:18.148+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_7 scheduled__2026-09-20T12:00:00+00:00 [queued]>
[2026-09-22T00:35:18.150+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 3
[2026-09-22T00:35:18.174+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): build_long_video_7> on 2026-09-20 12:00:00+00:00
[2026-09-22T00:35:18.181+0000] {standard_task_runner.py:64} INFO - Started process 21515 to run task
[2026-09-22T00:35:18.187+0000] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'youtube_english_video_pipeline', 'build_long_video_7', 'scheduled__2026-09-20T12:00:00+00:00', '--job-id', '1492', '--raw', '--subdir', 'DAGS_FOLDER/youtube_pipeline.py', '--cfg-path', '/tmp/tmph5muj7sf']
[2026-09-22T00:35:18.191+0000] {standard_task_runner.py:91} INFO - Job 1492: Subtask build_long_video_7
[2026-09-22T00:35:18.291+0000] {task_command.py:426} INFO - Running <TaskInstance: youtube_english_video_pipeline.build_long_video_7 scheduled__2026-09-20T12:00:00+00:00 [running]> on host 73b18333cdfe
[2026-09-22T00:35:18.648+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='taky' AIRFLOW_CTX_DAG_ID='youtube_english_video_pipeline' AIRFLOW_CTX_TASK_ID='build_long_video_7' AIRFLOW_CTX_EXECUTION_DATE='2026-09-20T12:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-09-20T12:00:00+00:00'
[2026-09-22T00:35:18.650+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-09-22T00:35:20.021+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:35:20,021 | INFO     | planner.video_planner | Top topic 'Travel English' only has 13 unused phrases (need 15). Generating 7 more phrases for this topic instead of mixing topics...
[2026-09-22T00:35:20.024+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:35:20,024 | INFO     | generators.phrase_generator | Requesting 7 phrases from Gemini for topic='Travel English'...
[2026-09-22T00:35:22.225+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:35:22,225 | INFO     | generators.phrase_generator | Parsed 7 valid phrases out of 7 returned
[2026-09-22T00:35:22.245+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:35:22,244 | INFO     | generators.phrase_generator | Inserted 7 new phrases for topic='Travel English' into the database
[2026-09-22T00:35:22.270+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:35:22,270 | INFO     | planner.video_planner | Planned LONG video: topic='Travel English', phrases=20
[2026-09-22T00:35:22.599+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:35:22,598 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3701.mp3
[2026-09-22T00:35:22.877+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:35:22,877 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3701.mp3
[2026-09-22T00:35:23.477+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:35:23,477 | INFO     | media.image_downloader | Downloaded background image for scene='hotel' -> /opt/airflow/output/images/long_3701.jpg
[2026-09-22T00:35:27.885+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:35:27,885 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3703.mp3
[2026-09-22T00:35:28.217+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:35:28,217 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3703.mp3
[2026-09-22T00:35:28.681+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:35:28,681 | INFO     | media.image_downloader | Downloaded background image for scene='hotel' -> /opt/airflow/output/images/long_3703.jpg
[2026-09-22T00:35:33.625+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:35:33,625 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3704.mp3
[2026-09-22T00:35:34.130+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:35:34,130 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3704.mp3
