[2026-09-22T00:41:46.687+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-09-22T00:41:46.760+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_9 scheduled__2026-09-20T12:00:00+00:00 [queued]>
[2026-09-22T00:41:46.775+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_9 scheduled__2026-09-20T12:00:00+00:00 [queued]>
[2026-09-22T00:41:46.779+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 3
[2026-09-22T00:41:46.795+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): build_long_video_9> on 2026-09-20 12:00:00+00:00
[2026-09-22T00:41:46.801+0000] {standard_task_runner.py:64} INFO - Started process 28236 to run task
[2026-09-22T00:41:46.804+0000] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'youtube_english_video_pipeline', 'build_long_video_9', 'scheduled__2026-09-20T12:00:00+00:00', '--job-id', '1504', '--raw', '--subdir', 'DAGS_FOLDER/youtube_pipeline.py', '--cfg-path', '/tmp/tmpul8k2wyq']
[2026-09-22T00:41:46.808+0000] {standard_task_runner.py:91} INFO - Job 1504: Subtask build_long_video_9
[2026-09-22T00:41:46.878+0000] {task_command.py:426} INFO - Running <TaskInstance: youtube_english_video_pipeline.build_long_video_9 scheduled__2026-09-20T12:00:00+00:00 [running]> on host 73b18333cdfe
[2026-09-22T00:41:47.097+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='taky' AIRFLOW_CTX_DAG_ID='youtube_english_video_pipeline' AIRFLOW_CTX_TASK_ID='build_long_video_9' AIRFLOW_CTX_EXECUTION_DATE='2026-09-20T12:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-09-20T12:00:00+00:00'
[2026-09-22T00:41:47.099+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-09-22T00:41:47.876+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:41:47,876 | INFO     | planner.video_planner | Planned LONG video: topic='Business English', phrases=17
[2026-09-22T00:41:48.194+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:41:48,194 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3776.mp3
[2026-09-22T00:41:48.504+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:41:48,504 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3776.mp3
[2026-09-22T00:41:48.976+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:41:48,976 | INFO     | media.image_downloader | Downloaded background image for scene='office' -> /opt/airflow/output/images/long_3776.jpg
[2026-09-22T00:41:53.246+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:41:53,246 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3777.mp3
[2026-09-22T00:41:53.700+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:41:53,700 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3777.mp3
[2026-09-22T00:41:54.154+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:41:54,154 | INFO     | media.image_downloader | Downloaded background image for scene='office' -> /opt/airflow/output/images/long_3777.jpg
[2026-09-22T00:41:58.397+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:41:58,396 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3790.mp3
[2026-09-22T00:41:58.757+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:41:58,757 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3790.mp3
[2026-09-22T00:41:59.271+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:41:59,271 | INFO     | media.image_downloader | Downloaded background image for scene='office' -> /opt/airflow/output/images/long_3790.jpg
[2026-09-22T00:42:03.526+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:42:03,526 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3805.mp3
[2026-09-22T00:42:03.866+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:42:03,866 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3805.mp3
[2026-09-22T00:42:04.321+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:42:04,321 | INFO     | media.image_downloader | Downloaded background image for scene='office' -> /opt/airflow/output/images/long_3805.jpg
[2026-09-22T00:42:08.316+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:42:08,316 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3806.mp3
[2026-09-22T00:42:08.663+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:42:08,663 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3806.mp3
[2026-09-22T00:42:09.153+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:42:09,153 | INFO     | media.image_downloader | Downloaded background image for scene='office' -> /opt/airflow/output/images/long_3806.jpg
